"term","edf","Ref.df","F","p-value"
"s(yday)",3.18701692271103e-06,7,7.05309675058258e-08,0.725302252116368
"s(tide_range_m)",1.78260479751092,4,2.706083938035,0.000562050864883146
"s(daytime_tide_range_m)",2.1988622879159e-06,4,2.55714838882338e-07,0.383967719058312
"s(daytime_high_hour)",5.38335711461205e-05,4,9.46266650188282e-06,0.383854000091859
"s(n_high_tides_daytime)",2.02169511585697,4,3.14593215944477,0.000486148625379101
"s(flood_hours_daytime)",3.81534593479191e-06,4,2.68156723699527e-07,0.684971303707476
"s(tidal_energy)",0.494529536688515,4,0.250902343680714,0.0990825817645533
"s(daytime_tide_max_m)",1.44716969982416,4,2.1651467253428,0.00126137026686957
"s(daytime_tide_min_m)",1.58325932915421,4,3.25118024948629,0.000232138150114691
"s(wave_h_m_mean)",0.859401926588563,4,2.00838331389986,0.00066259001544422
"s(sst_c_mean)",0.856682661522675,4,0.625747913154215,0.0560145730998164
"s(precip_mm_total)",1.74886473326044,4,3.37288868293939,0.000416763258830222
