"parameter","prior","prior_mean","prior_sd","post_mean","post_sd","post_median","post_lo95","post_hi95","contraction","prior_influential"
"R_G","lognormal(log(1.318), 0.300)",1.37912974278033,0.423224974527781,1.32007481308291,0.0264216904579536,1.31989449322712,1.26899841993191,1.37174794552794,0.938,FALSE
"R_T","beta(5.0, 1.0)",0.833333333333333,0.140859042454753,0.498224378004985,0.287036801716118,0.49648699227436,0.0288684036873018,0.974816225582667,-1.038,TRUE
"phi_E","2*beta(2.0,2.0)-1",0,0.447213595499958,0.162806037050694,0.430056009637606,0.215403211379481,-0.698081513238038,0.836217050978203,0.038,TRUE
"phi_C","2*beta(2.0,2.0)-1",0,0.447213595499958,0.328371513357737,0.316406223326158,0.368649799693797,-0.36604987535558,0.838693172200484,0.292,TRUE
"B1","normal(0, 1.0)",0,1,0.476113790501651,0.158520748082373,0.475579810462971,0.175063130119587,0.789073695114336,0.841,FALSE
"B2","normal(0, 1.0)",0,1,0.158930267006718,0.537749483699348,0.13963388165785,-0.837423183730362,1.25352904471416,0.462,TRUE
"B1_C","normal(0, 1.0)",0,1,-0.301806915598048,0.0974589755987571,-0.303044939875871,-0.492036012689542,-0.108039171157565,0.903,FALSE
"mu_mu_E[1]","normal(3.219, 2.0)",3.2188758248682,2,3.07385968760803,0.910774417817335,3.02914349622734,1.14195701547118,5.21220609244135,0.545,FALSE
"mu_mu_C[1]","normal(-0.693, 2.0)",-0.693147180559945,2,-0.43291246038971,0.937044053731867,-0.397156372842273,-2.52915264295744,1.57574649588726,0.531,FALSE
"sigma_eps_E","half-cauchy(0, 1.0)",NA,NA,0.176578502927132,0.132970167726294,0.147847525229907,0.00679373740392642,0.496824841575885,NA,FALSE
"sigma_eps_C","half-cauchy(0, 1.0)",NA,NA,0.189618924833365,0.0611606802374586,0.188846523503192,0.0715822818215926,0.310340040837193,NA,FALSE
"sigma_r_E","half-cauchy(0, 1.0)",NA,NA,0.528466123106828,0.0988963386165939,0.537135541595279,0.295097645328256,0.69952382829184,NA,FALSE
"sigma_r_C","half-cauchy(0, 1.0)",NA,NA,0.799815391765512,0.0355762810189097,0.799267202554197,0.73254597281296,0.871455706740425,NA,FALSE
"sigma_mu_E","half-cauchy(0, 1.0)",NA,NA,1.08586936717945,1.45360355402032,0.678286159339675,0.023674875897124,4.62319379970422,NA,FALSE
"sigma_mu_C","half-cauchy(0, 1.0)",NA,NA,1.16299726327217,1.466873583416,0.720844189083811,0.0251823645454033,4.95619545468761,NA,FALSE
