"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"trailer",2,"2024-12-02",1,2.167,0.3946,TRUE,TRUE
"trailer",3,"2024-12-03",2,2.167,0.595,TRUE,TRUE
"trailer",4,"2024-12-04",5,2.167,0.885,FALSE,TRUE
"trailer",5,"2024-12-05",3,2.167,0.7334,TRUE,TRUE
"trailer",6,"2024-12-06",2,2.924,0.4949,TRUE,TRUE
"trailer",7,"2024-12-07",2,2.924,0.4949,TRUE,TRUE
"trailer",10,"2024-12-10",1,1.037,0.6109,TRUE,TRUE
"trailer",11,"2024-12-11",0,1.037,0.2387,FALSE,TRUE
"trailer",12,"2024-12-12",1,1.037,0.6109,TRUE,TRUE
"trailer",13,"2024-12-13",0,1.393,0.1992,FALSE,TRUE
"trailer",14,"2024-12-14",0,1.393,0.1992,FALSE,TRUE
"trailer",15,"2024-12-15",2,1.393,0.7357,TRUE,TRUE
"trailer",18,"2024-12-18",4,1.498,0.9041,FALSE,TRUE
"trailer",20,"2024-12-20",1,2.008,0.4251,TRUE,TRUE
"trailer",21,"2024-12-21",1,2.008,0.4251,TRUE,TRUE
"trailer",22,"2024-12-22",1,2.008,0.4251,TRUE,TRUE
"trailer",23,"2024-12-23",2,1.609,0.6932,TRUE,TRUE
"trailer",24,"2024-12-24",1,1.609,0.4851,TRUE,TRUE
"trailer",26,"2024-12-26",0,1.609,0.1781,FALSE,TRUE
"trailer",27,"2024-12-27",2,2.159,0.6003,TRUE,TRUE
"trailer",28,"2024-12-28",5,2.159,0.8853,FALSE,TRUE
"trailer",31,"2024-12-31",2,3.156,0.5149,TRUE,TRUE
"trailer",32,"2025-01-01",3,2.289,0.7299,TRUE,TRUE
"trailer",33,"2025-01-02",0,0.846,0.2704,TRUE,TRUE
"trailer",34,"2025-01-03",0,1.141,0.232,FALSE,TRUE
"trailer",35,"2025-01-04",0,1.141,0.232,FALSE,TRUE
"trailer",38,"2025-01-07",0,1.352,0.2017,FALSE,TRUE
"trailer",39,"2025-01-08",4,1.352,0.921,FALSE,TRUE
