"period","date_start","date_end","n_days","omega_E_median","omega_E_lo95","omega_E_hi95","omega_C_median","omega_C_lo95","omega_C_hi95"
1,"2024-12-01","2024-12-01",1,-0.78054057743098,-3.02688666386047,1.3470164080311,0.0165926643125981,-0.881130285030328,1.03757279283095
2,"2024-12-02","2024-12-02",1,-0.868301762428514,-2.56891296506346,0.617783133927114,0.104269941204739,-0.523258806830158,1.06817077276818
3,"2024-12-03","2024-12-03",1,-0.521753638424504,-1.99685915867804,0.832470617868751,8.13337868905389e-05,-0.698139345963633,0.789648210650344
4,"2024-12-04","2024-12-04",1,0.00744156810172852,-1.35691216745803,1.24913662999284,0.12861720675832,-0.361812985689192,0.880715510137419
5,"2024-12-05","2024-12-05",1,-0.263648427000914,-1.64968369729565,1.02873298848994,0.0668969219345058,-0.597835829680332,0.978362012286594
6,"2024-12-06","2024-12-06",1,-0.563995778664974,-2.08791951196907,0.766798714576502,0.322535363803324,-0.174019932164715,1.2732403665189
7,"2024-12-07","2024-12-07",1,-0.739730178151706,-2.30041129395596,0.696449564026572,0.0123170634088544,-0.869278497586642,0.975932909701776
8,"2024-12-08","2024-12-08",1,-1.00766348705978,-3.04147578646291,0.927452861157161,0.0440880784110942,-0.831373446941303,1.02832466448631
9,"2024-12-09","2024-12-09",1,-1.28327467331904,-3.37119458868398,0.758985133025292,0.0116956319475611,-0.905478211433227,0.948604437222804
10,"2024-12-10","2024-12-10",1,-1.53041684487203,-3.38710639963014,0.0851652502156504,-0.00541633217382676,-0.991817616508958,0.860143383898709
11,"2024-12-11","2024-12-11",1,-1.93042854214869,-3.8536410048561,-0.283219490640581,-0.0106749731156994,-0.996385106338132,0.836265288484083
12,"2024-12-12","2024-12-12",1,-1.82511443333057,-3.65851917899903,-0.27051670932647,0.12937328010373,-0.444549179380106,1.0539900548444
13,"2024-12-13","2024-12-13",1,-2.0376455401819,-3.98440292996229,-0.40042999584798,0.150494362262886,-0.432361502175004,1.18790356013019
14,"2024-12-14","2024-12-14",1,-1.81823664818035,-3.64815775034701,-0.220034134001348,0.0307989644099098,-0.817875831092794,1.03229314319959
15,"2024-12-15","2024-12-15",1,-1.07858425083359,-2.76230113692446,0.450570163266111,0.0227081582890396,-0.867630834301865,1.01306254729181
16,"2024-12-16","2024-12-16",1,-0.802264056566272,-2.81806982594842,1.17792012805253,-0.00136452863167195,-0.915058253082905,0.922274824228438
17,"2024-12-17","2024-12-17",1,-0.526027675396401,-2.51244465169231,1.39996143904355,-0.00106103679984686,-0.95892536173936,0.911359882601667
18,"2024-12-18","2024-12-18",1,-0.23295647904974,-1.79773171761887,1.09851581580555,-0.134366415684913,-1.16950410459319,0.542524737271656
19,"2024-12-19","2024-12-19",1,-0.665924755662534,-2.47083821337899,1.1250093863731,0.00444948996811485,-0.951493138256442,0.911574413036107
20,"2024-12-20","2024-12-20",1,-1.06526775861847,-2.7024493520628,0.407541948748851,-0.0239050618358189,-0.952221449006702,0.818855682788936
21,"2024-12-21","2024-12-21",1,-1.20396746330356,-2.8290106848814,0.287715190724019,0.134061014063646,-0.467634963859777,1.15731743225788
22,"2024-12-22","2024-12-22",1,-1.18425208173012,-2.79212304668761,0.279231289954479,-0.00802023404800239,-0.919583366053894,0.901299930279572
23,"2024-12-23","2024-12-23",1,-0.979370555262914,-2.57668492547365,0.460022286168593,0.0375874317915668,-0.817883947309973,1.09235858516583
24,"2024-12-24","2024-12-24",1,-1.18802245432005,-2.92612392108389,0.274705079910575,0.0245405806055899,-0.879650273378496,1.11923968897748
25,"2024-12-25","2024-12-25",1,-1.30831769977164,-3.26736202088159,0.521667764468528,0.0678003566952659,-0.74744089881108,1.18832767724835
26,"2024-12-26","2024-12-26",1,-1.39810406397589,-3.17647999498282,0.170615675595031,0.0726646779475988,-0.823524970297412,1.27079354464346
27,"2024-12-27","2024-12-27",1,-0.709334814843884,-2.24302500001789,0.679502679714327,0.390445459108271,-0.179110014265068,1.61383887003454
28,"2024-12-28","2024-12-28",1,-0.0898760301563613,-1.53363953740737,1.20338853116797,0.156465784552109,-0.395444369981528,1.12454368840436
29,"2024-12-29","2024-12-29",1,-0.478075371346023,-2.36228728466552,1.43608628527648,0.0609414830865711,-0.736895403649515,1.10215645358943
30,"2024-12-30","2024-12-30",1,-0.853181038444796,-2.86070967940486,1.13292138823661,0.0418511751102332,-0.799317547409496,1.06768270347496
31,"2024-12-31","2024-12-31",1,-1.21847462144153,-2.87737317486631,0.307487963216726,0.0398529764994257,-0.615389515796252,0.903170200019435
32,"2025-01-01","2025-01-01",1,-1.33546340281762,-2.9797480388683,0.148438405186515,0.0727855077589779,-0.63203742427564,1.07644371773708
33,"2025-01-02","2025-01-02",1,-2.06346502089522,-3.91569488370299,-0.44981579454696,0.260069269021798,-0.254330552507425,1.25337155419698
34,"2025-01-03","2025-01-03",1,-2.38188138941172,-4.35231752233746,-0.663011545298078,-0.00201153239935663,-0.982442350302907,0.932713822012652
35,"2025-01-04","2025-01-04",1,-2.35789770757591,-4.52516743632849,-0.552229175472346,0.0291050736017891,-0.862899952178485,1.01212349750089
36,"2025-01-05","2025-01-05",1,-2.06015631825797,-4.36263415100457,0.0518452433320389,0.00742951088005315,-0.874240314885024,0.971913433088008
37,"2025-01-06","2025-01-06",1,-1.79627019585024,-3.96389410349769,0.238609364179121,0.00738029369085587,-0.882096365990228,0.914027322790815
38,"2025-01-07","2025-01-07",1,-1.53583756634277,-3.32660659069128,0.0159424770938874,-0.0220350607838111,-0.748779806449765,0.657192780172625
39,"2025-01-08","2025-01-08",1,-0.604981277437378,-2.13242013083598,0.744563176935126,-0.0259114835798012,-0.775369646614824,0.675275486006028
40,"2025-01-09","2025-01-09",1,-1.02011298537489,-2.62555327880208,0.389239777819872,-0.000783642018941199,-0.93390975389017,0.906803070878846
41,"2025-01-10","2025-01-10",1,-1.15041548058894,-2.77135925833021,0.316905191938573,0.00974827392799555,-0.943973167802714,0.952640534799789
42,"2025-01-11","2025-01-11",1,-1.07482294952817,-2.75899061122566,0.396358619448203,-0.0120415352471819,-0.980284205995826,0.852783983743927
43,"2025-01-12","2025-01-12",1,-0.723439905177553,-2.72847700133238,1.23623209995347,0.0403945727042826,-0.828780928932635,1.08651267027916
44,"2025-01-13","2025-01-13",1,-0.379994278996268,-2.27284829709812,1.53720810719588,0.0416936701310732,-0.796798695561757,1.14555352362634
45,"2025-01-14","2025-01-14",1,-0.0189573826041858,-1.50255362206071,1.30846915555253,0.307128123088299,-0.21729325402756,1.33454542630444
46,"2025-01-15","2025-01-15",1,-0.507762366118509,-2.34288087107505,1.23737373053212,0.0857325086587186,-0.7795214585219,1.29596187590971
47,"2025-01-16","2025-01-16",1,-1.0076346101599,-2.66263054990677,0.454782200486011,0.0997797310816302,-0.679300232424306,1.28469837564739
48,"2025-01-17","2025-01-17",1,-0.436120668903886,-1.8900301471413,0.86531682473445,0.216922842447838,-0.349197848744056,1.33208245592342
49,"2025-01-18","2025-01-18",1,-0.203625042373342,-1.68314537860334,1.13468013516597,0.248649979379028,-0.265296523204304,1.24268170804159
50,"2025-01-19","2025-01-19",1,-0.557990913293133,-2.5377228436047,1.39896067938733,0.0926511159432992,-0.738024792502145,1.29196439331237
51,"2025-01-20","2025-01-20",1,-0.901667050203982,-2.94456772595012,1.06118520275699,0.088388358746894,-0.75533214462195,1.30765748239948
52,"2025-01-21","2025-01-21",1,-1.25897218696596,-3.00664023754196,0.303515071908595,0.235906350719496,-0.33891992530299,1.36286772986689
53,"2025-01-22","2025-01-22",1,-1.47723996232691,-3.21008720245434,0.0453583059791874,0.19084947589118,-0.39770879242998,1.33405538242467
54,"2025-01-23","2025-01-23",1,-1.78399763582815,-3.58600592449684,-0.189016827705994,0.0700294538959937,-0.625880223768769,1.09912966780121
55,"2025-01-24","2025-01-24",1,-1.53765435732328,-3.30832186678354,-0.0377028545390203,0.0863032167156164,-0.563871077604573,1.03234707487556
56,"2025-01-25","2025-01-25",1,-1.41224885372731,-3.23284529887484,0.145891546788989,-0.0866505529078558,-1.08193822045689,0.627828840147181
57,"2025-01-26","2025-01-26",1,-1.27516357240609,-3.42134449158465,0.78387321347558,0.000127543001657284,-1.01000824408666,0.89114295032272
58,"2025-01-27","2025-01-27",1,-1.15928079728507,-3.46448756819963,1.12253651834313,-0.0169631135367918,-0.967360688281135,0.829563482956992
59,"2025-01-28","2025-01-28",1,-1.03764247753953,-3.21075728915601,1.01714114979088,-0.00602408320878277,-0.945172689476928,0.84968860615154
60,"2025-01-29","2025-01-29",1,-0.937249883606635,-2.72604411349675,0.529327636703551,-0.0921219257579726,-0.911564612825519,0.532738644161478
61,"2025-01-30","2025-01-30",1,-1.95085023810192,-3.82962488910401,-0.326390091784347,-0.0136701547690528,-0.963798562814476,0.875599601754735
62,"2025-01-31","2025-01-31",1,-2.45149681183051,-4.55816826569788,-0.667016499485488,-0.0120620209436346,-0.991740382091159,0.92024050510909
63,"2025-02-01","2025-02-01",1,-2.67074934985508,-4.907232633968,-0.74024325137472,-0.00354164965556553,-0.976482867854408,0.946586749923549
64,"2025-02-02","2025-02-02",1,-2.66884646390157,-5.17756504855731,-0.337752326809775,-0.00537730546599225,-0.978949612797662,0.911499377491467
65,"2025-02-03","2025-02-03",1,-2.66575113589508,-5.28055795292741,-0.216199984608031,-0.00528305240682192,-0.972146276250906,0.942984205968086
66,"2025-02-04","2025-02-04",1,-2.73201539475991,-5.30540662267427,-0.329184651975722,-0.00508044567164117,-1.01615775883677,0.965721258166711
67,"2025-02-05","2025-02-05",1,-2.84858375785849,-5.26418788795495,-0.808183560501956,-0.00778434343728679,-0.994444039584669,0.919727003413957
68,"2025-02-06","2025-02-06",1,-2.76286861344181,-5.02751822835965,-0.864766532967748,-0.0125162087919708,-1.02208151949472,0.884507148818183
69,"2025-02-07","2025-02-07",1,-2.48169209434452,-4.56053091030201,-0.737738278774758,-0.0152577649029099,-1.06453679684594,0.894074688987966
70,"2025-02-08","2025-02-08",1,-1.9373866352855,-3.83209688085162,-0.279976580701918,-0.0684919913854068,-1.19657434563061,0.713517422425435
71,"2025-02-09","2025-02-09",1,-1.94579483434981,-4.12630214899225,0.110511575621318,-0.0136299822261833,-1.05729726702698,0.896142906219978
72,"2025-02-10","2025-02-10",1,-1.97033024029985,-4.15762809578397,0.0551052207615187,-0.0122315407970433,-1.03256682519181,0.873668263310278
73,"2025-02-11","2025-02-11",1,-2.05041490261415,-4.08642744702297,-0.325920182060696,-0.00895904012561095,-0.983768140970196,0.904745401574947
74,"2025-02-12","2025-02-12",1,-1.67979362266028,-3.63326277862153,-0.0355700123053719,-0.00028818363610649,-0.926939457961689,0.978121031454141
75,"2025-02-13","2025-02-13",1,-1.51016097287865,-3.5584237149631,0.391097863691687,-0.00291467392324376,-0.896649459838941,0.911828328407941
76,"2025-02-14","2025-02-14",1,-1.34007477696197,-3.13763151054447,0.202291529592655,0.045359968590472,-0.648786231943287,1.0006173737793
77,"2025-02-15","2025-02-15",1,-1.1401782682299,-2.88888426515886,0.398370291251914,-0.0674136690163795,-1.00040373438188,0.636807970309584
78,"2025-02-16","2025-02-16",1,-1.45004530243414,-3.6057457753513,0.716922454329077,-0.00319522380005669,-0.947696355971365,0.908575433966636
79,"2025-02-17","2025-02-17",1,-1.76104251427239,-4.16297936823515,0.520028884877962,-0.0128534499926215,-0.966902035937813,0.883734105727865
80,"2025-02-18","2025-02-18",1,-2.11081452893466,-4.52073075278879,0.157555018371705,-0.00180471646713696,-0.954523485280993,0.9316902813381
81,"2025-02-19","2025-02-19",1,-2.48798368795251,-4.76767933606805,-0.6217444496627,-0.0108920613049867,-0.966533621230853,0.929115483612237
82,"2025-02-20","2025-02-20",1,-2.59195736069185,-4.75804969146327,-0.787376239828094,-0.00569716446825152,-0.994808714758647,0.922673337222756
83,"2025-02-21","2025-02-21",1,-2.47585792253244,-4.55440784587169,-0.738362521869423,-0.0118520787292186,-1.00935336038252,0.929677736680577
84,"2025-02-22","2025-02-22",1,-2.05030163757291,-4.105456706882,-0.324062624965311,-0.00895641470787902,-1.03237556412265,0.93234745933649
85,"2025-02-23","2025-02-23",1,-2.01894877489818,-4.22234695422084,0.150290670432593,-0.0143109255681402,-1.05154045265053,0.909687265378083
86,"2025-02-24","2025-02-24",1,-1.98098486842972,-4.21391306503375,0.0991819530237914,-0.0162696821319173,-1.08567209603939,0.85567726991864
87,"2025-02-25","2025-02-25",1,-1.98779769392936,-3.94881226379122,-0.308313643330122,-0.0267978971946827,-1.11101248455697,0.82171748757845
88,"2025-02-26","2025-02-26",1,-1.52891248842981,-3.35321931329327,0.00417713298729717,-0.0835612095003299,-1.27506187199321,0.675035310839838
89,"2025-02-27","2025-02-27",1,-1.96778534194873,-3.87109288250876,-0.344553983030044,-0.0500164628307239,-1.21810460962812,0.762254848433956
