"draw","C_sum","C_expected_sum","E_sum"
9,55512,55735.6575565069,79530.6604000672
17,99454,99398.9190965643,119830.251968796
24,59629,59796.0288934848,88579.9051020054
27,70765,71402.6770639692,111924.544416796
34,72916,72901.2443346137,88394.6083808701
43,50979,50466.9723238547,84355.7337232997
52,77546,77313.4740794451,86767.8189413221
66,63618,63901.2800102076,87560.0518580695
67,85243,85162.1052348116,82262.2406684047
79,69907,69928.8082940772,102037.297158388
84,69365,69721.2989283904,87246.1485238323
85,41703,41954.8742998628,86937.952527757
86,72889,72722.4824986282,93380.616606847
87,55170,55513.6056347141,89501.3523458942
90,65358,65792.4760015386,84529.0699837505
91,57070,57010.0813231595,81958.5598537223
101,63139,62602.7792628824,110478.608014532
102,64748,64844.3668979298,99591.2518932415
103,88823,88341.3191695438,105177.097269269
106,41536,41406.3726021805,76710.6363285653
108,60944,61223.5073403851,94163.3871676718
111,49818,49593.8557000183,104775.794791127
112,49538,49545.9480620971,83432.6697604131
125,53377,53298.5394080439,80370.0780392145
135,46515,46609.6333348322,85513.4856082685
144,59642,59924.4637468138,93102.6000724418
164,53469,53549.9756058028,83998.2260778314
169,72630,72718.7543826772,79579.59535718
177,60677,60376.7648084133,92281.5192548062
181,48404,48373.9231091576,88184.544007038
185,51222,51330.5302170267,75104.4927063454
194,49493,49628.3897986562,79952.5321680571
198,57537,57790.65390237,85149.8106358495
212,53756,53610.8846820996,93770.5253913046
213,83532,83867.679653219,106566.198257553
223,67535,67118.8109326508,89208.2983679188
226,51575,51060.8429956542,84535.0233344374
230,42145,42336.0824995126,77819.0943654547
233,70964,70462.4973776517,87308.0363088015
237,31629,31443.1907750948,75357.2804316398
248,50636,50269.583548858,79537.6147706055
269,75924,75705.0576930607,99096.5115492558
270,52349,52431.7892676797,73393.649192784
278,43355,43854.1936231969,74111.2202352494
280,72076,72073.9661872807,87212.2498978408
282,52658,52541.2704585161,91210.6322903311
285,66062,66082.3924600418,87693.9953556026
286,57128,57545.8577599335,104828.909659458
287,57440,57471.1535426225,83754.1176725465
290,53757,53759.3715992976,85259.7810867965
294,63291,63297.8384027655,89553.7432367152
302,32160,31990.5283102296,71660.2361495254
306,38832,38548.6331089543,70028.2922489048
315,41800,41874.1129426964,76873.6095315129
316,86231,86690.6200041465,107653.392619595
317,34543,34510.3270088437,81096.4817642972
319,59602,60000.7452926117,100743.463775831
321,42503,42302.1234728428,93503.2075248514
331,79037,78895.9061202131,107862.408315784
337,83036,83426.6954333686,86389.2820641758
342,54931,54986.6625703048,78663.9987074223
356,92576,92922.6982044005,120795.632545045
359,56906,56786.1775009526,67855.1352358295
365,66863,66998.438928204,88677.1232448341
374,45202,45530.5526003674,79388.0336923379
377,59453,59099.8736898172,95122.7568692973
379,37631,37558.9895422998,80457.2600401461
387,36655,36691.0641154465,75611.040888571
390,66901,66660.2287744203,96622.1852081443
391,77614,77485.4650444701,93767.2653194428
392,34123,34137.0172658122,95259.30705372
413,58222,58319.6043817367,95932.5424951321
415,50341,50191.9882842165,79275.9650484756
