"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",2989,2989,2989,5222,5222,5222
"2024-10",6305,6305,6305,11008,11008,11008
"2024-11",5054,5054,5054,8809,8809,8809
"2024-12",15555,13562,19377,20423,18561,23457
"2025-01",12843,11194,16265,16737,15251,19235
"2025-02",4020,3335,5793,8818,8028,10364
"2025-03",5861,4301,9963,13650,12144,16231
"2025-04",12328,8142,21623,25857,21191,33799
"2025-05",19801,12002,36389,37681,29430,50745
"2025-06",8342,3444,19966,20249,13893,33225
"2025-07",41839,18974,93038,86961,58783,136633
"2025-08",54985,31588,101841,113220,84900,156595
"2025-09",21807,10389,46801,49660,36436,73464
