"parameter","prior","prior_mean","prior_sd","post_mean","post_sd","post_median","post_lo95","post_hi95","contraction","prior_influential"
"R_G","lognormal(log(1.300), 0.300)",1.35983621788133,0.417304210635423,1.32690573058596,0.0275187763065639,1.32221334606739,1.27451979948938,1.38540880700737,0.934,FALSE
"phi_E","2*beta(2.0,2.0)-1",0,0.447213595499958,0.0573139432327728,0.398174505292206,-0.0192199147558498,-0.694468522087303,0.834690967319681,0.11,TRUE
"phi_C","2*beta(2.0,2.0)-1",0,0.447213595499958,0.0607188503058173,0.451194054315867,0.0722317835522148,-0.778740383265313,0.797718161614031,-0.009,TRUE
"B1","normal(0, 1.0)",0,1,0.520087006197159,0.138897047576299,0.533064742043813,0.234415036697728,0.784281780677918,0.861,FALSE
"B2","normal(0, 1.0)",0,1,0.0779421339035895,0.488741835615657,0.116027999123798,-0.867667984776613,1.0999560524575,0.511,FALSE
"mu_mu_E[1]","normal(3.219, 2.0)",3.2188758248682,2,3.07147616775757,1.00738870834349,3.14864584612829,0.88488606320579,5.41304017231654,0.496,TRUE
"mu_mu_C[1]","normal(-0.693, 2.0)",-0.693147180559945,2,-0.650236299803142,1.0566146317213,-0.556775931659739,-3.25429206726175,1.51744416420653,0.472,TRUE
"sigma_eps_E","half-cauchy(0, 2.0)",NA,NA,0.239934113801163,0.173264056614685,0.239322058101529,0.00777035896993001,0.67240150038104,NA,FALSE
"sigma_eps_C","half-cauchy(0, 2.0)",NA,NA,0.159900801382263,0.111796431091904,0.140099913582481,0.0174465768885395,0.428028751952294,NA,FALSE
"sigma_r_E","half-cauchy(0, 2.0)",NA,NA,0.567221098315647,0.0619499835927606,0.573239534067173,0.44994900260693,0.695638819861491,NA,FALSE
"sigma_r_C","half-cauchy(0, 2.0)",NA,NA,0.860526675431574,0.0379291575238303,0.864206616383037,0.784119857280178,0.932140543703774,NA,FALSE
"sigma_mu_E","half-cauchy(0, 2.0)",NA,NA,2.27014461078098,2.32868990497452,1.33021981069943,0.0702417943259103,6.76557633823978,NA,FALSE
"sigma_mu_C","half-cauchy(0, 2.0)",NA,NA,1.54004414976532,2.17426450281529,0.837134931619066,0.0919807087104842,7.05336248539948,NA,FALSE
"B1_C","normal(0, 1.0)",0,1,-0.314389938442999,0.0972375438754743,-0.310948974527923,-0.511818943360988,-0.156795675231458,0.903,FALSE
"R_G_boat","lognormal(log(4.000), 0.500)",4.53259381226731,2.41560213284352,1.05173876319486e+308,Inf,1.10242006952548e+308,6.06098443864496e+306,1.77887570351262e+308,-Inf,FALSE
