"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",2.64382971397308,-0.196326294167706,2.67127190699421,5.30301554971325,2926,1.0001
"mu_mu_C[1]",0.43409333740728,-2.97820722195642,0.718237387431456,2.57590973834051,841,1.0057
"sigma_eps_E",1.09181511476399,0.618657547879677,1.0275818178188,1.94865132339808,1497,1.0041
"sigma_eps_C",0.438047380631276,0.104270923474144,0.409481602060554,0.895834610363235,1198,1.0018
"phi_E",0.655254860906603,0.178780285692928,0.686638066986427,0.937383753356002,1757,1.0023
"phi_C",-0.11608206374737,-0.769916660782389,-0.160152033370126,0.72163001671421,2469,1.0001
"sigma_r_E",0.931116741337216,0.821416671451825,0.929111971896996,1.05368960184023,6151,1.0001
"sigma_r_C",0.771763442358354,0.653734401774095,0.768080790173448,0.905711758611654,4407,0.9997
"r_E",1.16802655028806,0.900688494883682,1.15841425148095,1.48208462774948,6260,1
"r_C",1.71421471972223,1.21904571101006,1.69506436292906,2.33990029042049,4183,0.9996
"sigma_mu_E",1.80272052850059,0.0465454953011485,1.19427463586229,7.44914487028634,3289,1.0003
"sigma_mu_C",1.87930720161847,0.0741917346049233,1.2690722974748,7.49288632266072,2814,1.0022
"sigma_IE",0.20119031868477,0.00531751439044523,0.140310594953714,0.749945078439898,5636,0.9996
"R_G",1.35927093854936,0.72233076962146,1.30352810352848,2.29853440950309,5846,0.9996
"B1",0.264790138470473,-0.0375874783558826,0.266958780935302,0.581823901430477,6432,0.9997
"B2",0.538088454933856,-0.184233065011873,0.521400942940974,1.32280563435606,3926,0.9996
"B1_C",-0.0276863018631335,-0.323012509898914,-0.0281755236022456,0.270235630687262,6539,0.9995
