"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"catch",1,2,"2024-12-02",6,-2.6939,0.0863,0.058,-2.7014
"catch",2,3,"2024-12-03",11,-3.2888,0.0991,0.154,-3.2986
"catch",3,3,"2024-12-03",18,-3.7188,0.0977,0.055,-3.7284
"catch",4,3,"2024-12-03",12,-3.3326,0.0946,0.056,-3.3416
"catch",5,3,"2024-12-03",30,-4.9804,0.3307,0.116,-5.0904
"catch",6,4,"2024-12-04",18,-3.7188,0.0977,0.055,-3.7284
"catch",7,4,"2024-12-04",24,-3.9332,0.0904,-0.043,-3.9414
"catch",8,4,"2024-12-04",18,-3.7188,0.0977,0.055,-3.7284
"catch",9,4,"2024-12-04",12,-3.3326,0.0946,0.056,-3.3416
"catch",10,4,"2024-12-04",6,-2.6939,0.0863,0.058,-2.7014
"catch",11,4,"2024-12-04",18,-3.6662,0.0899,0.008,-3.6743
"catch",12,4,"2024-12-04",18,-3.6662,0.0899,0.008,-3.6743
"catch",13,5,"2024-12-05",18,-3.7188,0.0977,0.055,-3.7284
"catch",14,5,"2024-12-05",12,-3.3326,0.0946,0.056,-3.3416
"catch",15,6,"2024-12-06",11,-3.2771,0.0947,0.103,-3.2861
"catch",16,6,"2024-12-06",18,-3.709,0.0942,0.075,-3.7179
"catch",17,6,"2024-12-06",18,-4.2925,0.2583,-0.088,-4.3594
"catch",18,6,"2024-12-06",24,-3.9639,0.1022,-0.039,-3.9744
"catch",19,7,"2024-12-07",24,-4.086,0.1378,-0.15,-4.105
"catch",20,10,"2024-12-10",1,-2.6262,0.2252,-0.103,-2.677
"catch",21,11,"2024-12-11",12,-3.3967,0.1233,0.056,-3.412
"catch",22,12,"2024-12-12",24,-3.9332,0.0904,-0.043,-3.9414
"catch",23,12,"2024-12-12",18,-4.2523,0.2568,0.071,-4.3185
"catch",24,13,"2024-12-13",9,-3.0163,0.0877,0.029,-3.024
"catch",25,18,"2024-12-18",0,-3.8957,0.4847,-0.007,-4.1302
"catch",26,18,"2024-12-18",18,-3.7188,0.0977,0.055,-3.7284
"catch",27,18,"2024-12-18",12,-3.3326,0.0946,0.056,-3.3416
"catch",28,20,"2024-12-20",24,-4.086,0.1378,-0.15,-4.105
"catch",29,21,"2024-12-21",24,-4.086,0.1378,-0.15,-4.105
"catch",30,22,"2024-12-22",5,-2.5996,0.0908,0.106,-2.6079
"catch",31,27,"2024-12-27",12,-3.3231,0.0912,0.073,-3.3314
"catch",32,28,"2024-12-28",18,-3.6618,0.089,0.023,-3.6697
"catch",33,28,"2024-12-28",24,-5.2219,0.4197,0.007,-5.3987
"catch",34,28,"2024-12-28",12,-3.5588,0.1176,0.067,-3.5727
"catch",35,28,"2024-12-28",40,-5.3346,0.3429,-0.023,-5.4528
"catch",36,28,"2024-12-28",20,-3.8025,0.1053,-0.075,-3.8136
"catch",37,31,"2024-12-31",16,-3.5432,0.0887,0.009,-3.5511
"catch",38,31,"2024-12-31",18,-3.6691,0.0947,0.033,-3.6781
"catch",39,31,"2024-12-31",0,-3.4489,0.421,0.125,-3.6259
"catch",40,31,"2024-12-31",24,-3.9471,0.0915,0.02,-3.9554
"catch",41,32,"2025-01-01",24,-3.9413,0.0972,-0.014,-3.9508
"catch",42,33,"2025-01-02",24,-5.2234,0.4279,0.194,-5.4077
"catch",43,33,"2025-01-02",12,-3.323,0.0923,0.12,-3.3315
"catch",44,34,"2025-01-03",48,-4.9353,0.2311,-0.059,-4.989
"catch",45,38,"2025-01-07",10,-3.1213,0.0861,0.08,-3.1288
"catch",46,38,"2025-01-07",12,-3.323,0.0923,0.12,-3.3315
"catch",47,38,"2025-01-07",20,-4.6012,0.3155,0.118,-4.7013
"catch",48,38,"2025-01-07",0,-2.8888,0.3424,0.032,-3.0061
"catch",49,39,"2025-01-08",12,-3.323,0.0923,0.12,-3.3315
"catch",50,39,"2025-01-08",18,-3.7089,0.0954,0.116,-3.718
"catch",51,39,"2025-01-08",6,-2.6851,0.0841,0.133,-2.6921
"catch",52,39,"2025-01-08",24,-3.965,0.1021,-0.005,-3.9755
"catch",53,45,"2025-01-14",24,-3.9472,0.0921,0.059,-3.9557
"catch",54,45,"2025-01-14",9,-3.0171,0.0876,-0.11,-3.0248
"catch",55,45,"2025-01-14",6,-3.1431,0.1406,0.152,-3.1629
"catch",56,48,"2025-01-17",6,-3.1201,0.1654,-0.034,-3.1475
"catch",57,48,"2025-01-17",24,-3.9491,0.0962,0.012,-3.9584
"catch",58,49,"2025-01-18",6,-2.6823,0.0898,0.051,-2.6904
"catch",59,49,"2025-01-18",8,-3.1557,0.1346,0.054,-3.1739
"catch",60,49,"2025-01-18",14,-3.5846,0.1233,0.009,-3.5999
"catch",61,49,"2025-01-18",14,-3.4533,0.1077,-0.069,-3.4649
"catch",62,52,"2025-01-21",30,-6.1638,0.6084,0.283,-6.538
"catch",63,54,"2025-01-23",12,-3.323,0.0923,0.12,-3.3315
"catch",64,55,"2025-01-24",6,-2.6823,0.0898,0.051,-2.6904
"catch",65,56,"2025-01-25",24,-3.9491,0.0962,0.012,-3.9584
"catch",66,56,"2025-01-25",2,-3.2813,0.2966,-0.091,-3.3694
"catch",67,60,"2025-01-29",30,-4.5414,0.208,0.1,-4.5848
"catch",68,60,"2025-01-29",6,-2.6851,0.0841,0.133,-2.6921
"catch",69,60,"2025-01-29",6,-3.1431,0.1406,0.152,-3.1629
"catch",70,60,"2025-01-29",0,-2.8888,0.3424,0.032,-3.0061
"catch",71,60,"2025-01-29",48,-5.4388,0.3327,0.142,-5.5503
"catch",72,76,"2025-02-14",6,-2.8148,0.2968,0.425,-2.9094
"catch",73,77,"2025-02-15",0,-2.4686,0.5111,0.254,-2.7315
"catch",74,77,"2025-02-15",14,-3.5212,0.2358,0.507,-3.5819
"catch",75,88,"2025-02-26",0,-2.4923,0.5301,0.298,-2.7746
"catch",76,91,"2025-03-01",1,-2.3824,0.4206,0.305,-2.5611
"catch",77,91,"2025-03-01",1,-2.3824,0.4206,0.305,-2.5611
"catch",78,115,"2025-03-25",18,-4.4897,0.7447,0.445,-5.0987
"catch",79,115,"2025-03-25",9,-3.1106,0.1946,0.218,-3.1492
"catch",80,125,"2025-04-04",6,-2.7067,0.1355,-0.051,-2.7252
"catch",81,125,"2025-04-04",6,-2.8299,0.2372,0.175,-2.8874
"catch",82,126,"2025-04-05",3,-2.1095,0.1175,-0.036,-2.1234
"catch",83,126,"2025-04-05",5,-2.8409,0.2549,0.014,-2.9061
"catch",84,126,"2025-04-05",8,-2.955,0.1297,-0.009,-2.9719
"catch",85,136,"2025-04-15",1,-2.5364,0.384,0.219,-2.6839
"catch",86,140,"2025-04-19",5,-2.7164,0.218,-0.009,-2.7641
"catch",87,144,"2025-04-23",6,-2.8205,0.2486,0.157,-2.8841
"catch",88,151,"2025-04-30",3,-2.1197,0.1277,0.149,-2.1361
"catch",89,152,"2025-05-01",24,-4.045,0.1673,0.219,-4.0731
"catch",90,152,"2025-05-01",6,-2.727,0.1327,0.145,-2.7447
"catch",91,152,"2025-05-01",12,-3.3839,0.148,-0.029,-3.406
"catch",92,153,"2025-05-02",7,-2.8258,0.1117,-0.039,-2.8384
"catch",93,155,"2025-05-04",16,-3.9045,0.3183,0.179,-4.0069
"catch",94,164,"2025-05-13",14,-4.6572,0.6289,0.378,-5.0541
"catch",95,164,"2025-05-13",5,-3.5027,0.3159,0.175,-3.6032
"catch",96,167,"2025-05-16",36,-4.4611,0.1962,0.207,-4.4999
"catch",97,168,"2025-05-17",7,-2.8258,0.1117,-0.039,-2.8384
"catch",98,172,"2025-05-21",2,-2.6082,0.2805,0.174,-2.6873
"catch",99,189,"2025-06-07",2,-2.7051,0.3816,0.031,-2.8515
"catch",100,202,"2025-06-20",22,-4.9754,0.9993,0.78,-6.171
"catch",101,202,"2025-06-20",3,-3.0996,0.4033,-0.004,-3.2633
"catch",102,203,"2025-06-21",1,-2.4733,0.4006,-0.018,-2.6347
"catch",103,217,"2025-07-05",11,-3.2669,0.1772,0.332,-3.299
"catch",104,234,"2025-07-22",6,-2.717,0.1566,0.182,-2.742
"catch",105,234,"2025-07-22",12,-3.9938,0.6277,0.369,-4.4184
"catch",106,234,"2025-07-22",3,-2.4267,0.2441,0.143,-2.4866
"catch",107,234,"2025-07-22",0,-3.1097,0.5102,0.146,-3.3717
"catch",108,242,"2025-07-30",0,-3.6758,0.5791,0.168,-4.0137
"catch",109,244,"2025-08-01",12,-3.6177,0.2665,0.222,-3.6898
"catch",110,244,"2025-08-01",5,-2.5264,0.0975,0.131,-2.5359
"catch",111,244,"2025-08-01",12,-3.2907,0.0954,0.23,-3.2998
"catch",112,244,"2025-08-01",13,-3.7929,0.31,0.247,-3.8907
"catch",113,245,"2025-08-02",9,-3.0947,0.1206,0.057,-3.1092
"catch",114,248,"2025-08-05",9,-3.0948,0.1302,0.071,-3.1119
"catch",115,249,"2025-08-06",0,-3.1763,0.4157,0.022,-3.3498
"catch",116,249,"2025-08-06",4,-2.9663,0.2124,0.095,-3.0116
"catch",117,249,"2025-08-06",13,-3.3606,0.0932,0.152,-3.3692
"catch",118,249,"2025-08-06",17,-4.4634,0.4462,0.252,-4.6661
"catch",119,249,"2025-08-06",0,-1.8021,0.2503,0.043,-1.8649
"catch",120,262,"2025-08-19",12,-3.5902,0.2364,0.11,-3.6467
"catch",121,269,"2025-08-26",8,-2.9346,0.0992,0.07,-2.9444
"catch",122,269,"2025-08-26",6,-2.6544,0.0855,0.113,-2.6617
"catch",123,269,"2025-08-26",0,-1.8021,0.2503,0.043,-1.8649
"catch",124,271,"2025-08-28",6,-2.6544,0.0855,0.113,-2.6617
"catch",125,278,"2025-09-04",2,-2.4767,0.3335,0.203,-2.5878
"catch",126,283,"2025-09-09",9,-3.5772,0.5656,0.555,-3.9328
"catch",127,283,"2025-09-09",1,-1.4275,0.1564,0.07,-1.452
"catch",128,284,"2025-09-10",6,-2.8147,0.2613,0.368,-2.8861
"catch",129,284,"2025-09-10",2,-2.2224,0.2806,0.282,-2.3011
"catch",130,286,"2025-09-12",0,-1.943,0.4019,0.197,-2.1044
"catch",131,287,"2025-09-13",2,-2.4523,0.339,0.178,-2.5671
