"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",3.02293083895752,2.6120025769657,3.01361793771261,3.52652982080413,1413,1.004
"mu_mu_C[1]",-0.299694418157182,-0.548892547125414,-0.306065437045963,-0.00205135548285876,2016,1.0014
"sigma_eps_E",0.247086055555259,0.0112291804728334,0.205235566725626,0.766594424090613,2127,1.0009
"sigma_eps_C",0.155275018978317,0.0167023173017915,0.133068419134738,0.435977010410007,2182,1.0003
"phi_E",0.0955597525824964,-0.710771759815263,0.113995979879549,0.818052747608739,4944,0.9998
"phi_C",0.0276072800474685,-0.797690151707125,0.0354349727806448,0.820827593122824,5225,1.0006
"sigma_r_E",0.561340493757044,0.445432857189646,0.556977998654872,0.702740036201677,7470,1.0002
"sigma_r_C",0.856834369970826,0.782065420860866,0.856780124396272,0.935034306916045,10078,0.9997
"r_E",3.3047382860932,2.02493276080589,3.2234721276449,5.04005782341874,7517,1.0004
"r_C",1.37070729036834,1.14378634828384,1.36226385518802,1.63498522424002,9599,0.9998
"sigma_mu_E",12.0840187083913,0.0777995770869806,2.00548949420595,55.5522283545083,4738,1.0006
"sigma_mu_C",13.095221781854,0.0826188828668933,1.97641348326174,49.0760538532056,5961,1
"sigma_IE",0.15505518725967,0.0138090289307994,0.116237118336729,0.506787262178272,3885,1.0006
"R_G",1.32610410291812,1.26766427395487,1.32595811999042,1.38516064612484,9427,1
"B1",0.503971406551876,0.199170706884464,0.503093488885707,0.81972374163722,7196,1.0003
"B2",0.0519124873208587,-1.00258652544492,0.0316041603604465,1.21500313864986,6812,0.9996
"B1_C",-0.336565496349953,-0.518421114322688,-0.336170817157526,-0.156603492877083,6797,0.9998
