"draw","C_sum","C_expected_sum","E_sum"
1,55214,55334.9587000324,17746.8206470543
2,42281,42489.3343921129,15437.8077432405
3,38285,38107.8508347276,17693.0377590209
4,42144,41829.70192565,14816.9976465995
5,49558,49456.75349165,16288.966359196
9,43463,43368.5174870117,15196.2532808079
11,46609,46858.2062484281,17917.8778698593
12,45072,44794.7832193643,13976.7721698175
14,42899,42863.0228530057,14313.5542308397
15,35516,35373.7073831104,14183.7865780248
16,39988,39976.5773265579,15080.2875800576
18,44395,44498.5229421649,13879.7049577008
19,38917,39071.4920543897,13437.6108452925
20,52298,51932.3381163951,17023.702666408
21,37098,36996.5310861687,12743.1996849937
25,45289,45117.0090771897,21338.1672918778
26,60202,60049.5426372907,16302.3258549344
27,42929,42951.8004769724,14768.989644241
29,47501,47707.0140201093,17619.596647859
32,37130,37286.9078502876,14083.7127134569
33,43825,43766.1815780261,17441.6050697177
34,47513,47084.0351129196,15418.467530397
36,45646,45649.1306355405,14872.5652002027
37,53075,52666.6667544854,16419.0169661237
41,39616,39378.0192199495,14460.5505677123
44,29495,29309.0220837593,12298.4531399369
45,42221,42154.131660422,14419.1264194925
47,62213,62263.6489668051,16705.5555022941
50,27185,27194.4873407621,11294.5249861879
51,36163,36379.3503359489,12052.815019679
53,53620,53600.0002174336,15326.7825804062
54,42279,42781.503580376,13407.8977615826
57,40373,39963.5581448594,14912.2228592751
58,42344,42471.8349213834,14284.3155213936
60,39501,39324.1147723675,13401.0968809712
62,47759,47846.0756701034,16963.1420556403
63,44991,45049.0838349806,15420.0381615296
65,51548,51737.577164108,15650.6214249892
66,51680,51796.7897519035,16456.884039477
67,30075,29950.3733746802,13188.1537970222
68,39148,39162.4357846646,14812.334030451
69,51590,51442.7377610527,14264.8442688518
72,39827,39405.4893027439,13185.5363937457
73,51814,51798.7678797924,15554.1789444026
78,64400,64405.0359198477,15513.7785296695
80,34173,34002.0206522521,12649.4919999611
83,33998,33701.5148868441,13458.7135105763
84,56647,56841.7147291887,15165.3864169515
85,40858,40604.5592660598,14910.6374986336
86,55020,54939.6616684079,17789.8085903228
89,29347,29212.5064010773,13578.6902295257
91,34599,34423.3250002994,13341.5791333248
94,42893,42633.3254024705,14434.0521194208
95,47654,47440.9592824568,17468.4427115899
97,45088,44557.5663425936,15510.851445238
102,44935,44891.1031335469,15357.9777660694
104,60600,60760.564730166,17428.6760870026
105,48052,47991.3779006195,15478.2575531227
106,57639,57415.4898261497,16507.5582327297
107,43879,43648.5987983845,14127.2023716038
108,44560,44894.3167069159,12172.8844682844
114,36943,36811.8312009777,15325.6965553536
119,43778,43766.9169281373,13341.4310150772
123,38045,37739.2250075809,15788.1260644153
128,41323,41291.7327589328,15150.0679786562
131,42932,42793.9457327875,13423.4921947444
133,45788,45466.0194324195,17827.0282977986
134,30448,30474.3656348083,12207.4872529489
137,45522,45815.0328214984,13858.8464070006
142,55262,55249.2450549812,18094.188731995
143,48124,47798.6788631802,16030.0086400567
147,40176,40388.0781105003,14149.0122285098
150,59333,59585.3742090993,16833.078383716
153,43781,43748.1866358761,14562.385077357
154,47001,46960.2309358444,13819.4263150626
160,41556,41561.3463382721,16913.1528863082
161,39728,39854.3714144397,14789.9661656888
162,43281,43297.7956159689,13235.3754169911
164,36551,36836.3035685195,13376.5545530331
165,53678,53771.7738335168,16639.0555323162
166,42831,42714.4612668432,14200.2127613505
169,50855,51093.1204432961,16407.2251321478
170,31788,31824.021303381,13457.9075548013
171,33896,33908.5118566663,10838.0565033817
172,51287,50960.1956187121,17023.9356874034
173,43874,43764.8617352447,15190.656016468
174,47327,47064.1029993822,16352.4460491896
175,38350,38393.1107894513,14365.8133842953
178,39199,39281.1578310327,15870.668113567
181,25467,25457.8738262821,10929.1032089358
188,41097,41144.7001142267,14515.298513749
190,39426,39370.4550108356,14617.4428281577
191,49381,49391.3957712878,16786.216518979
192,50311,50403.3476197795,16370.435290617
196,47153,47114.9567014878,16083.283490353
198,40115,40186.9749065927,15139.5015905567
199,40028,40197.9729183047,13205.1073372175
200,45090,45229.562345926,13707.2519186587
203,55434,55407.7687145452,17262.2811410793
204,47090,47001.2311643924,18778.5339135678
205,51890,51934.8688872312,18261.3728668697
206,41320,41100.7742585832,17408.3727137736
212,56508,56619.2351569518,18538.2413648733
214,45270,45220.7083424466,16240.6487084394
216,41819,41696.2020746733,13510.0708174285
222,49360,49291.1124559266,16228.3019223735
223,54196,53922.0170025376,16417.4497537293
224,50611,50525.5254251855,15316.7139429141
229,48500,48391.5883729341,17287.6647393621
231,43317,43213.0294736907,15687.288278396
232,32309,32391.0109036041,14731.656370144
236,42852,43043.0755435821,14401.7338431342
238,40827,40591.3753062331,13461.8055260433
242,46138,45781.7429361528,15864.3805865052
243,55946,55751.2266480939,17472.0494281283
246,42728,42716.5855262867,15273.8604024309
247,33922,34117.4556148802,12287.8614076824
249,49177,49589.3847506801,16941.2821597134
254,42119,42561.0986050548,15671.0962407839
257,38884,38635.4828798395,14158.3926390092
260,49632,49496.7490918172,14512.2066340325
261,45268,45075.4522646594,13928.4488617471
265,36236,36527.4957704605,14935.2177691232
267,53639,53895.140370676,16616.9841753726
268,34844,35160.9309337252,11356.6342121317
269,52674,52708.3591115163,17176.2413808102
270,42201,42330.0676481502,14577.1540679611
