"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"gear",2,"2024-09-17",30,30.13,0.5806,TRUE,TRUE
"gear",3,"2024-09-18",29,30.13,0.559,TRUE,TRUE
"gear",4,"2024-09-19",55,30.13,0.9011,FALSE,TRUE
"gear",5,"2024-09-20",29,49.833,0.2704,TRUE,TRUE
"gear",6,"2024-09-21",48,49.833,0.56,TRUE,TRUE
"gear",9,"2024-09-24",50,30.13,0.8654,FALSE,TRUE
"gear",10,"2024-09-25",13,30.13,0.1641,FALSE,TRUE
"gear",12,"2024-09-27",34,49.833,0.3502,TRUE,TRUE
"gear",13,"2024-09-28",79,49.833,0.8488,FALSE,TRUE
"gear",16,"2024-10-01",30,29.133,0.601,TRUE,TRUE
"gear",18,"2024-10-03",45,29.133,0.8344,FALSE,TRUE
"gear",19,"2024-10-04",29,48.22,0.2847,TRUE,TRUE
"gear",20,"2024-10-05",72,48.22,0.8214,FALSE,TRUE
"gear",23,"2024-10-08",30,29.133,0.601,TRUE,TRUE
"gear",24,"2024-10-09",29,29.133,0.5793,TRUE,TRUE
"gear",26,"2024-10-11",14,48.22,0.0713,FALSE,TRUE
"gear",27,"2024-10-12",62,48.22,0.7409,TRUE,TRUE
"gear",28,"2024-10-13",64,48.22,0.7592,FALSE,TRUE
"gear",30,"2024-10-15",27,25.758,0.6106,TRUE,TRUE
"gear",31,"2024-10-16",37,25.758,0.7985,FALSE,TRUE
"gear",32,"2024-10-17",43,25.758,0.8688,FALSE,TRUE
"gear",33,"2024-10-18",39,42.693,0.5233,TRUE,TRUE
"gear",34,"2024-10-19",62,42.693,0.8071,FALSE,TRUE
"gear",36,"2024-10-21",29,25.758,0.6561,TRUE,TRUE
"gear",37,"2024-10-22",25,25.758,0.5611,TRUE,TRUE
"gear",38,"2024-10-23",35,25.758,0.7686,FALSE,TRUE
"gear",39,"2024-10-24",24,25.758,0.5349,TRUE,TRUE
"gear",40,"2024-10-25",10,42.693,0.0455,FALSE,TRUE
"gear",41,"2024-10-26",36,42.693,0.4723,TRUE,TRUE
"gear",42,"2024-10-27",18,42.693,0.1488,FALSE,TRUE
"gear",45,"2024-10-30",18,24.206,0.4036,TRUE,TRUE
