"event_date","day_type","day_length","population","subseason","pe_crabber_hours","pe_cpue","pe_catch","bss_effort_median","bss_effort_lo95","bss_effort_hi95","bss_catch_median","bss_catch_lo95","bss_catch_hi95","combined_effort","combined_catch","method"
2024-09-16,"weekday",5.6,"private_boat","ring_net_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PE"
2024-09-16,"weekday",5.6,"shore","ring_net_only",NA,NA,NA,124.3,73.5,221.8,86.5,49.1,160,124.3,86.5,"BSS"
2024-09-17,"weekday",5.6,"private_boat","ring_net_only",22.2,0,0,NA,NA,NA,NA,NA,NA,22.2,0,"PE"
2024-09-17,"weekday",5.6,"shore","ring_net_only",127.5,0.7,95,125.4,73.5,222.3,86.8,48.8,159.2,125.4,86.8,"BSS"
2024-09-18,"weekday",5.6,"private_boat","ring_net_only",39.9,NA,NA,NA,NA,NA,NA,NA,NA,39.9,NA,"PE"
2024-09-18,"weekday",5.6,"shore","ring_net_only",123.3,1,127.5,124.8,74.8,217.3,86.5,50,157.8,124.8,86.5,"BSS"
2024-09-19,"weekday",5.6,"private_boat","ring_net_only",13.3,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA,"PE"
2024-09-19,"weekday",5.6,"shore","ring_net_only",233.8,0.5,106.3,124.3,74.3,219.7,86,50,156.5,124.3,86,"BSS"
2024-09-20,"weekend",5.4,"private_boat","ring_net_only",2.1,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,"PE"
2024-09-20,"weekend",5.4,"shore","ring_net_only",117.9,0.5,58.4,199.3,116.4,352.3,98.5,56.5,180,199.3,98.5,"BSS"
2024-09-21,"weekend",5.4,"private_boat","ring_net_only",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PE"
2024-09-21,"weekend",5.4,"shore","ring_net_only",195.2,0.2,47.2,199,117.3,351,98.4,55.8,180.3,199,98.4,"BSS"
2024-09-22,"weekend",5.4,"private_boat","ring_net_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PE"
