"draw","C_sum","C_expected_sum","E_sum"
2,19972,19955.1646971194,22489.4310265173
12,17744,17707.1003593969,21565.4986795102
15,18643,18623.3023427555,21427.8170643389
16,20363,20420.2605667882,23815.4523388322
18,19650,19668.4147851945,23640.9418462929
20,20462,20381.0182956029,23339.292161236
24,23609,23662.8939990948,26245.0511207231
34,19381,19274.2461579856,24547.5269671093
45,21294,21379.2104772741,23486.3750244763
48,20926,20933.518338058,24106.1462050723
53,24316,24080.8540895237,26460.7922386048
56,21109,21122.1520842724,24956.313883781
58,20076,20258.4403993761,24010.4740451479
66,21129,21158.8395690035,22935.3318826125
72,18982,18689.5634386505,24353.3005462101
79,19582,19690.3046325603,24207.9237831709
84,23537,23448.0785946868,24308.7958836708
88,22223,22197.9387195261,24795.2920963787
93,21394,21517.6469359528,26352.4711390633
95,20685,20781.9061011172,23643.5901702965
102,20361,20198.8299006369,23017.4331660273
110,20285,20406.5165486832,23969.7237201564
112,20014,19875.9710807522,23755.2739388391
115,20790,20628.7063197599,23453.4390110046
121,19546,19545.6042566643,22682.2286375363
123,19766,19822.203263613,24647.1931429018
124,20564,20530.0345052723,25846.7795231015
138,18752,18781.2379857868,23244.7612962135
139,20328,20311.0775749091,25766.1132524951
143,20035,20051.1609451328,24637.7602011823
146,21027,20975.6410147117,23375.247608743
158,20125,19902.7998711952,24038.724053877
160,22250,22427.2931966165,25431.7885923648
183,19884,20041.8927814534,22501.453473145
188,24030,24209.077632843,25343.0863737327
197,22672,22654.2945244031,24658.011859127
209,20574,20669.6212459033,23559.8104421842
212,20347,20534.9564369261,22087.0842665957
215,24924,24775.3486231639,26174.2930377957
216,19951,20153.2594711327,24773.7697390907
222,22614,22639.6175215233,24385.8055185389
231,20794,20888.0016368983,24229.7564232857
234,18026,18122.3177190678,22206.2715778102
248,21943,22148.8212625052,25865.3284353052
254,23018,23077.5781792459,27891.2044385048
256,20552,20651.7835121321,23525.8821425058
273,17743,17952.9508210428,22743.3653265636
276,23422,23451.8258565271,26785.5792665267
