"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"trailer",2,"2024-12-02",1,2.207,0.3915,TRUE,TRUE
"trailer",3,"2024-12-03",2,2.207,0.5911,TRUE,TRUE
"trailer",4,"2024-12-04",5,2.207,0.8814,FALSE,TRUE
"trailer",5,"2024-12-05",3,2.207,0.7294,TRUE,TRUE
"trailer",6,"2024-12-06",2,2.947,0.4946,TRUE,TRUE
"trailer",7,"2024-12-07",2,2.947,0.4946,TRUE,TRUE
"trailer",10,"2024-12-10",1,1.042,0.6085,TRUE,TRUE
"trailer",11,"2024-12-11",0,1.042,0.2372,FALSE,TRUE
"trailer",12,"2024-12-12",1,1.042,0.6085,TRUE,TRUE
"trailer",13,"2024-12-13",0,1.391,0.199,FALSE,TRUE
"trailer",14,"2024-12-14",0,1.391,0.199,FALSE,TRUE
"trailer",15,"2024-12-15",2,1.391,0.736,TRUE,TRUE
"trailer",18,"2024-12-18",4,1.491,0.9049,FALSE,TRUE
"trailer",20,"2024-12-20",1,1.988,0.4279,TRUE,TRUE
"trailer",21,"2024-12-21",1,1.988,0.4279,TRUE,TRUE
"trailer",22,"2024-12-22",1,1.988,0.4279,TRUE,TRUE
"trailer",23,"2024-12-23",2,1.646,0.6876,TRUE,TRUE
"trailer",24,"2024-12-24",1,1.646,0.4803,TRUE,TRUE
"trailer",26,"2024-12-26",0,1.646,0.1761,FALSE,TRUE
"trailer",27,"2024-12-27",2,2.188,0.5973,TRUE,TRUE
"trailer",28,"2024-12-28",5,2.188,0.8825,FALSE,TRUE
"trailer",31,"2024-12-31",2,3.192,0.5099,TRUE,TRUE
"trailer",32,"2025-01-01",3,2.177,0.7437,TRUE,TRUE
"trailer",33,"2025-01-02",0,0.816,0.2748,TRUE,TRUE
"trailer",34,"2025-01-03",0,1.085,0.2377,FALSE,TRUE
"trailer",35,"2025-01-04",0,1.085,0.2377,FALSE,TRUE
"trailer",38,"2025-01-07",0,1.33,0.2032,FALSE,TRUE
"trailer",39,"2025-01-08",4,1.33,0.9236,FALSE,TRUE
"trailer",40,"2025-01-09",1,1.33,0.5397,TRUE,TRUE
"trailer",41,"2025-01-10",1,1.776,0.4577,TRUE,TRUE
"trailer",42,"2025-01-11",1,1.776,0.4577,TRUE,TRUE
"trailer",45,"2025-01-14",5,1.998,0.9004,FALSE,TRUE
"trailer",47,"2025-01-16",0,1.998,0.1514,FALSE,TRUE
"trailer",48,"2025-01-17",3,2.662,0.6707,TRUE,TRUE
"trailer",49,"2025-01-18",4,2.662,0.7687,FALSE,TRUE
"trailer",52,"2025-01-21",1,1,0.6228,TRUE,TRUE
"trailer",53,"2025-01-22",1,1,0.6228,TRUE,TRUE
"trailer",54,"2025-01-23",0,1,0.2451,FALSE,TRUE
"trailer",55,"2025-01-24",1,1.334,0.5457,TRUE,TRUE
"trailer",56,"2025-01-25",1,1.334,0.5457,TRUE,TRUE
"trailer",60,"2025-01-29",3,0.746,0.9464,FALSE,TRUE
"trailer",61,"2025-01-30",0,0.746,0.2842,TRUE,TRUE
"trailer",62,"2025-01-31",0,0.993,0.2469,FALSE,TRUE
"trailer",63,"2025-02-01",0,0.993,0.2469,FALSE,TRUE
"trailer",67,"2025-02-05",0,0.546,0.3242,TRUE,TRUE
"trailer",68,"2025-02-06",0,0.546,0.3242,TRUE,TRUE
"trailer",69,"2025-02-07",0,0.728,0.2896,TRUE,TRUE
"trailer",70,"2025-02-08",2,1.498,0.7287,TRUE,TRUE
"trailer",73,"2025-02-11",0,0.702,0.2931,TRUE,TRUE
"trailer",74,"2025-02-12",1,0.702,0.7108,TRUE,TRUE
"trailer",76,"2025-02-14",1,0.932,0.6433,TRUE,TRUE
"trailer",77,"2025-02-15",2,0.932,0.8334,FALSE,TRUE
"trailer",81,"2025-02-19",0,0.512,0.3322,TRUE,TRUE
"trailer",82,"2025-02-20",0,0.512,0.3322,TRUE,TRUE
"trailer",83,"2025-02-21",0,0.68,0.2985,TRUE,TRUE
"trailer",84,"2025-02-22",1,0.68,0.7193,TRUE,TRUE
"trailer",87,"2025-02-25",0,0.636,0.3039,TRUE,TRUE
"trailer",88,"2025-02-26",2,0.636,0.8986,FALSE,TRUE
"trailer",89,"2025-02-27",0,0.636,0.3039,TRUE,TRUE
"trailer",90,"2025-02-28",0,0.847,0.2675,TRUE,TRUE
"trailer",91,"2025-03-01",2,0.847,0.8518,FALSE,TRUE
"trailer",94,"2025-03-04",0,0.585,0.3165,TRUE,TRUE
"trailer",95,"2025-03-05",0,0.585,0.3165,TRUE,TRUE
"trailer",96,"2025-03-06",1,0.585,0.7505,FALSE,TRUE
"trailer",98,"2025-03-08",0,0.779,0.2814,TRUE,TRUE
"trailer",101,"2025-03-11",2,0.916,0.8366,FALSE,TRUE
"trailer",102,"2025-03-12",1,0.916,0.6456,TRUE,TRUE
"trailer",104,"2025-03-14",1,1.223,0.5701,TRUE,TRUE
"trailer",105,"2025-03-15",0,1.223,0.2191,FALSE,TRUE
"trailer",108,"2025-03-18",2,1.182,0.7768,FALSE,TRUE
"trailer",109,"2025-03-19",0,1.182,0.2171,FALSE,TRUE
"trailer",109,"2025-03-19",0,1.182,0.2171,FALSE,TRUE
"trailer",110,"2025-03-20",0,1.182,0.2171,FALSE,TRUE
"trailer",111,"2025-03-21",0,1.568,0.1788,FALSE,TRUE
"trailer",112,"2025-03-22",1,1.568,0.4878,TRUE,TRUE
"trailer",112,"2025-03-22",6,1.568,0.9642,FALSE,TRUE
"trailer",113,"2025-03-23",0,1.568,0.1788,FALSE,TRUE
"trailer",115,"2025-03-25",8,2.744,0.9354,FALSE,TRUE
"trailer",117,"2025-03-27",0,2.744,0.1165,FALSE,TRUE
"trailer",118,"2025-03-28",0,3.66,0.0887,FALSE,TRUE
"trailer",122,"2025-04-01",1,5.234,0.1742,FALSE,TRUE
"trailer",123,"2025-04-02",1,5.234,0.1742,FALSE,TRUE
"trailer",124,"2025-04-03",6,5.234,0.6764,TRUE,TRUE
"trailer",125,"2025-04-04",13,6.944,0.855,FALSE,TRUE
"trailer",125,"2025-04-04",9,6.944,0.7267,TRUE,TRUE
"trailer",126,"2025-04-05",16,6.944,0.9093,FALSE,TRUE
"trailer",131,"2025-04-10",0,2.653,0.131,FALSE,TRUE
"trailer",132,"2025-04-11",2,3.533,0.4648,TRUE,TRUE
"trailer",136,"2025-04-15",2,3.24,0.4879,TRUE,TRUE
"trailer",140,"2025-04-19",2,4.313,0.3979,TRUE,TRUE
"trailer",144,"2025-04-23",10,6.065,0.8143,FALSE,TRUE
"trailer",145,"2025-04-24",3,6.065,0.3752,TRUE,TRUE
"trailer",145,"2025-04-24",3,6.065,0.3752,TRUE,TRUE
"trailer",146,"2025-04-25",7,8.135,0.5738,TRUE,TRUE
"trailer",150,"2025-04-29",2,11.953,0.1118,FALSE,TRUE
"trailer",150,"2025-04-29",3,11.953,0.1682,FALSE,TRUE
"trailer",151,"2025-04-30",7,11.953,0.3934,TRUE,TRUE
"trailer",152,"2025-05-01",56,11.953,0.9946,FALSE,FALSE
"trailer",152,"2025-05-01",56,11.953,0.9946,FALSE,FALSE
"trailer",153,"2025-05-02",3,16.065,0.1192,FALSE,TRUE
"trailer",153,"2025-05-02",2,16.065,0.0782,FALSE,TRUE
"trailer",154,"2025-05-03",4,16.065,0.1624,FALSE,TRUE
"trailer",155,"2025-05-04",7,16.065,0.2945,TRUE,TRUE
"trailer",155,"2025-05-04",7,16.065,0.2945,TRUE,TRUE
"trailer",158,"2025-05-07",1,2.763,0.3596,TRUE,TRUE
"trailer",158,"2025-05-07",0,2.763,0.1266,FALSE,TRUE
"trailer",158,"2025-05-07",0,2.763,0.1266,FALSE,TRUE
"trailer",164,"2025-05-13",1,3.302,0.2738,TRUE,TRUE
"trailer",164,"2025-05-13",1,3.302,0.2738,TRUE,TRUE
"trailer",165,"2025-05-14",0,3.302,0.0905,FALSE,TRUE
"trailer",166,"2025-05-15",11,3.302,0.9622,FALSE,TRUE
"trailer",166,"2025-05-15",9,3.302,0.9323,FALSE,TRUE
"trailer",167,"2025-05-16",1,4.418,0.2082,FALSE,TRUE
"trailer",167,"2025-05-16",0,4.418,0.0668,FALSE,TRUE
"trailer",168,"2025-05-17",3,4.418,0.4781,TRUE,TRUE
"trailer",168,"2025-05-17",2,4.418,0.3513,TRUE,TRUE
"trailer",172,"2025-05-21",2,6.279,0.2451,FALSE,TRUE
"trailer",172,"2025-05-21",2,6.279,0.2451,FALSE,TRUE
"trailer",173,"2025-05-22",13,6.279,0.8826,FALSE,TRUE
"trailer",173,"2025-05-22",12,6.279,0.8602,FALSE,TRUE
"trailer",174,"2025-05-23",10,8.4,0.6941,TRUE,TRUE
"trailer",174,"2025-05-23",5,8.4,0.4161,TRUE,TRUE
"trailer",175,"2025-05-24",23,17.227,0.7515,FALSE,TRUE
"trailer",175,"2025-05-24",7,17.227,0.2989,TRUE,TRUE
"trailer",186,"2025-06-04",2,4.61,0.3367,TRUE,TRUE
"trailer",186,"2025-06-04",2,4.61,0.3367,TRUE,TRUE
"trailer",187,"2025-06-05",5,4.61,0.6539,TRUE,TRUE
"trailer",187,"2025-06-05",4,4.61,0.5669,TRUE,TRUE
"trailer",187,"2025-06-05",1,4.61,0.1982,FALSE,TRUE
"trailer",188,"2025-06-06",1,6.113,0.1446,FALSE,TRUE
"trailer",188,"2025-06-06",2,6.113,0.2541,TRUE,TRUE
"trailer",189,"2025-06-07",13,6.113,0.8888,FALSE,TRUE
"trailer",189,"2025-06-07",14,6.113,0.9067,FALSE,TRUE
"trailer",202,"2025-06-20",8,8.268,0.6246,TRUE,TRUE
"trailer",202,"2025-06-20",8,8.268,0.6246,TRUE,TRUE
"trailer",203,"2025-06-21",6,8.268,0.512,TRUE,TRUE
"trailer",203,"2025-06-21",2,8.268,0.1996,FALSE,TRUE
"trailer",214,"2025-07-02",16,30.573,0.389,TRUE,TRUE
"trailer",217,"2025-07-05",74,40.496,0.8583,FALSE,TRUE
"trailer",228,"2025-07-16",13,26.535,0.3429,TRUE,TRUE
"trailer",228,"2025-07-16",12,26.535,0.3161,TRUE,TRUE
"trailer",229,"2025-07-17",15,26.535,0.3946,TRUE,TRUE
"trailer",229,"2025-07-17",14,26.535,0.3691,TRUE,TRUE
"trailer",231,"2025-07-19",73,35.275,0.8926,FALSE,TRUE
"trailer",234,"2025-07-22",54,42.714,0.7425,TRUE,TRUE
"trailer",241,"2025-07-29",39,32.781,0.6955,TRUE,TRUE
"trailer",241,"2025-07-29",15,32.781,0.2995,TRUE,TRUE
