"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"gear",1,"2024-12-01",76,74.305,0.5866,TRUE,TRUE
"gear",3,"2024-12-03",27,28.801,0.5003,TRUE,TRUE
"gear",4,"2024-12-04",30,29.93,0.5615,TRUE,TRUE
"gear",5,"2024-12-05",20,22.034,0.4761,TRUE,TRUE
"gear",6,"2024-12-06",25,30.836,0.3591,TRUE,TRUE
"gear",7,"2024-12-07",31,33.64,0.4808,TRUE,TRUE
"gear",10,"2024-12-10",23,24.266,0.5106,TRUE,TRUE
"gear",11,"2024-12-11",20,22.745,0.4422,TRUE,TRUE
"gear",12,"2024-12-12",39,35.153,0.6649,TRUE,TRUE
"gear",13,"2024-12-13",22,27.823,0.344,TRUE,TRUE
"gear",14,"2024-12-14",37,37.492,0.545,TRUE,TRUE
"gear",15,"2024-12-15",33,36.425,0.4631,TRUE,TRUE
"gear",18,"2024-12-18",32,31.421,0.5786,TRUE,TRUE
"gear",20,"2024-12-20",22,25.469,0.4289,TRUE,TRUE
"gear",21,"2024-12-21",20,22.789,0.4451,TRUE,TRUE
"gear",22,"2024-12-22",19,23.689,0.3675,TRUE,TRUE
"gear",23,"2024-12-23",29,28.19,0.5879,TRUE,TRUE
"gear",24,"2024-12-24",31,32.194,0.526,TRUE,TRUE
"gear",26,"2024-12-26",33,33.753,0.5398,TRUE,TRUE
"gear",27,"2024-12-27",50,52.891,0.4992,TRUE,TRUE
"gear",28,"2024-12-28",58,59.495,0.5381,TRUE,TRUE
"gear",31,"2024-12-31",96,94.354,0.5822,TRUE,TRUE
"gear",32,"2025-01-01",55,62.964,0.4175,TRUE,TRUE
"gear",33,"2025-01-02",28,28.592,0.5422,TRUE,TRUE
"gear",34,"2025-01-03",55,55.069,0.5612,TRUE,TRUE
"gear",35,"2025-01-04",39,42.99,0.4601,TRUE,TRUE
"gear",38,"2025-01-07",19,21.868,0.4284,TRUE,TRUE
"gear",39,"2025-01-08",29,29.659,0.5382,TRUE,TRUE
"gear",40,"2025-01-09",35,34.182,0.5852,TRUE,TRUE
"gear",41,"2025-01-10",34,42.63,0.3384,TRUE,TRUE
"gear",42,"2025-01-11",149,130.81,0.7056,TRUE,TRUE
"gear",45,"2025-01-14",50,47.76,0.6095,TRUE,TRUE
"gear",47,"2025-01-16",16,19.757,0.3787,TRUE,TRUE
"gear",48,"2025-01-17",47,47.961,0.5408,TRUE,TRUE
"gear",49,"2025-01-18",62,60.794,0.5843,TRUE,TRUE
"gear",52,"2025-01-21",16,17.642,0.4813,TRUE,TRUE
"gear",53,"2025-01-22",8,11.998,0.2728,TRUE,TRUE
"gear",54,"2025-01-23",16,15.404,0.5976,TRUE,TRUE
"gear",55,"2025-01-24",9,16.329,0.1626,FALSE,TRUE
"gear",56,"2025-01-25",68,60.854,0.6789,TRUE,TRUE
