"parameter","prior","prior_mean","prior_sd","post_mean","post_sd","post_median","post_lo95","post_hi95","contraction","prior_influential"
"R_G","lognormal(log(1.273), 0.300)",1.33162153262818,0.408645736325748,1.27907192512917,0.0187043039866615,1.27904728374294,1.24179693286504,1.31598172194141,0.954,FALSE
"phi_E","2*beta(2.0,2.0)-1",0,0.447213595499958,0.482682967003672,0.0938260509177885,0.488451986741401,0.282713314232245,0.652860822059114,0.79,FALSE
"phi_C","2*beta(2.0,2.0)-1",0,0.447213595499958,0.828099026909027,0.0838958172638355,0.843094810113084,0.625389354336726,0.947049193831208,0.812,FALSE
"B1","normal(0, 1.0)",0,1,0.509142024592673,0.115525700961144,0.51014819638969,0.279863282380785,0.732944486363933,0.884,FALSE
"B2","normal(0, 1.0)",0,1,0.521557223616947,0.299172084783809,0.521991869537008,-0.0713108911551589,1.09569140266535,0.701,FALSE
"mu_mu_E[1]","normal(3.219, 2.0)",3.2188758248682,2,3.11985181159712,0.8739467498591,3.10309920099247,1.18656809614679,5.08039958551047,0.563,FALSE
"mu_mu_C[1]","normal(-0.693, 2.0)",-0.693147180559945,2,-0.16138717491486,0.909609721163374,-0.0933295127948602,-2.38373321955695,1.74804053502723,0.545,FALSE
"sigma_eps_E","half-cauchy(0, 1.0)",NA,NA,0.585208739318474,0.0456330329786285,0.583260195509327,0.501065966335623,0.680500046868812,NA,FALSE
"sigma_eps_C","half-cauchy(0, 1.0)",NA,NA,0.236419273019618,0.0579805694741486,0.2313671533434,0.137498209724126,0.362117136383421,NA,FALSE
"sigma_r_E","half-cauchy(0, 1.0)",NA,NA,0.235166282554125,0.0211569061802106,0.234456365688167,0.195800398526155,0.279576722611256,NA,FALSE
"sigma_r_C","half-cauchy(0, 1.0)",NA,NA,1.0307286840556,0.0343270056944141,1.03023779077337,0.964831403901506,1.09910512741406,NA,FALSE
"sigma_mu_E","half-cauchy(0, 1.0)",NA,NA,1.03716839863015,1.13036906684731,0.674538937039732,0.0302734040740505,4.31250352154275,NA,FALSE
"sigma_mu_C","half-cauchy(0, 1.0)",NA,NA,1.17232419240752,1.5165387346541,0.706956337287793,0.0305627919525734,5.37971420179822,NA,FALSE
"B1_C","normal(0, 1.0)",0,1,-0.341355475683965,0.086739188688003,-0.343418727335373,-0.505788965545227,-0.166192612053115,0.913,FALSE
"R_G_boat","lognormal(log(4.000), 0.500)",4.53259381226731,2.41560213284352,4.55047272045458,2.4255660257846,3.99752743513399,1.52212172483144,10.8484254113204,-0.004,TRUE
