"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"catch",1,126,"2025-04-05",0,-0.7983,0.0501,0.015,-0.8008
"catch",2,1,"2024-12-01",8,-3.4093,0.0562,-0.049,-3.4125
"catch",3,1,"2024-12-01",4,-2.7544,0.0392,-0.084,-2.756
"catch",4,1,"2024-12-01",0,-0.6906,0.0409,-0.029,-0.6922
"catch",5,1,"2024-12-01",1,-1.5681,0.0303,-0.069,-1.569
"catch",6,1,"2024-12-01",0,-1.0649,0.0574,-0.021,-1.0682
"catch",7,1,"2024-12-01",0,-0.6906,0.0409,-0.029,-0.6922
"catch",8,1,"2024-12-01",2,-1.9825,0.027,0.041,-1.9832
"catch",9,1,"2024-12-01",5,-2.7992,0.0334,0.052,-2.8003
"catch",10,1,"2024-12-01",3,-2.3666,0.0321,-0.153,-2.3677
"catch",11,1,"2024-12-01",7,-3.1072,0.0338,0.025,-3.1083
"catch",12,1,"2024-12-01",1,-2.1095,0.0527,-0.016,-2.1123
"catch",13,1,"2024-12-01",0,-1.3232,0.0686,-0.056,-1.3279
"catch",14,1,"2024-12-01",3,-2.3692,0.0346,0.084,-2.3704
"catch",15,1,"2024-12-01",0,-0.6906,0.0409,-0.029,-0.6922
"catch",16,1,"2024-12-01",4,-3.3624,0.1048,-0.018,-3.3734
"catch",17,1,"2024-12-01",12,-4.1901,0.1039,0.01,-4.2009
"catch",18,1,"2024-12-01",0,-0.6906,0.0409,-0.029,-0.6922
"catch",19,1,"2024-12-01",3,-2.7419,0.0707,-0.053,-2.7469
"catch",20,1,"2024-12-01",4,-2.7421,0.0496,-0.042,-2.7446
"catch",21,1,"2024-12-01",1,-1.4431,0.0213,0.041,-1.4435
"catch",22,1,"2024-12-01",3,-2.3666,0.0321,-0.153,-2.3677
"catch",23,1,"2024-12-01",4,-3.3624,0.1048,-0.018,-3.3734
"catch",24,1,"2024-12-01",4,-3.3624,0.1048,-0.018,-3.3734
"catch",25,1,"2024-12-01",0,-0.6906,0.0409,-0.029,-0.6922
"catch",26,1,"2024-12-01",2,-1.9825,0.027,0.041,-1.9832
"catch",27,1,"2024-12-01",0,-1.3232,0.0686,-0.056,-1.3279
"catch",28,1,"2024-12-01",6,-3.4653,0.0895,-0.011,-3.4733
"catch",29,1,"2024-12-01",4,-2.7421,0.0496,-0.042,-2.7446
"catch",30,1,"2024-12-01",12,-3.6702,0.0413,0.058,-3.6719
"catch",31,1,"2024-12-01",1,-1.5681,0.0303,-0.069,-1.569
"catch",32,1,"2024-12-01",0,-1.5207,0.0774,-0.052,-1.5267
"catch",33,2,"2024-12-02",0,-1.3214,0.0732,-0.105,-1.3268
"catch",34,3,"2024-12-03",3,-2.3302,0.0297,0.007,-2.3311
"catch",35,3,"2024-12-03",0,-0.8969,0.0544,-0.091,-0.8999
"catch",36,3,"2024-12-03",6,-3.1318,0.0585,-0.015,-3.1353
"catch",37,3,"2024-12-03",10,-3.5336,0.0487,-0.043,-3.536
"catch",38,3,"2024-12-03",1,-1.4915,0.0265,-0.06,-1.4922
"catch",39,3,"2024-12-03",11,-3.672,0.0562,-0.002,-3.6752
"catch",40,3,"2024-12-03",0,-1.3214,0.0732,-0.105,-1.3268
"catch",41,3,"2024-12-03",4,-2.6047,0.0342,-0.039,-2.6059
"catch",42,3,"2024-12-03",3,-2.3302,0.0297,0.007,-2.3311
"catch",43,3,"2024-12-03",6,-3.1318,0.0585,-0.015,-3.1353
"catch",44,3,"2024-12-03",5,-2.8104,0.0339,-0.06,-2.8115
"catch",45,4,"2024-12-04",3,-2.3302,0.0297,0.007,-2.3311
"catch",46,4,"2024-12-04",5,-3.3925,0.1056,-0.017,-3.4036
"catch",47,4,"2024-12-04",2,-2.313,0.0467,-0.11,-2.3152
"catch",48,4,"2024-12-04",2,-2.1787,0.0408,-0.137,-2.1804
"catch",49,4,"2024-12-04",6,-3.1318,0.0585,-0.015,-3.1353
"catch",50,4,"2024-12-04",8,-3.2519,0.0372,-0.019,-3.2533
"catch",51,4,"2024-12-04",6,-3.1318,0.0585,-0.015,-3.1353
"catch",52,4,"2024-12-04",2,-2.0421,0.0324,-0.092,-2.0431
"catch",53,4,"2024-12-04",12,-3.8092,0.0644,-0.031,-3.8133
"catch",54,4,"2024-12-04",12,-3.8092,0.0644,-0.031,-3.8133
"catch",55,4,"2024-12-04",3,-2.4904,0.0407,-0.049,-2.4921
"catch",56,4,"2024-12-04",2,-2.0421,0.0324,-0.092,-2.0431
"catch",57,4,"2024-12-04",1,-1.7263,0.0418,-0.111,-1.7281
"catch",58,5,"2024-12-05",8,-3.2519,0.0372,-0.019,-3.2533
"catch",59,5,"2024-12-05",1,-1.9354,0.051,-0.121,-1.938
"catch",60,5,"2024-12-05",1,-1.4915,0.0265,-0.06,-1.4922
"catch",61,5,"2024-12-05",3,-2.3302,0.0297,0.007,-2.3311
"catch",62,5,"2024-12-05",7,-3.1648,0.043,-0.039,-3.1666
"catch",63,5,"2024-12-05",0,-0.8969,0.0544,-0.091,-0.8999
"catch",64,5,"2024-12-05",0,-1.3214,0.0732,-0.105,-1.3268
"catch",65,5,"2024-12-05",3,-2.3945,0.0351,-0.079,-2.3957
"catch",66,5,"2024-12-05",2,-2.1787,0.0408,-0.137,-2.1804
"catch",67,5,"2024-12-05",1,-1.7263,0.0418,-0.111,-1.7281
"catch",68,6,"2024-12-06",3,-2.7419,0.0707,-0.053,-2.7469
"catch",69,6,"2024-12-06",1,-1.5681,0.0303,-0.069,-1.569
"catch",70,6,"2024-12-06",1,-1.4431,0.0213,0.041,-1.4435
"catch",71,6,"2024-12-06",6,-3.4653,0.0895,-0.011,-3.4733
"catch",72,6,"2024-12-06",12,-4.1901,0.1039,0.01,-4.2009
"catch",73,6,"2024-12-06",0,-0.6906,0.0409,-0.029,-0.6922
"catch",74,6,"2024-12-06",17,-4.4777,0.1007,0.017,-4.4879
"catch",75,6,"2024-12-06",4,-2.7421,0.0496,-0.042,-2.7446
"catch",76,6,"2024-12-06",4,-2.5869,0.0312,0.043,-2.5879
"catch",77,6,"2024-12-06",2,-2.0424,0.0311,-0.162,-2.0434
"catch",78,6,"2024-12-06",4,-2.7421,0.0496,-0.042,-2.7446
"catch",79,7,"2024-12-07",5,-3.1066,0.0685,-0.052,-3.1113
"catch",80,7,"2024-12-07",0,-1.0649,0.0574,-0.021,-1.0682
"catch",81,7,"2024-12-07",1,-1.5681,0.0303,-0.069,-1.569
"catch",82,7,"2024-12-07",6,-2.9607,0.0329,0.042,-2.9617
"catch",83,10,"2024-12-10",1,-1.4915,0.0265,-0.06,-1.4922
"catch",84,10,"2024-12-10",4,-2.6047,0.0342,-0.039,-2.6059
"catch",85,10,"2024-12-10",0,-1.3214,0.0732,-0.105,-1.3268
"catch",86,10,"2024-12-10",1,-1.9354,0.051,-0.121,-1.938
"catch",87,10,"2024-12-10",8,-3.2519,0.0372,-0.019,-3.2533
"catch",88,10,"2024-12-10",4,-2.6544,0.0366,-0.075,-2.6558
"catch",89,10,"2024-12-10",0,-1.3214,0.0732,-0.105,-1.3268
"catch",90,10,"2024-12-10",2,-2.1787,0.0408,-0.137,-2.1804
"catch",91,10,"2024-12-10",0,-0.8969,0.0544,-0.091,-0.8999
"catch",92,11,"2024-12-11",1,-1.7263,0.0418,-0.111,-1.7281
"catch",93,11,"2024-12-11",12,-3.8092,0.0644,-0.031,-3.8133
"catch",94,11,"2024-12-11",2,-2.313,0.0467,-0.11,-2.3152
"catch",95,11,"2024-12-11",5,-2.8104,0.0339,-0.06,-2.8115
"catch",96,11,"2024-12-11",4,-2.6047,0.0342,-0.039,-2.6059
"catch",97,11,"2024-12-11",8,-3.2519,0.0372,-0.019,-3.2533
"catch",98,12,"2024-12-12",6,-3.8406,0.1363,0.022,-3.8592
"catch",99,12,"2024-12-12",16,-3.9212,0.039,-0.021,-3.9227
"catch",100,12,"2024-12-12",5,-3.3925,0.1056,-0.017,-3.4036
"catch",101,12,"2024-12-12",0,-1.3214,0.0732,-0.105,-1.3268
"catch",102,12,"2024-12-12",0,-1.6024,0.0857,-0.112,-1.6098
"catch",103,12,"2024-12-12",3,-2.4904,0.0407,-0.049,-2.4921
"catch",104,12,"2024-12-12",4,-2.6544,0.0366,-0.075,-2.6558
"catch",105,12,"2024-12-12",2,-2.1787,0.0408,-0.137,-2.1804
"catch",106,12,"2024-12-12",19,-4.1396,0.0475,-0.032,-4.1418
"catch",107,12,"2024-12-12",4,-2.6047,0.0342,-0.039,-2.6059
"catch",108,12,"2024-12-12",5,-2.8711,0.0447,-0.027,-2.8731
"catch",109,12,"2024-12-12",2,-1.9971,0.0295,-0.027,-1.998
"catch",110,12,"2024-12-12",6,-2.9798,0.0362,-0.038,-2.9811
"catch",111,12,"2024-12-12",0,-1.3214,0.0732,-0.105,-1.3268
"catch",112,13,"2024-12-13",0,-0.6906,0.0409,-0.029,-0.6922
"catch",113,13,"2024-12-13",4,-2.6038,0.0335,0.054,-2.6049
"catch",114,13,"2024-12-13",2,-2.1328,0.0357,-0.084,-2.1341
"catch",115,13,"2024-12-13",6,-3.4653,0.0895,-0.011,-3.4733
"catch",116,13,"2024-12-13",0,-0.6906,0.0409,-0.029,-0.6922
"catch",117,13,"2024-12-13",1,-1.7273,0.0381,-0.027,-1.7288
"catch",118,13,"2024-12-13",10,-3.8029,0.0787,-0.036,-3.8091
"catch",119,13,"2024-12-13",6,-3.0061,0.0387,0.073,-3.0076
"catch",120,13,"2024-12-13",8,-3.4093,0.0562,-0.049,-3.4125
"catch",121,13,"2024-12-13",6,-4.5777,0.179,-0.002,-4.6098
"catch",122,13,"2024-12-13",2,-1.9825,0.027,0.041,-1.9832
"catch",123,14,"2024-12-14",13,-4.3818,0.1171,-0.012,-4.3955
"catch",124,14,"2024-12-14",6,-3.4653,0.0895,-0.011,-3.4733
"catch",125,14,"2024-12-14",0,-1.0649,0.0574,-0.021,-1.0682
"catch",126,14,"2024-12-14",18,-6.0797,0.2599,0.039,-6.1474
"catch",127,14,"2024-12-14",0,-1.0649,0.0574,-0.021,-1.0682
"catch",128,14,"2024-12-14",4,-2.7421,0.0496,-0.042,-2.7446
"catch",129,15,"2024-12-15",0,-0.6906,0.0409,-0.029,-0.6922
"catch",130,15,"2024-12-15",0,-1.0649,0.0574,-0.021,-1.0682
"catch",131,15,"2024-12-15",3,-2.3299,0.0297,0.044,-2.3307
"catch",132,15,"2024-12-15",0,-1.0649,0.0574,-0.021,-1.0682
