"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",3.05531191269927,2.64101648284947,3.04591472727974,3.52143562942708,2984,1.0009
"mu_mu_C[1]",0.374991826916427,0.174791187739264,0.374108249205955,0.576038320777722,3401,1.0004
"sigma_eps_E",0.245787143195508,0.0108642579380916,0.206164935512329,0.741176911250964,2272,1.0003
"sigma_eps_C",0.140743599886972,0.0202738383043742,0.117882293301951,0.3929660133704,2413,1.0025
"phi_E",0.0870700308669961,-0.71265878061705,0.108620696856383,0.819398513758169,7016,1.0001
"phi_C",-0.228753845574134,-0.883987448450738,-0.286271273355166,0.688889395011953,5357,1
"sigma_r_E",0.563262697459352,0.444959298078906,0.558008251423954,0.711109509927275,8357,1
"sigma_r_C",0.773041854314709,0.699596602542041,0.772456601999758,0.850167720064465,14094,0.9997
"r_E",3.28616386726761,1.97754801864634,3.21158009809039,5.0507913720486,8215,1.0001
"r_C",1.68584166988322,1.38353699840529,1.67591435726996,2.04317053328407,13866,0.9997
"sigma_mu_E",11.3873689666241,0.08981753629834,1.9830115933323,50.7530828468503,7808,1.0001
"sigma_mu_C",10.6615344824028,0.0747342396698091,2.0024552759294,52.4638511781976,5893,1.0001
"sigma_IE",0.199277265004291,0.00514564503288765,0.141950190653725,0.738856592738607,12783,0.9998
"R_G",1.32414147242305,1.26339129411435,1.32400482756591,1.38692852778514,11795,0.9998
"R_G_boat",4.52534063354572,1.49065813188096,3.98131025175678,10.6317316855237,9331,1.0001
"B1",0.473849332495594,0.141433355193089,0.472240355528965,0.797926719824779,10374,1.0001
"B2",0.0558283368937793,-0.958973899655621,0.0383380435589374,1.18010417169526,9591,1
"B1_C",-0.204787764002402,-0.364877224888659,-0.204837544666227,-0.0418694199613061,9614,1.0003
