"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"gear",1,2,"2024-09-17",30,-3.8533,0.1273,0.215,-3.8695
"gear",2,3,"2024-09-18",29,-3.8233,0.1278,0.258,-3.8397
"gear",3,4,"2024-09-19",55,-5.0361,0.4068,0.199,-5.2033
"gear",4,5,"2024-09-20",29,-4.145,0.2402,0.267,-4.2034
"gear",5,6,"2024-09-21",48,-4.3091,0.1344,0.235,-4.3272
"gear",6,9,"2024-09-24",50,-4.7569,0.3289,0.115,-4.866
"gear",7,10,"2024-09-25",13,-3.8168,0.3141,0.217,-3.9167
"gear",8,12,"2024-09-27",34,-4.1372,0.1954,0.227,-4.1758
"gear",9,13,"2024-09-28",79,-5.1901,0.3449,0.223,-5.3109
"gear",10,16,"2024-10-01",30,-3.8522,0.1256,0.02,-3.868
"gear",11,18,"2024-10-03",45,-4.5244,0.2691,0.144,-4.5976
"gear",12,19,"2024-10-04",29,-4.1161,0.2168,0.128,-4.1635
"gear",13,20,"2024-10-05",72,-4.987,0.276,0.087,-5.0638
"gear",14,23,"2024-10-08",30,-3.8522,0.1256,0.02,-3.868
"gear",15,24,"2024-10-09",29,-3.8199,0.1252,-0.017,-3.8356
"gear",16,26,"2024-10-11",14,-4.5733,0.4452,0.29,-4.7749
"gear",17,27,"2024-10-12",62,-4.6672,0.1917,-0.022,-4.7042
"gear",18,28,"2024-10-13",64,-4.728,0.2068,-0.015,-4.771
"gear",19,30,"2024-10-15",27,-3.7422,0.1196,0.074,-3.7565
"gear",20,31,"2024-10-16",37,-4.1927,0.1814,0.257,-4.2258
"gear",21,32,"2024-10-17",43,-4.533,0.2596,0.258,-4.6013
"gear",22,33,"2024-10-18",39,-4.1186,0.1343,0.074,-4.1366
"gear",23,34,"2024-10-19",62,-4.7539,0.2429,0.261,-4.8142
"gear",24,36,"2024-10-21",29,-3.8164,0.1223,0.128,-3.8314
"gear",25,37,"2024-10-22",25,-3.6785,0.1221,0.022,-3.6935
"gear",26,38,"2024-10-23",35,-4.0888,0.1605,0.263,-4.1147
"gear",27,39,"2024-10-24",24,-3.6511,0.1252,0.037,-3.6668
"gear",28,40,"2024-10-25",10,-4.7433,0.5045,0.137,-5.0022
"gear",29,41,"2024-10-26",36,-4.0733,0.1454,0.151,-4.0945
"gear",30,42,"2024-10-27",18,-4.2075,0.3112,0.091,-4.3052
"gear",31,45,"2024-10-30",18,-3.4825,0.1662,0.13,-3.5102
"gear",32,46,"2024-10-31",12,-3.5213,0.267,0.135,-3.5927
"gear",33,47,"2024-11-01",33,-3.9849,0.1456,0.093,-4.0061
"gear",34,48,"2024-11-02",79,-5.6639,0.6645,0.431,-6.1591
"gear",35,51,"2024-11-05",8,-3.765,0.3717,0.121,-3.9037
"gear",36,52,"2024-11-06",17,-3.471,0.1797,0.135,-3.5033
"gear",37,53,"2024-11-07",25,-3.6905,0.133,0.307,-3.7083
"gear",38,54,"2024-11-08",36,-4.0426,0.1349,0.073,-4.0608
"gear",39,55,"2024-11-09",22,-3.9364,0.2437,0.111,-3.9959
"gear",40,59,"2024-11-13",25,-3.6972,0.1393,0.127,-3.7166
"gear",41,60,"2024-11-14",43,-4.7873,0.5186,0.365,-5.0773
"gear",42,61,"2024-11-15",46,-4.3379,0.1991,0.115,-4.3784
"gear",43,62,"2024-11-16",57,-4.7538,0.3537,0.257,-4.8854
"gear",44,65,"2024-11-19",13,-3.4629,0.2462,0.13,-3.5237
"gear",45,66,"2024-11-20",0,-6.3678,1.032,0.43,-7.45
"gear",46,67,"2024-11-21",15,-3.4428,0.2091,0.146,-3.4866
"gear",47,68,"2024-11-22",6,-4.9691,0.6448,0.351,-5.392
"gear",48,69,"2024-11-23",23,-3.8992,0.2377,0.248,-3.9559
"gear",49,72,"2024-11-26",26,-3.8115,0.2305,0.13,-3.8663
"gear",50,73,"2024-11-27",33,-3.9854,0.1659,0.201,-4.0133
"gear",51,75,"2024-11-29",51,-4.6057,0.5473,0.821,-5.0518
"gear",52,76,"2024-11-30",123,-6.4887,0.9706,0.633,-7.5126
