"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"catch",1,126,"2025-04-05",0,-0.5486,0.0983,-0.03,-0.5583
"catch",2,1,"2024-12-01",8,-3.3511,0.1218,0.155,-3.366
"catch",3,1,"2024-12-01",4,-2.7412,0.0894,0.022,-2.7492
"catch",4,1,"2024-12-01",0,-0.7368,0.0962,-0.053,-0.746
"catch",5,1,"2024-12-01",1,-1.5609,0.0699,0.018,-1.5658
"catch",6,1,"2024-12-01",0,-1.142,0.1271,-0.067,-1.1582
"catch",7,1,"2024-12-01",0,-0.7368,0.0962,-0.053,-0.746
"catch",8,1,"2024-12-01",2,-1.9468,0.0333,0.077,-1.9479
"catch",9,1,"2024-12-01",5,-2.7505,0.0426,0.13,-2.7523
"catch",10,1,"2024-12-01",3,-2.3366,0.0558,-0.002,-2.3397
"catch",11,1,"2024-12-01",7,-3.0583,0.0408,0.168,-3.06
"catch",12,1,"2024-12-01",1,-2.1608,0.1315,-0.067,-2.1781
"catch",13,1,"2024-12-01",0,-1.4239,0.1441,-0.088,-1.4447
"catch",14,1,"2024-12-01",3,-2.3205,0.0547,0.164,-2.3235
"catch",15,1,"2024-12-01",0,-0.7368,0.0962,-0.053,-0.746
"catch",16,1,"2024-12-01",4,-3.2984,0.2442,0.159,-3.3582
"catch",17,1,"2024-12-01",12,-4.1278,0.2485,0.186,-4.19
"catch",18,1,"2024-12-01",0,-0.7368,0.0962,-0.053,-0.746
"catch",19,1,"2024-12-01",3,-2.6836,0.1606,0.127,-2.7094
"catch",20,1,"2024-12-01",4,-2.6869,0.1032,0.127,-2.6976
"catch",21,1,"2024-12-01",1,-1.4153,0.026,0.093,-1.4159
"catch",22,1,"2024-12-01",3,-2.3366,0.0558,-0.002,-2.3397
"catch",23,1,"2024-12-01",4,-3.2984,0.2442,0.159,-3.3582
"catch",24,1,"2024-12-01",4,-3.2984,0.2442,0.159,-3.3582
"catch",25,1,"2024-12-01",0,-0.7368,0.0962,-0.053,-0.746
"catch",26,1,"2024-12-01",2,-1.9468,0.0333,0.077,-1.9479
"catch",27,1,"2024-12-01",0,-1.4239,0.1441,-0.088,-1.4447
"catch",28,1,"2024-12-01",6,-3.4039,0.2097,0.167,-3.4481
"catch",29,1,"2024-12-01",4,-2.6869,0.1032,0.127,-2.6976
"catch",30,1,"2024-12-01",12,-3.6144,0.0704,0.213,-3.6194
"catch",31,1,"2024-12-01",1,-1.5609,0.0699,0.018,-1.5658
"catch",32,1,"2024-12-01",0,-1.6404,0.1556,-0.065,-1.6647
"catch",33,2,"2024-12-02",0,-1.3432,0.1887,0.138,-1.3789
"catch",34,3,"2024-12-03",3,-2.2916,0.0376,0.167,-2.293
"catch",35,3,"2024-12-03",0,-0.9344,0.1281,0.089,-0.9508
"catch",36,3,"2024-12-03",6,-3.1031,0.1428,0.156,-3.1235
"catch",37,3,"2024-12-03",10,-3.4993,0.1109,0.138,-3.5116
"catch",38,3,"2024-12-03",1,-1.4666,0.0529,0.109,-1.4694
"catch",39,3,"2024-12-03",11,-3.6413,0.1366,0.183,-3.66
"catch",40,3,"2024-12-03",0,-1.3901,0.1607,0.082,-1.4159
"catch",41,3,"2024-12-03",4,-2.5667,0.0562,0.126,-2.5698
"catch",42,3,"2024-12-03",3,-2.2916,0.0376,0.167,-2.293
"catch",43,3,"2024-12-03",6,-3.1031,0.1428,0.156,-3.1235
"catch",44,3,"2024-12-03",5,-2.7686,0.0527,0.1,-2.7714
"catch",45,4,"2024-12-04",3,-2.2909,0.037,0.151,-2.2922
"catch",46,4,"2024-12-04",5,-3.3607,0.2522,0.158,-3.4246
"catch",47,4,"2024-12-04",2,-2.3087,0.1151,0.024,-2.322
"catch",48,4,"2024-12-04",2,-2.162,0.0953,0.054,-2.1711
"catch",49,4,"2024-12-04",6,-3.092,0.1327,0.217,-3.1097
"catch",50,4,"2024-12-04",8,-3.2066,0.0593,0.183,-3.2101
"catch",51,4,"2024-12-04",6,-3.092,0.1327,0.217,-3.1097
"catch",52,4,"2024-12-04",2,-2.013,0.0625,0.03,-2.0169
"catch",53,4,"2024-12-04",12,-3.7697,0.1509,0.22,-3.7926
"catch",54,4,"2024-12-04",12,-3.7697,0.1509,0.22,-3.7926
"catch",55,4,"2024-12-04",3,-2.4671,0.0917,0.043,-2.4755
"catch",56,4,"2024-12-04",2,-2.013,0.0625,0.03,-2.0169
"catch",57,4,"2024-12-04",1,-1.7238,0.1024,0.023,-1.7343
"catch",58,5,"2024-12-05",8,-3.232,0.088,0.224,-3.2398
"catch",59,5,"2024-12-05",1,-1.9001,0.1379,-0.023,-1.9191
"catch",60,5,"2024-12-05",1,-1.4545,0.0498,-0.031,-1.457
"catch",61,5,"2024-12-05",3,-2.2935,0.0407,0.216,-2.2951
"catch",62,5,"2024-12-05",7,-3.1588,0.1204,0.25,-3.1734
"catch",63,5,"2024-12-05",0,-0.8945,0.1334,-0.083,-0.9123
"catch",64,5,"2024-12-05",0,-1.34,0.1684,-0.05,-1.3684
"catch",65,5,"2024-12-05",3,-2.3427,0.0659,-0.03,-2.3471
"catch",66,5,"2024-12-05",2,-2.127,0.0998,-0.045,-2.1369
"catch",67,5,"2024-12-05",1,-1.6843,0.109,-0.025,-1.6961
"catch",68,6,"2024-12-06",3,-2.6077,0.1684,0.023,-2.6361
"catch",69,6,"2024-12-06",1,-1.5999,0.0895,0.065,-1.608
"catch",70,6,"2024-12-06",1,-1.4256,0.0337,0.103,-1.4268
"catch",71,6,"2024-12-06",6,-3.3064,0.2168,0.052,-3.3536
"catch",72,6,"2024-12-06",12,-4.0142,0.2541,0.095,-4.0792
"catch",73,6,"2024-12-06",0,-0.7877,0.119,0.024,-0.8019
"catch",74,6,"2024-12-06",17,-4.3074,0.2455,0.108,-4.368
"catch",75,6,"2024-12-06",4,-2.6456,0.1017,0.066,-2.6559
"catch",76,6,"2024-12-06",4,-2.56,0.0483,0.088,-2.5624
"catch",77,6,"2024-12-06",2,-2.053,0.0784,0.022,-2.0591
"catch",78,6,"2024-12-06",4,-2.6456,0.1017,0.066,-2.6559
"catch",79,7,"2024-12-07",5,-3.0616,0.2402,0.228,-3.1202
"catch",80,7,"2024-12-07",0,-1.1336,0.1791,0.106,-1.1658
"catch",81,7,"2024-12-07",1,-1.5639,0.0976,0.075,-1.5734
