"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"catch",1,126,"2025-04-05",0,-0.5451,0.0985,0.027,-0.5548
"catch",2,1,"2024-12-01",8,-3.3526,0.1249,0.079,-3.3682
"catch",3,1,"2024-12-01",4,-2.7417,0.0911,0.005,-2.75
"catch",4,1,"2024-12-01",0,-0.7363,0.0979,-0.049,-0.7459
"catch",5,1,"2024-12-01",1,-1.5613,0.0712,0.013,-1.5664
"catch",6,1,"2024-12-01",0,-1.141,0.1291,-0.046,-1.1576
"catch",7,1,"2024-12-01",0,-0.7363,0.0979,-0.049,-0.7459
"catch",8,1,"2024-12-01",2,-1.9478,0.0337,0.013,-1.9489
"catch",9,1,"2024-12-01",5,-2.7519,0.0433,0.055,-2.7538
"catch",10,1,"2024-12-01",3,-2.3375,0.0567,-0.004,-2.3407
"catch",11,1,"2024-12-01",7,-3.0597,0.0414,0.09,-3.0615
"catch",12,1,"2024-12-01",1,-2.16,0.1338,-0.049,-2.1779
"catch",13,1,"2024-12-01",0,-1.4225,0.1462,-0.082,-1.4438
"catch",14,1,"2024-12-01",3,-2.3218,0.0559,0.062,-2.3249
"catch",15,1,"2024-12-01",0,-0.7363,0.0979,-0.049,-0.7459
"catch",16,1,"2024-12-01",4,-3.2984,0.2501,0.088,-3.3611
"catch",17,1,"2024-12-01",12,-4.1284,0.2548,0.155,-4.1938
"catch",18,1,"2024-12-01",0,-0.7363,0.0979,-0.049,-0.7459
"catch",19,1,"2024-12-01",3,-2.6844,0.1645,0.046,-2.7115
"catch",20,1,"2024-12-01",4,-2.6882,0.1057,0.045,-2.6994
"catch",21,1,"2024-12-01",1,-1.4161,0.0264,0.037,-1.4168
"catch",22,1,"2024-12-01",3,-2.3375,0.0567,-0.004,-2.3407
"catch",23,1,"2024-12-01",4,-3.2984,0.2501,0.088,-3.3611
"catch",24,1,"2024-12-01",4,-3.2984,0.2501,0.088,-3.3611
"catch",25,1,"2024-12-01",0,-0.7363,0.0979,-0.049,-0.7459
"catch",26,1,"2024-12-01",2,-1.9478,0.0337,0.013,-1.9489
"catch",27,1,"2024-12-01",0,-1.4225,0.1462,-0.082,-1.4438
"catch",28,1,"2024-12-01",6,-3.4046,0.215,0.11,-3.451
"catch",29,1,"2024-12-01",4,-2.6882,0.1057,0.045,-2.6994
"catch",30,1,"2024-12-01",12,-3.616,0.0721,0.085,-3.6212
"catch",31,1,"2024-12-01",1,-1.5613,0.0712,0.013,-1.5664
"catch",32,1,"2024-12-01",0,-1.6386,0.1577,-0.103,-1.6635
"catch",33,2,"2024-12-02",0,-1.3401,0.1914,0.069,-1.3768
"catch",34,3,"2024-12-03",3,-2.2923,0.0379,0.122,-2.2937
"catch",35,3,"2024-12-03",0,-0.9321,0.1292,-0.014,-0.9488
"catch",36,3,"2024-12-03",6,-3.1056,0.1435,0.102,-3.1263
"catch",37,3,"2024-12-03",10,-3.5015,0.1115,0.125,-3.514
"catch",38,3,"2024-12-03",1,-1.4665,0.0531,0.004,-1.4693
"catch",39,3,"2024-12-03",11,-3.6438,0.1373,0.129,-3.6627
"catch",40,3,"2024-12-03",0,-1.3868,0.1622,0.046,-1.4131
"catch",41,3,"2024-12-03",4,-2.5681,0.0568,0.086,-2.5713
"catch",42,3,"2024-12-03",3,-2.2923,0.0379,0.122,-2.2937
"catch",43,3,"2024-12-03",6,-3.1056,0.1435,0.102,-3.1263
"catch",44,3,"2024-12-03",5,-2.7689,0.0528,0.053,-2.7717
"catch",45,4,"2024-12-04",3,-2.2913,0.0367,0.044,-2.2926
"catch",46,4,"2024-12-04",5,-3.3667,0.2529,0.067,-3.4309
"catch",47,4,"2024-12-04",2,-2.3062,0.1145,0.014,-2.3193
"catch",48,4,"2024-12-04",2,-2.1602,0.0945,0.005,-2.1691
"catch",49,4,"2024-12-04",6,-3.0955,0.1338,0.061,-3.1134
"catch",50,4,"2024-12-04",8,-3.2082,0.0603,0.002,-3.2118
"catch",51,4,"2024-12-04",6,-3.0955,0.1338,0.061,-3.1134
"catch",52,4,"2024-12-04",2,-2.0122,0.0616,0.049,-2.016
"catch",53,4,"2024-12-04",12,-3.7735,0.1521,0.088,-3.7967
"catch",54,4,"2024-12-04",12,-3.7735,0.1521,0.088,-3.7967
"catch",55,4,"2024-12-04",3,-2.4655,0.0907,0.021,-2.4737
"catch",56,4,"2024-12-04",2,-2.0122,0.0616,0.049,-2.016
"catch",57,4,"2024-12-04",1,-1.7215,0.1018,0.008,-1.7319
"catch",58,5,"2024-12-05",8,-3.2337,0.088,0.187,-3.2415
"catch",59,5,"2024-12-05",1,-1.8966,0.1357,0.077,-1.915
"catch",60,5,"2024-12-05",1,-1.4536,0.0486,0.118,-1.456
"catch",61,5,"2024-12-05",3,-2.2937,0.0404,0.257,-2.2954
"catch",62,5,"2024-12-05",7,-3.1613,0.1202,0.153,-3.1759
"catch",63,5,"2024-12-05",0,-0.8908,0.1315,0.073,-0.9081
"catch",64,5,"2024-12-05",0,-1.3352,0.1662,0.013,-1.3628
"catch",65,5,"2024-12-05",3,-2.3416,0.0643,0.117,-2.3458
"catch",66,5,"2024-12-05",2,-2.1248,0.0978,0.123,-2.1344
"catch",67,5,"2024-12-05",1,-1.6817,0.107,0.097,-1.6931
"catch",68,6,"2024-12-06",3,-2.612,0.1708,0.199,-2.6413
"catch",69,6,"2024-12-06",1,-1.5982,0.0889,-0.077,-1.6061
"catch",70,6,"2024-12-06",1,-1.4257,0.0335,-0.067,-1.4268
"catch",71,6,"2024-12-06",6,-3.3117,0.2204,0.239,-3.3605
"catch",72,6,"2024-12-06",12,-4.0202,0.2588,0.286,-4.0877
"catch",73,6,"2024-12-06",0,-0.7846,0.1184,-0.044,-0.7986
"catch",74,6,"2024-12-06",17,-4.3132,0.2503,0.289,-4.3763
"catch",75,6,"2024-12-06",4,-2.6485,0.104,0.246,-2.6593
"catch",76,6,"2024-12-06",4,-2.5601,0.0481,-0.061,-2.5624
"catch",77,6,"2024-12-06",2,-2.0518,0.0778,-0.075,-2.0578
"catch",78,6,"2024-12-06",4,-2.6485,0.104,0.246,-2.6593
"catch",79,7,"2024-12-07",5,-3.071,0.2393,0.167,-3.1291
"catch",80,7,"2024-12-07",0,-1.1257,0.1759,0.066,-1.1567
"catch",81,7,"2024-12-07",1,-1.5599,0.0962,0.063,-1.5692
"catch",82,7,"2024-12-07",6,-2.9295,0.053,0.126,-2.9323
"catch",83,10,"2024-12-10",1,-1.4366,0.0444,0.082,-1.4386
"catch",84,10,"2024-12-10",4,-2.6386,0.1257,0.196,-2.6544
"catch",85,10,"2024-12-10",0,-1.2324,0.1857,0.002,-1.2669
"catch",86,10,"2024-12-10",1,-1.8144,0.1491,-0.002,-1.8366
"catch",87,10,"2024-12-10",8,-3.2947,0.1501,0.26,-3.3174
"catch",88,10,"2024-12-10",4,-2.5754,0.0627,0.145,-2.5793
"catch",89,10,"2024-12-10",0,-1.2324,0.1857,0.002,-1.2669
"catch",90,10,"2024-12-10",2,-2.073,0.1001,-0.006,-2.083
"catch",91,10,"2024-12-10",0,-0.8105,0.1455,-0.002,-0.8317
"catch",92,11,"2024-12-11",1,-1.6812,0.1129,0.024,-1.694
"catch",93,11,"2024-12-11",12,-3.8435,0.2163,0.253,-3.8909
"catch",94,11,"2024-12-11",2,-2.26,0.1279,0.02,-2.2763
"catch",95,11,"2024-12-11",5,-2.7627,0.0509,0.017,-2.7653
"catch",96,11,"2024-12-11",4,-2.5884,0.078,0.187,-2.5945
"catch",97,11,"2024-12-11",8,-3.2365,0.0904,0.21,-3.2447
"catch",98,12,"2024-12-12",6,-3.7597,0.3256,0.172,-3.8663
"catch",99,12,"2024-12-12",16,-3.8698,0.06,0.2,-3.8734
"catch",100,12,"2024-12-12",5,-3.3208,0.2507,0.146,-3.3839
"catch",101,12,"2024-12-12",0,-1.4256,0.1602,-0.164,-1.4513
"catch",102,12,"2024-12-12",0,-1.7336,0.1771,-0.16,-1.7649
"catch",103,12,"2024-12-12",3,-2.483,0.0976,-0.128,-2.4926
"catch",104,12,"2024-12-12",4,-2.6322,0.0757,-0.086,-2.638
"catch",105,12,"2024-12-12",2,-2.1786,0.1012,-0.139,-2.1889
