"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"catch",1,126,"2025-04-05",0,-0.5387,0.1025,0.04,-0.5492
"catch",2,1,"2024-12-01",8,-3.3491,0.1246,0.13,-3.3647
"catch",3,1,"2024-12-01",4,-2.7455,0.0946,0.157,-2.7544
"catch",4,1,"2024-12-01",0,-0.7402,0.1005,0.072,-0.7503
"catch",5,1,"2024-12-01",1,-1.5644,0.0741,0.168,-1.5699
"catch",6,1,"2024-12-01",0,-1.1457,0.1318,-0.087,-1.1631
"catch",7,1,"2024-12-01",0,-0.7402,0.1005,0.072,-0.7503
"catch",8,1,"2024-12-01",2,-1.9491,0.0343,0.114,-1.9502
"catch",9,1,"2024-12-01",5,-2.7522,0.0421,0.163,-2.754
"catch",10,1,"2024-12-01",3,-2.3401,0.0591,0.185,-2.3436
"catch",11,1,"2024-12-01",7,-3.0605,0.0406,0.156,-3.0621
"catch",12,1,"2024-12-01",1,-2.1651,0.1372,-0.001,-2.1839
"catch",13,1,"2024-12-01",0,-1.4276,0.1487,-0.158,-1.4498
"catch",14,1,"2024-12-01",3,-2.321,0.0546,0.091,-2.324
"catch",15,1,"2024-12-01",0,-0.7402,0.1005,0.072,-0.7503
"catch",16,1,"2024-12-01",4,-3.2881,0.254,0.118,-3.3528
"catch",17,1,"2024-12-01",12,-4.1191,0.2573,0.163,-4.1856
"catch",18,1,"2024-12-01",0,-0.7402,0.1005,0.072,-0.7503
"catch",19,1,"2024-12-01",3,-2.6783,0.1662,0.101,-2.706
"catch",20,1,"2024-12-01",4,-2.6852,0.1054,0.096,-2.6964
"catch",21,1,"2024-12-01",1,-1.4171,0.0269,0.139,-1.4178
"catch",22,1,"2024-12-01",3,-2.3401,0.0591,0.185,-2.3436
"catch",23,1,"2024-12-01",4,-3.2881,0.254,0.118,-3.3528
"catch",24,1,"2024-12-01",4,-3.2881,0.254,0.118,-3.3528
"catch",25,1,"2024-12-01",0,-0.7402,0.1005,0.072,-0.7503
"catch",26,1,"2024-12-01",2,-1.9491,0.0343,0.114,-1.9502
"catch",27,1,"2024-12-01",0,-1.4276,0.1487,-0.158,-1.4498
"catch",28,1,"2024-12-01",6,-3.3967,0.2172,0.138,-3.444
"catch",29,1,"2024-12-01",4,-2.6852,0.1054,0.096,-2.6964
"catch",30,1,"2024-12-01",12,-3.615,0.0705,0.123,-3.62
"catch",31,1,"2024-12-01",1,-1.5644,0.0741,0.168,-1.5699
"catch",32,1,"2024-12-01",0,-1.644,0.16,-0.154,-1.6696
"catch",33,2,"2024-12-02",0,-1.3462,0.1858,0.085,-1.3808
"catch",34,3,"2024-12-03",3,-2.2939,0.0386,0.152,-2.2954
"catch",35,3,"2024-12-03",0,-0.9362,0.1319,0.039,-0.9536
"catch",36,3,"2024-12-03",6,-3.1023,0.1501,0.195,-3.1249
"catch",37,3,"2024-12-03",10,-3.4998,0.1169,0.207,-3.5135
"catch",38,3,"2024-12-03",1,-1.4689,0.0545,0.072,-1.4718
"catch",39,3,"2024-12-03",11,-3.641,0.144,0.217,-3.6619
"catch",40,3,"2024-12-03",0,-1.3915,0.1649,0.036,-1.4187
"catch",41,3,"2024-12-03",4,-2.5682,0.059,0.149,-2.5717
"catch",42,3,"2024-12-03",3,-2.2939,0.0386,0.152,-2.2954
"catch",43,3,"2024-12-03",6,-3.1023,0.1501,0.195,-3.1249
"catch",44,3,"2024-12-03",5,-2.7714,0.0539,0.122,-2.7743
"catch",45,4,"2024-12-04",3,-2.2937,0.0386,0.145,-2.2952
"catch",46,4,"2024-12-04",5,-3.3767,0.2844,-0.1,-3.458
"catch",47,4,"2024-12-04",2,-2.3013,0.1224,-0.057,-2.3163
"catch",48,4,"2024-12-04",2,-2.157,0.1002,-0.058,-2.1671
"catch",49,4,"2024-12-04",6,-3.1039,0.1537,-0.126,-3.1276
"catch",50,4,"2024-12-04",8,-3.2138,0.0707,-0.106,-3.2188
"catch",51,4,"2024-12-04",6,-3.1039,0.1537,-0.126,-3.1276
"catch",52,4,"2024-12-04",2,-2.0117,0.0639,-0.034,-2.0158
"catch",53,4,"2024-12-04",12,-3.7829,0.1755,-0.108,-3.8139
