"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"trailer",1,2,"2024-12-02",1,-1.4054,0.0725,0.079,-1.4107
"trailer",2,3,"2024-12-03",2,-1.9042,0.0827,0.02,-1.9111
"trailer",3,4,"2024-12-04",5,-3.4439,0.409,0.147,-3.6129
"trailer",4,5,"2024-12-05",3,-2.4175,0.1826,0.046,-2.451
"trailer",5,6,"2024-12-06",2,-1.8762,0.0619,0.161,-1.88
"trailer",6,7,"2024-12-07",2,-1.8762,0.0619,0.161,-1.88
"trailer",7,10,"2024-12-10",1,-1.4054,0.0725,0.079,-1.4107
"trailer",8,11,"2024-12-11",0,-0.9644,0.1782,0.058,-0.9962
"trailer",9,12,"2024-12-12",1,-1.4054,0.0725,0.079,-1.4107
"trailer",10,13,"2024-12-13",0,-1.1429,0.2047,0.146,-1.1848
"trailer",11,14,"2024-12-14",0,-1.1429,0.2047,0.146,-1.1848
"trailer",12,15,"2024-12-15",2,-1.8762,0.0619,0.161,-1.88
"trailer",13,18,"2024-12-18",4,-2.9325,0.2938,0.111,-3.0195
"trailer",14,20,"2024-12-20",1,-1.4797,0.1032,0.167,-1.4904
"trailer",15,21,"2024-12-21",1,-1.4797,0.1032,0.167,-1.4904
"trailer",16,22,"2024-12-22",1,-1.4797,0.1032,0.167,-1.4904
"trailer",17,23,"2024-12-23",2,-1.9042,0.0827,0.02,-1.9111
"trailer",18,24,"2024-12-24",1,-1.4054,0.0725,0.079,-1.4107
"trailer",19,26,"2024-12-26",0,-0.9644,0.1782,0.058,-0.9962
"trailer",20,27,"2024-12-27",2,-1.8762,0.0619,0.161,-1.88
"trailer",21,28,"2024-12-28",5,-3.1261,0.3127,0.167,-3.2248
"trailer",22,31,"2024-12-31",2,-1.9897,0.1762,0.171,-2.0211
"trailer",23,32,"2025-01-01",3,-2.2688,0.1431,0.241,-2.2897
"trailer",24,33,"2025-01-02",0,-0.8058,0.1645,0.102,-0.8329
"trailer",25,34,"2025-01-03",0,-0.9651,0.1927,0.127,-1.0022
"trailer",26,35,"2025-01-04",0,-0.9651,0.1927,0.127,-1.0022
"trailer",27,38,"2025-01-07",0,-0.8058,0.1645,0.102,-0.8329
"trailer",28,39,"2025-01-08",4,-3.2313,0.3956,0.209,-3.3891
"trailer",29,40,"2025-01-09",1,-1.3686,0.0523,0.105,-1.3713
"trailer",30,41,"2025-01-10",1,-1.4083,0.0786,0.075,-1.4145
