"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",2.63951376315826,-0.0332457434460804,2.68280833147745,5.05521337459467,3466,1.0004
"mu_mu_C[1]",0.621398420258836,-2.14957242602301,0.856388078403262,2.49793145101225,5612,1.0003
"sigma_eps_E",1.03606596538659,0.599575501068046,0.979292525526684,1.81038995039498,4066,1.0004
"sigma_eps_C",0.430186407041009,0.115482669894223,0.408472619417676,0.857441418449152,3148,1.0014
"phi_E",0.676678350807342,0.221086266888301,0.709031710780876,0.942754802663238,3991,1.0009
"phi_C",-0.122166342061701,-0.771601611189738,-0.157709647220685,0.698338021274429,6107,1.0002
"sigma_r_E",0.928203356039812,0.814882855429992,0.925947237363928,1.05636947362393,15341,0.9999
"sigma_r_C",0.771601942232758,0.652329834771127,0.768808261886021,0.905455574377401,10505,0.9999
"r_E",1.17626648256971,0.896124425156887,1.16634630938249,1.50594683031974,14988,0.9998
"r_C",1.7146110758702,1.21973561988213,1.69185802804984,2.34998730794141,10657,0.9999
"sigma_mu_E",1.22177101346349,0.0316062495951043,0.72371720670961,5.89800117151236,2531,1.0013
"sigma_mu_C",1.32259402550498,0.0321767131298915,0.786607091895293,5.95730011723279,5461,1.0006
"sigma_IE",0.199869600872781,0.00536415231406842,0.136753321812809,0.745289097887187,9031,0.9999
"R_G",1.04823576606264,0.552064260201792,1.00046505950759,1.81038424477466,16236,0.9998
"R_G_boat",3.5535118680016,3.22889217940349,3.55219329350906,3.87939599499807,21266,0.9997
"B1",0.263104586915605,-0.0499363153971084,0.262785805871939,0.580883706190113,16490,0.9998
"B2",0.53267680678869,-0.222373396825499,0.523117354693458,1.32153259006837,12860,1
"B1_C",-0.0094054852877936,-0.309771164613624,-0.00809262323960985,0.293558655145389,16290,1.0002
