"draw","C_sum","C_expected_sum","E_sum"
2,40044,40292.1098428641,16265.2676712727
4,44843,45070.2183119706,16748.7086801372
8,41633,42084.2194689905,13066.9490415042
17,36587,36473.1934936871,15300.2252951244
26,45924,46150.4237307178,16443.0825218128
31,36510,36306.1582391392,13357.8951611999
33,55302,55117.5136133034,16013.1331015009
35,44556,44537.4066479294,12523.6754626662
36,35749,35618.2486768217,13378.4401470971
37,40270,40349.4881830107,14304.9481829811
39,42154,41896.3058287526,14988.5223294542
41,46086,45825.7329941695,15919.0382601585
51,38060,38295.8639615045,15675.1980470734
52,56401,56809.7191533943,16041.6164693303
63,57766,57743.9671559432,15639.1598382057
65,45185,45335.8665913977,12629.0749127142
70,43553,43826.2908761199,15799.968294548
89,40309,39930.4518756313,15667.7488072774
93,39282,39240.7984948514,15769.8825983884
94,43014,42993.9322321002,17502.5634258778
99,60320,60381.75882703,15180.5734999536
101,45546,45315.9647653079,14828.5839799987
105,41485,41238.6339749817,14459.6952516372
108,45502,45592.208529367,12758.9573599616
122,40722,40830.2460693243,14360.5787810771
124,65387,65722.3810256802,18272.2103710483
129,47900,47846.9788918672,14255.7893978996
135,40552,40660.9884383841,14219.3921807061
140,36584,36640.9586952617,15157.151683523
145,52729,52478.9809586102,14943.3383057928
147,47068,47175.639286826,17779.6429652681
150,35490,35293.6477006748,12298.6389276179
151,36180,36211.8788087013,16276.6430964542
156,53607,53774.6947308283,14715.068068047
168,42497,42219.3885415174,13164.6098971329
177,41924,41775.4532113607,11692.2924737007
185,38616,38750.3063147732,12501.7723925641
186,50462,50132.3670114828,16050.2519398411
193,39665,39621.514388753,12365.7840090152
198,35483,35486.9529259286,14797.1926231722
204,29531,29556.2967582023,12658.8079654434
209,34138,34579.6015802684,13809.7785547474
229,34299,34615.1048957572,12621.1796924291
231,64539,63788.8009142059,18080.9987125957
232,67661,67657.4516891689,16991.1958050063
235,44415,44533.7463517185,13506.565797981
236,43137,43240.449058105,17098.2002877362
244,38125,38294.0365594029,13484.1124736191
245,41570,41950.6842705682,13500.1880220858
254,30246,30165.3621768713,12375.3506450544
256,46937,46887.6007351859,15114.0892475344
272,35230,35052.4509492276,15534.5712696265
273,31145,31008.5301735166,14226.1758974681
277,62870,62816.6521782744,17279.3777527526
278,38152,38181.7262315727,13570.299611558
279,44335,44454.005271237,14194.1531684949
280,52715,53197.8581154411,16543.1983875186
282,59861,59328.0557222685,17088.8188963556
285,50355,50401.8641982544,17103.708748654
290,45577,45561.6939446555,15608.3905087442
293,38079,38063.9961694206,15214.1227399412
298,34301,34713.589684128,13576.7448437578
304,41640,41550.7273634226,15071.0689797783
305,42727,42752.1577125658,11751.1075037678
309,49159,49437.7414617167,16043.9672910238
