"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"catch",1,2,"2024-12-02",6,-2.6956,0.0866,-0.081,-2.7031
"catch",2,3,"2024-12-03",11,-3.2911,0.0998,-0.044,-3.301
"catch",3,3,"2024-12-03",18,-3.7208,0.0978,-0.092,-3.7304
"catch",4,3,"2024-12-03",12,-3.3345,0.0947,-0.088,-3.3435
"catch",5,3,"2024-12-03",30,-4.9713,0.3275,0.013,-5.0789
"catch",6,4,"2024-12-04",18,-3.7208,0.0978,-0.092,-3.7304
"catch",7,4,"2024-12-04",24,-3.9336,0.0893,-0.072,-3.9416
"catch",8,4,"2024-12-04",18,-3.7208,0.0978,-0.092,-3.7304
"catch",9,4,"2024-12-04",12,-3.3345,0.0947,-0.088,-3.3435
"catch",10,4,"2024-12-04",6,-2.6956,0.0866,-0.081,-2.7031
"catch",11,4,"2024-12-04",18,-3.6672,0.0891,-0.073,-3.6751
"catch",12,4,"2024-12-04",18,-3.6672,0.0891,-0.073,-3.6751
"catch",13,5,"2024-12-05",18,-3.7208,0.0978,-0.092,-3.7304
"catch",14,5,"2024-12-05",12,-3.3345,0.0947,-0.088,-3.3435
"catch",15,6,"2024-12-06",11,-3.2869,0.0977,-0.025,-3.2964
"catch",16,6,"2024-12-06",18,-3.7173,0.0958,-0.001,-3.7265
"catch",17,6,"2024-12-06",18,-4.2603,0.2595,0.09,-4.3278
"catch",18,6,"2024-12-06",24,-3.9593,0.0998,0.049,-3.9693
"catch",19,7,"2024-12-07",24,-4.0728,0.1366,0.033,-4.0915
"catch",20,10,"2024-12-10",1,-2.6314,0.2282,0.064,-2.6836
"catch",21,11,"2024-12-11",12,-3.3941,0.1224,-0.046,-3.4091
"catch",22,12,"2024-12-12",24,-3.9336,0.0893,-0.072,-3.9416
"catch",23,12,"2024-12-12",18,-4.2451,0.2551,-0.029,-4.3104
"catch",24,13,"2024-12-13",9,-3.0142,0.0855,-0.032,-3.0215
"catch",25,18,"2024-12-18",0,-3.9042,0.4814,0.157,-4.1366
"catch",26,18,"2024-12-18",18,-3.7208,0.0978,-0.092,-3.7304
"catch",27,18,"2024-12-18",12,-3.3345,0.0947,-0.088,-3.3435
"catch",28,20,"2024-12-20",24,-4.0728,0.1366,0.033,-4.0915
"catch",29,21,"2024-12-21",24,-4.0728,0.1366,0.033,-4.0915
"catch",30,22,"2024-12-22",5,-2.61,0.0952,-0.03,-2.6191
"catch",31,27,"2024-12-27",12,-3.3312,0.0928,-0.006,-3.3398
"catch",32,28,"2024-12-28",18,-3.6658,0.0881,0.043,-3.6736
"catch",33,28,"2024-12-28",24,-5.1694,0.4205,0.15,-5.3469
"catch",34,28,"2024-12-28",12,-3.5739,0.1253,-0.016,-3.5896
"catch",35,28,"2024-12-28",40,-5.2919,0.3431,0.118,-5.4102
"catch",36,28,"2024-12-28",20,-3.7965,0.1031,0.055,-3.8072
"catch",37,31,"2024-12-31",16,-3.6365,0.1897,0.332,-3.6736
"catch",38,31,"2024-12-31",18,-3.7916,0.2438,0.408,-3.8539
"catch",39,31,"2024-12-31",0,-3.1805,0.5982,0.295,-3.5417
"catch",40,31,"2024-12-31",24,-4.0045,0.1626,0.302,-4.0315
"catch",41,32,"2025-01-01",24,-4.0485,0.2328,0.274,-4.105
"catch",42,33,"2025-01-02",24,-5.2086,0.4253,0.041,-5.3899
"catch",43,33,"2025-01-02",12,-3.3246,0.0922,-0.146,-3.3331
"catch",44,34,"2025-01-03",48,-4.912,0.2246,0.192,-4.9627
"catch",45,38,"2025-01-07",10,-3.1224,0.0853,-0.137,-3.1296
"catch",46,38,"2025-01-07",12,-3.3246,0.0922,-0.146,-3.3331
"catch",47,38,"2025-01-07",20,-4.5902,0.3131,0.004,-4.6884
"catch",48,38,"2025-01-07",0,-2.8988,0.336,0.086,-3.0118
"catch",49,39,"2025-01-08",12,-3.3246,0.0922,-0.146,-3.3331
"catch",50,39,"2025-01-08",18,-3.7106,0.0953,-0.146,-3.7197
"catch",51,39,"2025-01-08",6,-2.6866,0.0841,-0.142,-2.6937
"catch",52,39,"2025-01-08",24,-3.9633,0.0988,-0.024,-3.9731
"catch",53,45,"2025-01-14",24,-3.9482,0.0909,-0.115,-3.9565
"catch",54,45,"2025-01-14",9,-3.0161,0.0848,-0.026,-3.0233
"catch",55,45,"2025-01-14",6,-3.1476,0.1418,0.14,-3.1677
"catch",56,48,"2025-01-17",6,-3.1379,0.1705,0.127,-3.167
"catch",57,48,"2025-01-17",24,-3.953,0.0937,0.006,-3.9618
"catch",58,49,"2025-01-18",6,-2.6885,0.0899,0.052,-2.6966
"catch",59,49,"2025-01-18",8,-3.1699,0.1387,0.17,-3.1892
"catch",60,49,"2025-01-18",14,-3.5967,0.1263,0.133,-3.6127
"catch",61,49,"2025-01-18",14,-3.4478,0.1012,0.16,-3.4581
"catch",62,52,"2025-01-21",30,-6.1436,0.6053,0.137,-6.5105
"catch",63,54,"2025-01-23",12,-3.3246,0.0922,-0.146,-3.3331
"catch",64,55,"2025-01-24",6,-2.6885,0.0899,0.052,-2.6966
"catch",65,56,"2025-01-25",24,-3.953,0.0937,0.006,-3.9618
"catch",66,56,"2025-01-25",2,-3.3077,0.2991,0.038,-3.3973
"catch",67,60,"2025-01-29",30,-4.5344,0.2049,0.044,-4.5765
"catch",68,60,"2025-01-29",6,-2.6866,0.0841,-0.142,-2.6937
"catch",69,60,"2025-01-29",6,-3.1476,0.1418,0.14,-3.1677
"catch",70,60,"2025-01-29",0,-2.8988,0.336,0.086,-3.0118
"catch",71,60,"2025-01-29",48,-5.4273,0.3296,0.014,-5.5363
"catch",72,76,"2025-02-14",6,-2.8076,0.2946,0.398,-2.9008
"catch",73,77,"2025-02-15",0,-2.4896,0.5058,0.218,-2.7456
"catch",74,77,"2025-02-15",14,-3.5189,0.2326,0.496,-3.5784
"catch",75,88,"2025-02-26",0,-2.4923,0.529,0.247,-2.7723
"catch",76,91,"2025-03-01",1,-2.3996,0.4139,0.204,-2.5727
"catch",77,91,"2025-03-01",1,-2.3996,0.4139,0.204,-2.5727
"catch",78,115,"2025-03-25",18,-4.4899,0.7427,0.547,-5.1158
"catch",79,115,"2025-03-25",9,-3.1084,0.1952,0.212,-3.1475
"catch",80,125,"2025-04-04",6,-2.7117,0.1373,0.131,-2.7306
"catch",81,125,"2025-04-04",6,-2.818,0.2322,0.177,-2.873
"catch",82,126,"2025-04-05",3,-2.1139,0.1193,0.116,-2.1281
"catch",83,126,"2025-04-05",5,-2.8556,0.2582,0.136,-2.9224
"catch",84,126,"2025-04-05",8,-2.9588,0.131,0.116,-2.976
"catch",85,136,"2025-04-15",1,-2.5409,0.3871,0.112,-2.6907
"catch",86,140,"2025-04-19",5,-2.7285,0.221,0.131,-2.7774
"catch",87,144,"2025-04-23",6,-2.8181,0.243,0.237,-2.8787
"catch",88,151,"2025-04-30",3,-2.1204,0.1271,0.102,-2.1366
"catch",89,152,"2025-05-01",24,-4.0516,0.1774,0.188,-4.0833
"catch",90,152,"2025-05-01",6,-2.7321,0.1392,0.124,-2.7515
"catch",91,152,"2025-05-01",12,-3.3773,0.1381,0.09,-3.3964
"catch",92,153,"2025-05-02",7,-2.8251,0.1084,0.115,-2.8369
"catch",93,155,"2025-05-04",16,-3.9032,0.3204,0.253,-4.0075
"catch",94,164,"2025-05-13",14,-4.6929,0.6434,0.355,-5.115
"catch",95,164,"2025-05-13",5,-3.4849,0.3105,0.062,-3.5818
"catch",96,167,"2025-05-16",36,-4.4594,0.1994,0.252,-4.4996
"catch",97,168,"2025-05-17",7,-2.8251,0.1084,0.115,-2.8369
"catch",98,172,"2025-05-21",2,-2.5923,0.2751,0.059,-2.6683
"catch",99,189,"2025-06-07",2,-2.727,0.3729,0.021,-2.8666
"catch",100,202,"2025-06-20",22,-4.9369,0.9801,0.828,-6.1752
"catch",101,202,"2025-06-20",3,-3.1228,0.3939,0.015,-3.2786
"catch",102,203,"2025-06-21",1,-2.497,0.3902,0.014,-2.6499
"catch",103,217,"2025-07-05",11,-3.2587,0.1642,0.42,-3.2867
"catch",104,234,"2025-07-22",6,-2.7132,0.155,0.253,-2.7377
