"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",3.10697615528619,1.347417334301,3.09667064657541,4.94072397045003,4430,1.0017
"mu_mu_C[1]",-0.162827997660122,-2.31939215164143,-0.09303677002605,1.65897509363747,4580,0.9999
"sigma_eps_E",0.586793562374591,0.500662835953044,0.58456592396352,0.684231037703854,2087,1.0008
"sigma_eps_C",0.244680376714442,0.145201223904712,0.240268507320791,0.369931029188971,1988,1.0008
"phi_E",0.483283570661698,0.273780700162207,0.489363098911599,0.657047819807901,1061,1.0033
"phi_C",0.817558802648989,0.603707911620237,0.832291912859007,0.942641386818427,1716,1.002
"sigma_r_E",0.235019932837925,0.195843963336537,0.234013903072962,0.277636694417344,3699,0.9998
"sigma_r_C",1.03004772821249,0.96432056799465,1.02941703976451,1.09964061416881,7084,0.9998
"r_E",18.5411140852239,12.9731748122158,18.2606688031296,26.0723165931173,3861,0.9999
"r_C",0.945652264946096,0.826986569696045,0.943663798170988,1.07536807946264,7433,0.9998
"sigma_mu_E",0.965281525885457,0.0295630829211564,0.667317684470337,3.79126251959564,2833,1.0027
"sigma_mu_C",1.08889486165086,0.0275810378978823,0.694479998565178,4.85744164068318,6271,1.0004
"sigma_IE",1.0658306589374,0.650678803311621,1.03070512717806,1.68940969729415,10773,1
"R_G",1.27935951522928,1.24347207265368,1.27913126248265,1.31579068032848,15010,1.0001
"R_G_boat",4.52514018631112,1.4627841310262,3.99088913144363,10.7663673226549,11962,0.9999
"B1",0.509729414685307,0.278938523713833,0.51074419762056,0.739039788963349,2284,1.0005
"B2",0.521999209890283,-0.0676253741149913,0.523092355703257,1.10681558907743,3879,1
"B1_C",-0.326939954664987,-0.499214498024095,-0.327357321499599,-0.146348702244241,7422,0.9999
