"period","date_start","date_end","n_days","n_days_with_effort","n_days_with_interview","frac_days_effort","frac_days_interview","n_effort_obs","n_interviews","n_ie_obs","observed","omega_E_ci95_width","omega_C_ci95_width"
1,"2024-09-16","2024-09-16",1,0,0,0,0,0,0,0,FALSE,1.47135594213136,0.553195306010541
2,"2024-09-17","2024-09-17",1,1,1,1,1,1,4,0,TRUE,0.960884122724474,0.495261318398922
3,"2024-09-18","2024-09-18",1,1,1,1,1,1,4,0,TRUE,0.968478381995996,0.515510410571331
4,"2024-09-19","2024-09-19",1,1,1,1,1,1,3,0,TRUE,1.14392170729338,0.517114361330816
5,"2024-09-20","2024-09-20",1,1,1,1,1,1,7,0,TRUE,1.02397648875502,0.480984231935605
6,"2024-09-21","2024-09-21",1,1,1,1,1,1,22,0,TRUE,0.957599202918241,0.43295843101368
7,"2024-09-22","2024-09-22",1,0,0,0,0,0,0,0,FALSE,1.30979882773811,0.52263461349311
8,"2024-09-23","2024-09-23",1,0,0,0,0,0,0,0,FALSE,1.36138668973239,0.520876120549614
9,"2024-09-24","2024-09-24",1,1,1,1,1,1,11,0,TRUE,1.0499319350759,0.45914106024033
10,"2024-09-25","2024-09-25",1,1,1,1,1,1,7,0,TRUE,1.18285551092942,0.494706851974254
11,"2024-09-26","2024-09-26",1,0,0,0,0,0,0,0,FALSE,1.35848162749697,0.511562382172779
12,"2024-09-27","2024-09-27",1,1,1,1,1,1,12,0,TRUE,0.995488948055351,0.45254542516837
13,"2024-09-28","2024-09-28",1,1,1,1,1,1,36,0,TRUE,1.14979916816763,0.398414445370083
14,"2024-09-29","2024-09-29",1,0,0,0,0,0,0,0,FALSE,1.50318123524441,0.531516585766977
15,"2024-09-30","2024-09-30",1,0,0,0,0,0,0,0,FALSE,1.32848798287627,0.513303795644113
16,"2024-10-01","2024-10-01",1,1,1,1,1,1,11,0,TRUE,0.97178648655624,0.476265180655345
17,"2024-10-02","2024-10-02",1,0,0,0,0,0,0,0,FALSE,1.28207761325869,0.507181899890157
18,"2024-10-03","2024-10-03",1,1,1,1,1,1,14,0,TRUE,1.05821858227167,0.450818187360314
19,"2024-10-04","2024-10-04",1,1,1,1,1,1,6,0,TRUE,1.16324444440892,0.47424330154756
20,"2024-10-05","2024-10-05",1,1,1,1,1,1,20,0,TRUE,1.08057043696607,0.431045911250061
21,"2024-10-06","2024-10-06",1,0,0,0,0,0,0,0,FALSE,1.29367330842661,0.519836201830824
22,"2024-10-07","2024-10-07",1,0,0,0,0,0,0,0,FALSE,1.27671144611538,0.545224268824826
23,"2024-10-08","2024-10-08",1,1,1,1,1,1,6,0,TRUE,1.01102250596484,0.527165928322746
24,"2024-10-09","2024-10-09",1,1,1,1,1,1,7,0,TRUE,0.963669890198066,0.513239809912464
25,"2024-10-10","2024-10-10",1,0,0,0,0,0,0,0,FALSE,1.25481169440895,0.548056392534829
26,"2024-10-11","2024-10-11",1,1,1,1,1,1,4,0,TRUE,1.33162721339387,0.494319052877122
27,"2024-10-12","2024-10-12",1,1,1,1,1,1,12,0,TRUE,1.00359438820636,0.472878950819794
28,"2024-10-13","2024-10-13",1,1,1,1,1,1,8,0,TRUE,1.03658337530293,0.463836586849302
29,"2024-10-14","2024-10-14",1,0,0,0,0,0,0,0,FALSE,1.2648417836281,0.514126824716351
30,"2024-10-15","2024-10-15",1,1,1,1,1,1,13,0,TRUE,0.95493433850141,0.445733123373863
31,"2024-10-16","2024-10-16",1,1,1,1,1,1,15,0,TRUE,0.968629476509434,0.446786911161094
32,"2024-10-17","2024-10-17",1,1,1,1,1,1,20,0,TRUE,1.01845766139077,0.429064104467193
33,"2024-10-18","2024-10-18",1,1,1,1,1,1,22,0,TRUE,0.950375435386216,0.442787473826419
34,"2024-10-19","2024-10-19",1,1,1,1,1,1,18,0,TRUE,1.01463732709315,0.497860699634185
35,"2024-10-20","2024-10-20",1,0,0,0,0,0,0,0,FALSE,1.25182657715679,0.625115308850088
36,"2024-10-21","2024-10-21",1,1,1,1,1,1,15,0,TRUE,0.939978352713112,0.515907298705435
37,"2024-10-22","2024-10-22",1,1,1,1,1,1,8,0,TRUE,0.945138955918482,0.501446190736044
38,"2024-10-23","2024-10-23",1,1,1,1,1,1,4,0,TRUE,0.986940569848085,0.493309785524303
39,"2024-10-24","2024-10-24",1,1,1,1,1,1,7,0,TRUE,0.97979792645572,0.497617701447166
40,"2024-10-25","2024-10-25",1,1,1,1,1,1,1,0,TRUE,1.79752574385852,0.525820867676885
41,"2024-10-26","2024-10-26",1,1,1,1,1,1,12,0,TRUE,1.01755669923644,0.458929496487709
42,"2024-10-27","2024-10-27",1,1,1,1,1,1,5,0,TRUE,1.16045178951343,0.479612470952932
43,"2024-10-28","2024-10-28",1,0,0,0,0,0,0,0,FALSE,1.38767954348812,0.54165568052243
44,"2024-10-29","2024-10-29",1,0,0,0,0,0,0,0,FALSE,1.55775346971358,0.546540843325809
45,"2024-10-30","2024-10-30",1,1,1,1,1,1,3,0,TRUE,1.06635250783119,0.524568132009437
46,"2024-10-31","2024-10-31",1,1,1,1,1,1,2,0,TRUE,1.19115290135354,0.520938055064775
47,"2024-11-01","2024-11-01",1,1,1,1,1,1,12,0,TRUE,0.946846196013265,0.480548207848676
48,"2024-11-02","2024-11-02",1,1,1,1,1,1,30,0,TRUE,1.11345961670352,0.414563887795889
49,"2024-11-03","2024-11-03",1,0,0,0,0,0,0,0,FALSE,1.25392067963575,0.51938392366495
50,"2024-11-04","2024-11-04",1,0,0,0,0,0,0,0,FALSE,1.50253164137165,0.515470637682098
51,"2024-11-05","2024-11-05",1,1,1,1,1,1,3,0,TRUE,1.38704046009947,0.505395112091902
52,"2024-11-06","2024-11-06",1,1,1,1,1,1,6,0,TRUE,1.06504595817877,0.494780642819198
53,"2024-11-07","2024-11-07",1,1,1,1,1,1,5,0,TRUE,0.944638482588964,0.513767835355736
54,"2024-11-08","2024-11-08",1,1,1,1,1,1,14,0,TRUE,1.01046250476156,0.459996299287856
55,"2024-11-09","2024-11-09",1,1,1,1,1,1,18,0,TRUE,1.08983176370347,0.436720006968372
56,"2024-11-10","2024-11-10",1,0,0,0,0,0,0,0,FALSE,1.6920261374014,0.510921527342658
