"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"gear",1,2,"2024-09-17",30,-3.7215,0.333,0.622,-3.8392
"gear",2,3,"2024-09-18",29,-3.6912,0.3329,0.614,-3.8076
"gear",3,4,"2024-09-19",55,-4.643,0.7278,0.44,-5.1938
"gear",4,5,"2024-09-20",29,-3.8283,0.4486,0.687,-4.0504
"gear",5,6,"2024-09-21",48,-4.1525,0.3819,0.693,-4.3136
"gear",6,9,"2024-09-24",50,-4.522,0.6334,0.857,-5.0043
"gear",7,10,"2024-09-25",13,-3.3945,0.5927,0.73,-3.8109
"gear",8,12,"2024-09-27",34,-3.8858,0.3927,0.824,-4.059
"gear",9,13,"2024-09-28",79,-4.8978,0.678,0.55,-5.3958
"gear",10,16,"2024-10-01",30,-3.7179,0.3664,0.895,-3.8761
"gear",11,18,"2024-10-03",45,-4.2708,0.5451,0.589,-4.5955
"gear",12,19,"2024-10-04",29,-3.8708,0.4392,0.569,-4.0821
"gear",13,20,"2024-10-05",72,-4.7442,0.5607,0.504,-5.0849
"gear",14,23,"2024-10-08",30,-3.7206,0.3498,0.658,-3.8551
"gear",15,24,"2024-10-09",29,-3.6822,0.3411,0.539,-3.8059
"gear",16,26,"2024-10-11",14,-3.8364,0.8047,0.499,-4.5161
"gear",17,27,"2024-10-12",62,-4.5493,0.4745,0.66,-4.8105
"gear",18,28,"2024-10-13",64,-4.5179,0.5069,0.774,-4.8078
"gear",19,30,"2024-10-15",27,-3.6423,0.3169,0.515,-3.7502
"gear",20,31,"2024-10-16",37,-3.9702,0.3997,0.504,-4.1411
"gear",21,32,"2024-10-17",43,-4.181,0.4907,0.503,-4.4356
"gear",22,33,"2024-10-18",39,-3.9842,0.3625,0.656,-4.1296
"gear",23,34,"2024-10-19",62,-4.5109,0.4515,0.581,-4.735
"gear",24,36,"2024-10-21",29,-3.7319,0.3089,0.682,-3.8366
"gear",25,37,"2024-10-22",25,-3.5636,0.3166,0.693,-3.6753
"gear",26,38,"2024-10-23",35,-3.9363,0.4007,0.664,-4.1166
"gear",27,39,"2024-10-24",24,-3.5246,0.3404,0.95,-3.67
"gear",28,40,"2024-10-25",10,-3.8339,0.9609,0.738,-4.7974
"gear",29,41,"2024-10-26",36,-3.9491,0.3453,0.645,-4.0794
"gear",30,42,"2024-10-27",18,-3.6785,0.6174,0.574,-4.0657
"gear",31,45,"2024-10-30",18,-3.3751,0.3629,0.684,-3.5162
"gear",32,46,"2024-10-31",12,-3.423,0.5949,0.292,-3.7996
"gear",33,47,"2024-11-01",33,-3.9164,0.443,-0.03,-4.1277
"gear",34,48,"2024-11-02",79,-4.9437,0.7299,0.69,-5.5595
"gear",35,51,"2024-11-05",8,-3.4778,0.6953,0.468,-3.9814
"gear",36,52,"2024-11-06",17,-3.3428,0.3876,0.73,-3.5035
"gear",37,53,"2024-11-07",25,-3.5509,0.3178,0.531,-3.6558
"gear",38,54,"2024-11-08",36,-3.9683,0.4151,0.37,-4.1531
"gear",39,55,"2024-11-09",22,-3.748,0.4948,0.456,-4
"gear",40,59,"2024-11-13",25,-3.5613,0.3229,0.698,-3.6743
"gear",41,60,"2024-11-14",43,-4.2219,0.4798,0.45,-4.4649
"gear",42,61,"2024-11-15",46,-4.1266,0.3534,1.017,-4.2842
"gear",43,62,"2024-11-16",57,-4.3989,0.4219,0.597,-4.5933
"gear",44,65,"2024-11-19",13,-3.2719,0.4887,0.693,-3.5216
"gear",45,66,"2024-11-20",0,-5.4793,1.733,0.032,-9.0555
"gear",46,67,"2024-11-21",15,-3.2892,0.4264,0.53,-3.4776
"gear",47,68,"2024-11-22",6,-4.0247,1.1371,0.614,-5.3212
"gear",48,69,"2024-11-23",23,-3.6869,0.4785,0.657,-3.9235
"gear",49,72,"2024-11-26",26,-3.5756,0.3353,0.835,-3.7004
"gear",50,73,"2024-11-27",33,-3.8289,0.3568,0.703,-3.9679
"gear",51,75,"2024-11-29",51,-4.3475,0.6337,0.709,-4.8325
"gear",52,76,"2024-11-30",123,-5.6635,1.305,0.57,-7.3193
