"Mode","Month","median","lo95","hi95"
"Shore","2024-09",1166,1026,1327
"Shore","2024-10",2523,2220,2873
"Shore","2024-11",2166,1906,2467
"Shore","2024-12",2582,1959,3520
"Shore","2025-01",1424,1061,1973
"Shore","2025-02",802,546,1247
"Shore","2025-03",1210,867,1778
"Shore","2025-04",2166,1545,3258
"Shore","2025-05",2356,1639,3626
"Shore","2025-06",2264,1381,4027
"Shore","2025-07",2888,1949,4588
"Shore","2025-08",2895,2114,4354
"Shore","2025-09",1651,1155,2498
"Private Boat","2024-09",394,315,494
"Private Boat","2024-10",651,520,817
"Private Boat","2024-11",116,92,145
"Private Boat","2024-12",996,563,1793
"Private Boat","2025-01",744,412,1369
"Private Boat","2025-02",162,53,450
"Private Boat","2025-03",625,269,1488
"Private Boat","2025-04",1284,600,2835
"Private Boat","2025-05",5585,3132,10824
"Private Boat","2025-06",1992,834,4785
"Private Boat","2025-07",9618,4454,20624
"Private Boat","2025-08",16306,9573,28985
"Private Boat","2025-09",4104,1806,9289
"Commercial/Charter","2024-09",0,0,0
"Commercial/Charter","2024-10",0,0,0
"Commercial/Charter","2024-11",0,0,0
"Commercial/Charter","2024-12",6085,5557,6663
"Commercial/Charter","2025-01",5172,4723,5663
"Commercial/Charter","2025-02",730,666,799
"Commercial/Charter","2025-03",0,0,0
"Commercial/Charter","2025-04",0,0,0
"Commercial/Charter","2025-05",0,0,0
"Commercial/Charter","2025-06",0,0,0
"Commercial/Charter","2025-07",0,0,0
"Commercial/Charter","2025-08",0,0,0
"Commercial/Charter","2025-09",0,0,0
