"parameter","prior","prior_mean","prior_sd","post_mean","post_sd","post_median","post_lo95","post_hi95","contraction","prior_influential"
"R_G","lognormal(log(1.500), 0.300)",1.56904178986308,0.481504858425488,1.32796312149715,0.0324506697635696,1.32672820380709,1.26719694506261,1.39144428797503,0.933,FALSE
"phi_E","2*beta(2.0,2.0)-1",0,0.447213595499958,0.216428818078196,0.392588706445223,0.245780398814907,-0.650833589370205,0.829621543483467,0.122,TRUE
"phi_C","2*beta(2.0,2.0)-1",0,0.447213595499958,0.147288050040488,0.419748233120837,0.198298384303708,-0.647686441072968,0.811742144249193,0.061,TRUE
"B1","normal(0, 1.0)",0,1,0.446525313825775,0.183119476190568,0.445173811072092,0.0803076314112884,0.77555651938726,0.817,FALSE
"B2","normal(0, 1.0)",0,1,0.065616462872874,0.577587935727097,0.0587546789507104,-1.00459325656373,1.21777069050163,0.422,TRUE
"mu_mu_E[1]","normal(3.219, 2.0)",3.2188758248682,2,3.07220165329006,0.890262639519481,3.01619131181682,1.15165589442755,5.12332969809337,0.555,FALSE
"mu_mu_C[1]","normal(-0.693, 2.0)",-0.693147180559945,2,0.202947332462589,1.05772345845975,0.308994678922436,-2.34829822612062,2.17621421908378,0.471,TRUE
"sigma_eps_E","half-cauchy(0, 1.0)",NA,NA,0.246422868918185,0.172580490546622,0.213335486005466,0.00954050743063939,0.594374406308303,NA,FALSE
"sigma_eps_C","half-cauchy(0, 1.0)",NA,NA,0.0968314346537731,0.0575678164863427,0.0894075513061716,0.00643065472919819,0.221068859945868,NA,FALSE
"sigma_r_E","half-cauchy(0, 1.0)",NA,NA,0.476408578168367,0.146474272948594,0.512087702583497,0.09766099458477,0.685815993014008,NA,FALSE
"sigma_r_C","half-cauchy(0, 1.0)",NA,NA,0.776438864175658,0.0397356079744934,0.775875659501298,0.699516312462951,0.850248729003237,NA,FALSE
"sigma_mu_E","half-cauchy(0, 1.0)",NA,NA,1.10686655895761,1.41137591827695,0.670111038300386,0.0272831791783006,5.00404310570315,NA,FALSE
"sigma_mu_C","half-cauchy(0, 1.0)",NA,NA,1.53134724156573,2.08930834177697,0.779390268983538,0.0273251867968658,8.8923231062925,NA,FALSE
"B1_C","normal(0, 1.0)",0,1,-0.177624144799531,0.0906828302793739,-0.172950609274296,-0.359143334475267,0.00193881143075636,0.909,FALSE
"R_G_boat","lognormal(log(4.000), 0.500)",4.53259381226731,2.41560213284352,4.49920283790333,2.41978599298798,3.87507239544793,1.49712283470945,10.6291873056334,-0.002,TRUE
