"draw","C_sum","C_expected_sum","E_sum"
7,21151,21124.5057032508,24317.7097405424
9,22298,22425.7192007815,25011.3178074809
11,20055,20294.0053077356,23762.6306105643
14,20438,20437.2785525398,23854.6924520622
19,19965,20141.2284595506,24059.0046897726
20,18918,19020.3844171112,22981.8045357824
24,21068,20915.6745040838,24761.5258387306
26,19169,19348.9751647233,23036.4519076605
28,18813,18742.1471106095,23156.125469303
32,20230,20539.0721562588,23850.0979070999
37,19620,19637.7765651439,22707.3190986984
38,18933,19013.4963073495,23417.5026077141
41,21576,21483.3262939759,24964.9941614577
49,18135,18065.1991168614,23844.3039087913
53,19154,18987.2831931284,22543.9466246485
58,18729,18825.2199305451,22869.4059360775
67,20700,20621.4557567563,23774.9814658832
68,21136,20957.6485930998,24778.1349807874
69,20068,20440.3955463007,24174.0962331895
71,19609,19681.5038706457,23519.9770828084
72,21117,21030.5389238807,25373.3766980758
73,18971,18867.3006974496,22964.9169619296
75,20484,20280.1095427748,24419.5676778623
86,19818,19907.5876642876,23714.042304593
96,18333,18166.1191591531,22886.6557602817
99,21816,21841.3664268115,24455.1677575164
110,19987,20041.6818480502,21935.062827831
113,20221,20136.0126728198,23590.939580045
118,21361,21284.5269273147,24667.52159902
123,20597,20830.681693558,24520.2044815814
135,18204,18235.1336937863,21793.3069046605
137,19688,19649.2123531329,23029.2857890747
139,19052,19146.4839904564,23126.1880321611
144,20200,20275.0218353723,24473.984010281
150,21620,21542.5752030113,25701.8555856514
160,20229,20373.7988155005,23734.9553339272
166,21304,21387.0402692827,25250.1979440523
170,19406,19511.9165228956,23687.2324830463
171,19284,19233.2017233502,23215.4938784744
174,20618,20527.3614531645,24680.2070947699
176,20538,20658.0998581153,24374.1332248237
188,20332,20047.1311429388,24432.8466317005
196,18875,19196.7211766634,23752.9783375919
197,19255,19205.8146201341,22150.8620378711
200,20246,20489.6238592851,22564.0470141911
201,22639,22590.9896319969,26284.5891704794
213,18846,18882.2649705642,23091.4850958178
214,19964,19859.2809593466,25070.8220133507
216,19045,19250.3537506831,23086.243092419
219,19389,19360.4420534332,24200.9073511681
220,20184,20160.4023773826,23515.2764068983
223,22644,22500.7558211281,24822.0185599358
224,21349,21374.9904099492,24828.9728039613
227,22008,22090.9065217913,23655.2867848059
228,21179,21039.0065641633,25121.555032523
230,19261,19243.4156690996,23492.4777030861
232,20455,20550.5538583276,23989.6171284365
238,20863,20951.8810836689,23954.2212407887
240,20591,20565.5684571473,23290.4478923422
243,20172,20298.0312794464,24069.4611990932
246,19191,19333.0995456233,22855.7220892014
247,20925,20941.4741300759,23807.983131033
257,22479,22511.378132322,25836.1690894614
259,20782,20864.675493915,23463.5453386755
260,20273,20267.9634511776,24441.5720507964
261,19599,19568.0805403148,23011.3077287455
263,19872,19940.4498030687,23773.3148578075
264,19908,19867.7176936876,22633.2331759078
267,20605,20662.9893512938,23911.5152315563
269,20738,20579.5549404831,24581.0546083397
274,21419,21262.1197793082,24310.1599141316
278,19610,19582.7424033294,23363.7633923287
281,19484,19563.1996116842,23289.0864024787
283,20233,20324.9666706564,23718.9620864403
287,20631,20446.4081537616,23808.9866700143
290,22203,22057.5558908901,24412.5054791345
293,18859,19117.6872233979,22746.2675593824
294,19447,19448.5537625848,23230.6408862408
296,21434,21692.3447723323,23588.0253743864
302,19510,19651.0217393158,22556.1738110511
303,22342,22458.8076236929,24877.8424727378
311,21687,21536.3679665241,24112.6477456725
320,19238,19263.783321117,22632.4885781179
323,21533,21663.9395451693,24160.3130479609
324,20278,20230.2014443153,23590.2118904009
332,18600,18752.172842823,23474.1861208956
340,20595,20618.9012768097,22724.1958467792
341,19077,18915.1209322556,22954.5641825473
352,22265,22384.5409619559,25054.2751638159
362,21428,21427.0903687663,22975.8972361744
366,22953,22881.5879678525,25934.3110563176
375,18583,18627.7495311474,23481.1428223099
378,20607,20517.6263879783,22878.873100016
379,18548,18563.5028061575,21173.0531484089
382,19135,19202.1766949118,23397.5023813097
383,20186,20150.6503576703,23373.8936586505
386,18588,18609.7538167365,22656.9383095711
395,21073,20674.9949246816,23840.909210767
397,19056,19184.7861299822,21486.7971156111
403,21660,21582.1690640857,24167.8628759375
414,21308,21323.632088166,24034.9570830118
415,20744,20659.0702002015,23306.2573466622
417,20888,20849.8750839284,23196.6349508336
419,18191,18295.1350378519,20545.7466845347
432,19332,19087.5017109687,23769.3058344684
440,19342,19376.8968720928,23573.0598135883
441,20727,20752.2581256188,24310.0661905501
446,19049,19169.1956608602,21182.0387202318
448,24078,24209.3424901685,25936.3741492399
449,20614,20590.6200953862,24087.6390336268
450,20521,20516.4898298541,24450.9492770935
452,21937,21635.677336734,23970.0339064421
462,20399,20290.6694458693,24063.5181817041
463,19568,19655.1266730352,22653.8132962259
471,17955,17835.2304042639,21534.3533074202
480,22091,22162.8873295044,24176.7803367839
481,20219,20081.0259529504,23878.8535609598
482,22362,22071.2596630916,25954.859676919
486,20254,20413.7377701432,22802.8293560166
493,20988,20976.702777272,24408.9381537314
497,20968,20957.0492547411,23671.9896581319
499,19682,19682.8760973767,23132.961891758
502,20982,20850.809883186,24073.1598028227
