"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"trailer",1,2,"2024-12-02",1,-1.4056,0.0706,-0.081,-1.4106
"trailer",2,3,"2024-12-03",2,-1.9062,0.0811,0.139,-1.9128
"trailer",3,4,"2024-12-04",5,-3.4509,0.3914,0.273,-3.6058
"trailer",4,5,"2024-12-05",3,-2.4209,0.1753,0.187,-2.4518
"trailer",5,6,"2024-12-06",2,-1.8786,0.0627,0.108,-1.8825
"trailer",6,7,"2024-12-07",2,-1.8786,0.0627,0.108,-1.8825
"trailer",7,10,"2024-12-10",1,-1.4056,0.0706,-0.081,-1.4106
"trailer",8,11,"2024-12-11",0,-0.9597,0.1723,0.026,-0.9894
"trailer",9,12,"2024-12-12",1,-1.4056,0.0706,-0.081,-1.4106
"trailer",10,13,"2024-12-13",0,-1.1386,0.2025,0.101,-1.1797
"trailer",11,14,"2024-12-14",0,-1.1386,0.2025,0.101,-1.1797
"trailer",12,15,"2024-12-15",2,-1.8786,0.0627,0.108,-1.8825
"trailer",13,18,"2024-12-18",4,-2.9375,0.2813,0.266,-3.0172
"trailer",14,20,"2024-12-20",1,-1.4808,0.1009,0.064,-1.491
"trailer",15,21,"2024-12-21",1,-1.4808,0.1009,0.064,-1.491
"trailer",16,22,"2024-12-22",1,-1.4808,0.1009,0.064,-1.491
"trailer",17,23,"2024-12-23",2,-1.9062,0.0811,0.139,-1.9128
"trailer",18,24,"2024-12-24",1,-1.4056,0.0706,-0.081,-1.4106
"trailer",19,26,"2024-12-26",0,-0.9597,0.1723,0.026,-0.9894
"trailer",20,27,"2024-12-27",2,-1.8786,0.0627,0.108,-1.8825
"trailer",21,28,"2024-12-28",5,-3.1283,0.3085,0.109,-3.2245
"trailer",22,31,"2024-12-31",2,-1.9901,0.1738,0.118,-2.0206
"trailer",23,32,"2025-01-01",3,-2.2715,0.1427,0.223,-2.2922
"trailer",24,33,"2025-01-02",0,-0.7993,0.1635,0.21,-0.8261
"trailer",25,34,"2025-01-03",0,-0.9591,0.1872,0.096,-0.9942
"trailer",26,35,"2025-01-04",0,-0.9591,0.1872,0.096,-0.9942
"trailer",27,38,"2025-01-07",0,-0.7993,0.1635,0.21,-0.8261
"trailer",28,39,"2025-01-08",4,-3.2423,0.3971,0.177,-3.4016
"trailer",29,40,"2025-01-09",1,-1.3703,0.0535,0.173,-1.3731
