"draw","C_sum","C_expected_sum","E_sum"
2,19782,19691.4293816129,24567.2725393669
4,20068,20110.2288894522,24158.2163240059
5,21754,21780.4646134709,25099.3300695177
10,19899,19986.4777536688,22916.9293193461
12,20264,20058.6928995137,24006.2096970993
16,19748,19800.5059536378,24562.8218732179
24,18676,18754.3606870316,21978.0069097151
25,18873,18846.1758966804,22498.3033138175
32,19731,19828.2260984659,23079.4353716079
34,20026,19965.4998778092,25515.9888588189
38,20633,20742.6007810776,24089.0478363848
40,19250,19281.190360467,22881.7052865609
53,21157,21344.3384111812,25206.8847193444
54,21220,21240.3522771128,24561.7260088933
56,20533,20629.2343086394,23666.4122805334
57,20856,20663.8397470169,25599.5276589173
63,20213,19968.233603066,22773.6713461047
66,20957,20863.5044230539,24568.5111751587
68,20883,20873.6518879026,23423.8400621507
72,19968,20169.6075414713,23534.7613779746
74,19510,19552.1327505118,23045.7208707007
75,17786,17842.6684678089,22792.5537144742
76,21720,21779.1576139583,24135.1174568803
79,20514,20597.7548761265,24476.401932912
83,21474,21479.3822157734,24128.5164590636
89,20829,20806.4445084834,24141.54184991
94,19295,19320.2766023304,21891.5542570376
96,21213,20900.8982987061,24138.7644755133
99,20276,20352.7160607516,23690.3174893053
106,20176,20284.2674175141,23494.0311695667
109,19188,19234.5521434144,22302.2778368814
114,19392,19531.9105063293,23071.6492717955
115,19615,19836.4998947975,23481.8215000445
118,20207,20406.2826329051,22775.553925351
127,19757,19791.2094574474,24438.6649015692
128,21905,21814.270879278,24765.0720787909
129,19661,19942.8603093179,23046.1612485979
132,18504,18644.7556091142,22647.1011308937
135,19175,19276.0127086048,23038.702252983
136,19966,20070.1485783666,24161.1236493857
138,19917,19939.3935900101,24424.5563259187
139,20479,20695.6132564203,24812.1443044726
150,20464,20540.9533762558,22918.5300837131
153,20370,20122.4184589805,25038.1937124008
155,19148,19293.9497553901,23877.3492201442
157,18241,18160.4087320802,22843.3868548002
160,21404,21641.5927597029,24784.2740378287
168,20499,20652.7386010707,24114.6342231318
170,20185,20429.0814238507,23767.2872739738
178,19772,19608.5628624414,23130.3418755873
180,19330,19162.4595546506,21491.5555882757
181,20838,20721.1913337883,23898.823127558
183,19952,19829.3451367395,24951.3493826991
185,21017,20975.0088213632,23923.756560694
187,20405,20418.0478051534,23692.7487682499
193,21257,21238.1258620063,23183.5546133763
195,22203,22234.132474486,23645.5431129314
197,18522,18337.9808079063,22910.4024961587
200,21196,21359.1382546622,25051.3602810167
202,18684,18559.1681520285,22091.3732485375
206,19808,19632.373315928,23222.2240244593
208,19710,19632.1409019944,24024.938672883
224,21590,21332.7794913208,25174.2942611516
225,20420,20326.8858464044,23593.2132399583
247,20151,20023.0304705972,22002.1644788456
248,20329,20195.6889487951,23665.9499753049
252,20467,20515.0737207418,23369.6186421339
255,20360,20263.1215853109,23569.5493944856
256,20712,20637.9323781658,24632.3857104281
260,21956,21963.1795953096,23407.6653786768
261,19794,19651.8465555094,23464.216989449
266,20960,21073.4648129143,23048.5631584052
268,20957,20696.8654667943,23390.8637735449
272,19821,19715.1639499969,23583.4956180468
274,22113,22034.4972616894,24271.5193097883
277,21574,21797.6036205761,24404.0948870357
278,18295,18485.5938300639,23219.1260409405
281,21280,21380.0492847025,23708.1460856866
288,19745,19676.2612784639,22749.5097261794
294,20611,20301.9381430057,23423.4018299356
295,20536,20657.0947489709,22609.8501099448
296,19305,19345.2862944841,22231.0240814885
298,20720,20743.2245845081,24571.8816019995
299,20460,20468.3715615966,23305.5818726547
300,20136,20097.5344383223,22660.6781849229
302,19537,19526.215556709,23928.4287184669
304,19573,19524.4059642526,23905.4432442322
306,18704,18528.7464339921,23371.918033595
308,19433,19460.9415413909,23212.0312272174
312,21049,20963.5539407534,24047.9787979728
315,22350,22514.6714293216,25394.1973197647
317,19889,19912.7046203481,23704.9344474304
319,21868,21723.3144702819,25197.2097912723
321,19342,19060.4025652504,22578.6361312113
322,20735,20797.511682368,24485.0068909483
324,19789,19710.1485883315,22778.4158665859
326,21584,21474.2973900331,24634.5686923719
331,19480,19522.0719350565,24069.76862465
332,19731,19562.4063487983,23425.191790441
334,20650,20808.700733604,23998.1556577062
337,20472,20369.5400641902,23245.8024738984
350,22783,22798.3650520627,26079.1405560212
369,17989,17890.3513225685,23329.8072386735
373,18220,18395.6289294682,22685.9758875478
374,18733,19081.4395852947,23317.4384878777
375,20613,20636.6511494649,24760.1788835187
378,20015,20010.651215881,23489.3089445667
380,20666,20338.4561706026,22193.0917190357
382,20847,20879.7368954825,25012.3257254911
386,21789,21634.8245598501,23733.2462543669
396,20538,20356.661882883,23978.2961652024
400,19094,19071.223551953,22710.0222510873
406,19950,20036.5431483584,22395.1318654445
410,22377,22471.9965570326,25241.0212272087
414,20341,20291.7342784476,24725.0746785821
422,19707,19752.7074844617,22258.795303619
426,19809,19780.1490733942,23238.5445615038
431,20405,20192.1149241708,22685.4328445369
436,20820,20825.3622115312,25156.2362955135
439,21998,22099.9795875564,24815.7050618453
446,19960,19916.9778272417,23113.5623428577
450,21429,21379.376972736,24141.275957356
455,22599,22597.0502478751,25533.7350827816
456,19963,20083.3059439939,23898.7657025971
457,19976,20105.7598111711,24267.6972793145
459,19920,19973.5367283695,25357.7074493216
464,19020,19099.9646769105,22437.4472113659
468,19823,19896.1318137482,24296.5755692874
469,21199,21160.3630519913,24371.8837806334
473,18404,18412.5363206394,22012.3320071627
483,20460,20444.3272256561,23010.1795490824
484,21234,21169.170023006,23304.8331545627
486,20052,19923.0863287666,23706.3619682467
487,20051,19828.8317982011,22792.1844715251
491,20703,20623.8081067309,23570.9920629274
492,19855,19898.9553290471,24191.6383877615
495,20162,20094.4777774819,23002.7024649776
502,20781,20688.8434369404,24112.3494919733
503,21466,21444.7482153936,23053.2376855543
504,18923,18890.8665762834,22043.5525603139
516,20525,20550.4986959896,22524.6285953398
518,17570,17408.4035123836,21496.1934580058
521,19364,19159.8355429443,23328.0298528315
541,20605,20395.0652576768,23449.0503291303
544,19004,18885.6274075815,22829.5258099797
550,19931,20081.693638148,23802.8369025846
551,18935,18762.6659980608,22799.3903743334
563,19187,19075.7781960323,22367.9596030928
565,21392,21260.3754476707,24488.1205231888
566,20333,20374.1862842876,23527.1072989292
568,20813,20891.1175581426,24748.1746748924
570,19462,19421.6586218262,23245.6186895553
571,19340,19015.2844764826,23126.5845595607
575,20320,20454.244426006,22454.1655014944
580,21410,21256.1652956581,24021.2233796267
581,19925,20161.2902615109,23706.3777110396
583,20992,21077.6048579377,25109.4716679727
584,21843,21758.8436625721,25387.5702590091
587,19802,19691.7910721278,22815.3007645558
588,21731,21641.2215448696,25528.3054093105
592,21508,21741.0629180033,25650.1491476695
593,21761,21751.9676465019,24468.5217118557
602,21946,22178.3331264387,23972.0961418878
603,22309,22364.4116096786,25914.9920565286
604,20174,20091.6207998067,22840.0321847363
611,20146,20119.2801255757,24318.8698828222
626,21176,21134.7578292312,23996.862868954
629,21698,21633.0386752469,24851.4567114775
639,19445,19458.8883797133,23594.2133826535
644,21105,21019.0833792427,24192.0366230316
645,20458,20388.4805963395,23468.5863037342
651,19505,19487.8615246393,22726.6435538553
655,19030,19255.4088610199,22146.2276547759
657,21088,21115.5674797729,25849.9826592586
672,21780,21597.945211701,24913.1031549026
674,20213,20319.2850975592,23266.4440355362
675,20382,20446.2016929441,24686.0565096124
689,20159,20420.4236607284,23173.1012501881
690,19912,19905.1680326461,22982.8803843806
692,20512,20491.9193376333,22685.5945133627
693,19973,19751.9325693495,23405.784108774
694,19776,19674.1749810213,22688.1161524932
695,20594,20973.9941992244,23882.544819103
704,20726,20708.0791319564,23930.9795328736
708,20657,20625.3377181364,24892.7889167189
711,23086,23024.2203294212,24974.0183406965
712,19342,19382.8866584732,23878.2850645165
715,20063,19883.7050331229,22937.7968874035
716,21134,21147.0710057353,25163.6991061661
718,20177,20090.860505595,23782.514794518
719,21078,21290.5321001165,24530.3571199475
720,21004,21116.2304208458,23278.8484972632
721,20328,20170.0358428127,23697.3006429489
724,21696,21816.5994267725,24379.149909473
728,19165,18929.3527145749,22127.9402935019
731,19143,19128.0097768806,22699.1160282651
736,19633,19765.4209522456,24237.4759395793
739,19824,19644.0274170543,22722.5276102765
747,20741,20753.1644302082,22955.0310658177
750,19057,19421.2915083856,23345.3714043318
751,17952,17897.1410333681,22233.2398821776
752,18373,18485.9935380933,22418.689036617
754,19605,19758.9216850015,23052.0508212534
760,20658,20534.7787683091,22957.0470910733
761,21263,21444.7920136551,24537.9864784736
768,21882,21792.9499848572,23151.2610476502
772,20755,20804.3192289325,23580.0110691774
773,20316,20275.9923086896,23686.4646840325
775,21697,21817.3092662482,25849.3190700152
778,20848,20599.3201907019,23098.0425017219
785,21040,20993.5614539404,24086.0962595816
792,20112,20166.7462300917,23017.0829566403
797,19682,19598.6944951888,23081.8408519795
798,21135,21126.5125246839,26297.4926870604
801,19420,19491.5801366901,23724.3242430621
813,20684,20776.4404751217,24841.5705654469
818,18190,18305.8985996646,21025.8215120175
828,18186,18107.5250664033,22360.0977240834
830,20674,20818.3567840154,24972.015076881
831,19766,19409.5693024449,21992.2894675292
835,22112,22153.5308645893,26688.1470967001
836,19000,18990.8391868298,23038.7580327987
841,19069,18991.9379966954,22837.6620975505
843,21945,21716.7227042601,24560.7395347368
845,21151,21191.5733270215,24649.4173435274
847,20067,20070.8845570646,22728.9798288886
849,20377,20588.5150262525,25233.3026842125
850,19494,19661.7199242091,22628.1240316008
851,19881,19841.8785312724,24266.3481727245
853,18902,19054.9784013787,22990.7648909286
869,20997,20970.3296439025,25723.9460880124
870,20823,20858.2147336825,24685.5757337334
876,18138,18138.0534781712,21583.3723089802
880,20619,20425.1371709343,25133.3119980136
884,20365,20345.955037752,23404.3717076943
886,20971,21143.8066330932,23590.1388256455
892,21226,21231.9487513536,24204.2589675643
900,19902,19785.4286241782,23687.6277074429
905,19445,19422.4917955259,23560.6795318771
908,20548,20376.1281010494,24180.4967929593
915,19942,19954.2290789354,24106.1341234124
923,21170,21286.7039881216,23570.2065243788
927,19090,18952.7520746244,22666.1167612518
930,19166,19105.0146197858,23534.5009183958
931,18340,18439.4536212075,23168.3871133377
933,21712,21383.6376435294,24493.7190110138
934,20531,20561.6666342185,24324.8241713745
940,20818,20892.198571815,23995.5597359537
945,18145,18107.0027162458,21198.3397754738
946,20126,19995.1459167393,24547.0960930602
948,19081,19133.7310184049,23143.1328030573
951,20263,20297.2518959295,22681.9239827264
952,19673,19597.730982637,22415.354821363
965,18825,19039.9592647235,22655.9449451708
975,20872,20970.4753723814,23013.8330110741
976,20763,20819.514345609,24265.4989079729
977,20337,20606.3698601253,24623.7192922834
980,19626,19506.1812911913,23482.3719158987
986,19014,18810.9571708019,22671.9602924333
990,21826,21608.6842125796,21816.8907006115
993,17833,17913.4488592039,21632.4896658707
995,18581,18729.5906501553,21553.6183890446
996,19070,18989.9387163018,22809.0296114193
997,19564,19508.9553129914,24035.9771132547
1014,18453,18512.7874651957,22970.790108765
1015,20799,21020.5484909203,24818.922724664
1035,20335,20384.5469295842,23146.625071294
1045,19803,20007.9545121295,24375.821085329
1062,20207,20292.4677110509,22995.9722003186
1070,20669,20598.6857886724,23994.8362962481
1075,19381,19224.8171059526,23780.2379696017
1077,18351,18333.495227917,21421.5517335667
1079,19585,19435.1814159235,23429.0360607155
1085,22618,22689.3181051104,23989.7574135806
1089,19870,19956.6039705524,23689.4291975475
1092,22916,22888.3098967824,25179.9828206864
1098,20855,21126.0526669311,24837.8297939997
1101,20880,20788.6409791031,23527.538282346
1104,20201,19999.2120605284,23464.1943203375
1105,21350,21179.8542392733,24923.9758489867
1107,18855,18994.1675160236,22965.6604917721
1118,21421,21573.6203753946,25155.2477701527
1125,21850,21904.7816082752,24788.5390862452
1126,17393,17559.0025725403,22998.2020553644
1128,20688,20627.2285339303,23924.7559500377
1132,19467,19525.2278202381,23213.9338686514
1134,19747,19817.7075604742,23905.3602395017
1138,18913,18968.1704450369,22563.0188656968
1140,20087,19901.3656921596,23516.2187156064
1142,19589,19413.6588218487,22379.9297082641
1146,20000,20166.1037766062,22933.9992738596
1148,18657,18639.1225889396,21994.5332862885
1149,19631,19697.0344167943,22701.1157535584
1150,19293,19141.7941638429,23360.1009870873
1151,18257,18152.4622724215,23287.0710139788
1152,20043,19938.2627957024,22626.5433655393
1153,22319,22268.6480110474,26298.5595938502
1155,19881,19896.3846904447,23103.5067697921
1159,21135,20897.8462144919,23577.6007051764
1160,18973,19015.2239977892,23754.725486742
1161,18606,18692.1652049649,22143.4246084806
1164,19520,19547.7502701495,22844.4514540106
1167,19840,19655.5076836379,23386.2547961518
1169,22508,22574.1558935981,25197.7038910208
1170,20800,20706.8936718666,24959.0436890281
1172,22289,22378.6415987278,26146.0645497081
1174,18026,18211.0035512604,21917.0982349416
1180,20680,20888.7675701633,23997.6447838373
1185,19979,19916.3767315365,24682.6850895559
1189,18194,18223.4952739275,23173.6525811621
1190,21297,21268.0469192036,24449.4877093037
