"parameter","prior","prior_mean","prior_sd","post_mean","post_sd","post_median","post_lo95","post_hi95","contraction","prior_influential"
"R_G","lognormal(log(1.300), 0.300)",1.35983621788133,0.417304210635423,1.35583333467901,0.422665518220207,1.29331454469836,0.705947253249252,2.34768457201555,-0.013,TRUE
"phi_E","2*beta(2.0,2.0)-1",0,0.447213595499958,0.652722612775932,0.188248847999997,0.681657282281167,0.191889744999571,0.931041001994529,0.579,FALSE
"phi_C","2*beta(2.0,2.0)-1",0,0.447213595499958,-0.132165125514352,0.394229246697859,-0.162453371493184,-0.797356520087196,0.722378634889019,0.118,TRUE
"B1","normal(0, 1.0)",0,1,0.266074641137239,0.164455112076446,0.266151432884212,-0.0507995924301851,0.595220974237503,0.836,FALSE
"B2","normal(0, 1.0)",0,1,0.526599470927418,0.384461473927455,0.515549543187678,-0.208080985387964,1.30321426755601,0.616,FALSE
"mu_mu_E[1]","normal(2.303, 2.0)",2.30258509299405,2,2.73451832570179,0.884922317048851,2.74519131507059,0.919841883835685,4.49545689640374,0.558,FALSE
"mu_mu_C[1]","normal(-0.693, 2.0)",-0.693147180559945,2,1.04679857367548,0.240241946193144,1.06105162325855,0.587577059537617,1.43288101931296,0.88,FALSE
"sigma_eps_E","half-cauchy(0, 2.0)",NA,NA,1.08123537573032,0.325518613644724,1.03117697057341,0.609771482852027,1.84822832866664,NA,FALSE
"sigma_eps_C","half-cauchy(0, 2.0)",NA,NA,0.441604476571005,0.203161053618856,0.411666470092553,0.115810918379168,0.919805873180216,NA,FALSE
"sigma_r_E","half-cauchy(0, 2.0)",NA,NA,0.931822394174883,0.0607456637103187,0.929397457651293,0.817017483721572,1.05800150736201,NA,FALSE
"sigma_r_C","half-cauchy(0, 2.0)",NA,NA,0.771167363784624,0.06473609985309,0.767939597516886,0.652649161665904,0.905192888756672,NA,FALSE
"sigma_mu_E","half-cauchy(0, 2.0)",NA,NA,18.4624269535025,397.728042837408,1.95773625174084,0.0662966560769152,46.9976739341179,NA,FALSE
"sigma_mu_C","half-cauchy(0, 2.0)",NA,NA,12.7666929137152,138.464585996995,1.92098112424428,0.0745728809219029,59.395404894859,NA,FALSE
"B1_C","normal(0, 1.0)",0,1,-0.0232510857913919,0.155545372062978,-0.02679168107872,-0.321828318761357,0.295078092428457,0.844,FALSE
"R_G_boat","lognormal(log(4.000), 0.500)",4.53259381226731,2.41560213284352,3.55209042968872,0.164707740856413,3.55043829244569,3.23775561725885,3.87907153240389,0.932,FALSE
