"parameter","prior","prior_mean","prior_sd","post_mean","post_sd","post_median","post_lo95","post_hi95","contraction","prior_influential"
"R_G","lognormal(log(1.300), 0.300)",1.35983621788133,0.417304210635423,1.279054680117,0.0185981449573894,1.27897884960608,1.2418395473377,1.31564434566132,0.955,FALSE
"phi_E","2*beta(2.0,2.0)-1",0,0.447213595499958,0.408064865203437,0.285792261551595,0.439106243241984,-0.217950543334696,0.870004469947234,0.361,TRUE
"phi_C","2*beta(2.0,2.0)-1",0,0.447213595499958,0.250027715349897,0.348555534730557,0.276250110677236,-0.488097154761102,0.83814882446296,0.221,TRUE
"B1","normal(0, 1.0)",0,1,0.764058428581803,0.0688381085339619,0.7630784819687,0.628245184993505,0.900178920291467,0.931,FALSE
"B2","normal(0, 1.0)",0,1,0.38469030502498,0.197158497973016,0.379393432602012,0.00846896539675469,0.788950559265287,0.803,FALSE
"mu_mu_E[1]","normal(3.219, 2.0)",3.2188758248682,2,3.09705827230354,0.254177271935084,3.09522533961655,2.56902192893887,3.63230530591999,0.873,FALSE
"mu_mu_C[1]","normal(-0.693, 2.0)",-0.693147180559945,2,0.0707762033642063,0.208675290705703,0.0555083320123469,-0.290945426746954,0.556397828859437,0.896,FALSE
"sigma_eps_E","half-cauchy(0, 2.0)",NA,NA,0.380193133671064,0.124921672201456,0.356860960210773,0.208767568596808,0.680343938917074,NA,FALSE
"sigma_eps_C","half-cauchy(0, 2.0)",NA,NA,0.329144950044181,0.103352236929205,0.310451797156095,0.185215357088965,0.588715223097222,NA,FALSE
"sigma_r_E","half-cauchy(0, 2.0)",NA,NA,0.55451869427615,0.0249291137187328,0.553783700587726,0.507733444184946,0.605844926978043,NA,FALSE
"sigma_r_C","half-cauchy(0, 2.0)",NA,NA,1.08821382927406,0.0335208284161529,1.08810848969023,1.0242704500691,1.15446100864214,NA,FALSE
"sigma_mu_E","half-cauchy(0, 2.0)",NA,NA,19.9369545670459,482.442981609571,1.98852244646105,0.0835554227744784,48.6664846183328,NA,FALSE
"sigma_mu_C","half-cauchy(0, 2.0)",NA,NA,8.38889233473084,72.2869088433966,1.97788223126849,0.0883021595880143,39.1844420557237,NA,FALSE
"B1_C","normal(0, 1.0)",0,1,-0.402404655388585,0.0664508283559749,-0.402441983833659,-0.53341893209167,-0.27245600904801,0.934,FALSE
"R_G_boat","lognormal(log(4.000), 0.500)",4.53259381226731,2.41560213284352,4.54054662622018,2.48152036602818,3.96693628261666,1.46902620044921,10.8675565924254,-0.027,TRUE
