"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"gear",1,1,"2024-12-01",76,-4.2273,0.6226,0.716,-4.7693
"gear",2,3,"2024-12-03",27,-3.3223,0.5783,0.58,-3.7596
"gear",3,4,"2024-12-04",30,-3.4129,0.606,0.819,-4.005
"gear",4,5,"2024-12-05",20,-3.0773,0.5337,0.693,-3.4475
"gear",5,6,"2024-12-06",25,-3.3469,0.7176,0.843,-4.1423
"gear",6,7,"2024-12-07",31,-3.4339,0.58,0.76,-3.9188
"gear",7,10,"2024-12-10",23,-3.1934,0.565,0.732,-3.6364
"gear",8,11,"2024-12-11",20,-3.1033,0.578,0.516,-3.524
"gear",9,12,"2024-12-12",39,-3.69,0.7025,0.649,-4.3735
"gear",10,13,"2024-12-13",22,-3.2676,0.7549,0.957,-4.1607
"gear",11,14,"2024-12-14",37,-3.5728,0.5539,0.446,-3.9561
"gear",12,15,"2024-12-15",33,-3.4951,0.5988,0.782,-3.9969
"gear",13,18,"2024-12-18",32,-3.4729,0.6257,0.996,-4.1908
"gear",14,20,"2024-12-20",22,-3.1865,0.6209,0.66,-3.712
"gear",15,21,"2024-12-21",20,-3.0991,0.5708,0.702,-3.5302
"gear",16,22,"2024-12-22",19,-3.1174,0.703,0.773,-3.8067
"gear",17,23,"2024-12-23",29,-3.3855,0.586,0.665,-3.8665
"gear",18,24,"2024-12-24",31,-3.4358,0.5676,0.688,-3.8628
"gear",19,26,"2024-12-26",33,-3.4854,0.5451,0.601,-3.8695
"gear",20,27,"2024-12-27",50,-3.8315,0.5695,0.78,-4.3072
"gear",21,28,"2024-12-28",58,-3.9706,0.5884,0.723,-4.4488
"gear",22,31,"2024-12-31",96,-4.4369,0.6467,0.777,-5.0731
"gear",23,32,"2025-01-01",55,-3.955,0.6681,0.942,-4.7545
"gear",24,33,"2025-01-02",28,-3.3424,0.5613,0.832,-3.8097
"gear",25,34,"2025-01-03",55,-3.9216,0.5687,0.684,-4.3527
"gear",26,35,"2025-01-04",39,-3.6395,0.5936,0.601,-4.0917
"gear",27,38,"2025-01-07",19,-3.0631,0.6165,0.859,-3.6762
"gear",28,39,"2025-01-08",29,-3.3692,0.5383,0.636,-3.7495
"gear",29,40,"2025-01-09",35,-3.5321,0.5749,0.717,-3.9832
"gear",30,41,"2025-01-10",34,-3.6251,0.7988,0.891,-4.5916
"gear",31,42,"2025-01-11",149,-4.9496,0.8602,0.997,-6.2872
"gear",32,45,"2025-01-14",50,-3.876,0.6657,0.729,-4.531
"gear",33,47,"2025-01-16",16,-2.9878,0.6912,0.701,-3.6583
"gear",34,48,"2025-01-17",47,-3.792,0.5911,0.723,-4.278
"gear",35,49,"2025-01-18",62,-4.0324,0.603,0.755,-4.5588
"gear",36,52,"2025-01-21",16,-2.9173,0.5571,0.72,-3.3342
"gear",37,53,"2025-01-22",8,-2.606,0.776,0.856,-3.4697
"gear",38,54,"2025-01-23",16,-2.9178,0.5511,0.599,-3.3153
"gear",39,55,"2025-01-24",9,-3.0388,1.2078,0.86,-5.0537
"gear",40,56,"2025-01-25",68,-4.1944,0.7904,0.93,-5.3143
"gear",41,60,"2025-01-29",32,-3.4625,0.5937,0.894,-4.0257
"gear",42,61,"2025-01-30",24,-3.2219,0.5648,0.819,-3.6862
"gear",43,62,"2025-01-31",14,-3.0884,0.9969,0.955,-4.6598
"gear",44,63,"2025-02-01",48,-3.8317,0.6385,0.809,-4.4574
"gear",45,67,"2025-02-05",2,-2.3217,1.1545,0.901,-4.1294
"gear",46,68,"2025-02-06",4,-2.1576,0.7132,0.595,-2.7878
"gear",47,69,"2025-02-07",13,-2.8276,0.6599,0.774,-3.4651
"gear",48,70,"2025-02-08",65,-4.0908,0.6438,0.837,-4.7605
"gear",49,73,"2025-02-11",20,-3.0899,0.5738,0.661,-3.5322
"gear",50,74,"2025-02-12",11,-2.713,0.6836,0.813,-3.4297
"gear",51,76,"2025-02-14",23,-3.2721,0.7158,0.837,-4.016
"gear",52,77,"2025-02-15",65,-4.1172,0.7055,0.833,-4.8799
"gear",53,81,"2025-02-19",12,-2.8127,0.7474,0.727,-3.6396
"gear",54,82,"2025-02-20",30,-3.4612,0.6949,0.982,-4.3431
"gear",55,83,"2025-02-21",18,-3.1109,0.7734,0.921,-4.1
"gear",56,84,"2025-02-22",28,-3.3484,0.5569,0.526,-3.7505
"gear",57,87,"2025-02-25",11,-2.7741,0.7631,0.923,-3.6363
"gear",58,88,"2025-02-26",32,-3.4803,0.6081,0.796,-3.9905
"gear",59,89,"2025-02-27",32,-3.4718,0.6137,0.802,-4.025
"gear",60,90,"2025-02-28",16,-3.6526,1.4773,1.093,-6.7372
"gear",61,91,"2025-03-01",105,-4.6443,0.909,0.968,-6.1239
"gear",62,94,"2025-03-04",1,-3.0253,0.8921,0.422,-3.861
"gear",63,94,"2025-03-04",3,-2.0743,0.5059,0.325,-2.3462
"gear",64,94,"2025-03-04",9,-2.9502,0.7699,0.435,-3.5889
"gear",65,95,"2025-03-05",0,-3.5231,0.9857,0.579,-4.5473
"gear",66,95,"2025-03-05",7,-2.6326,0.6516,0.561,-3.1029
"gear",67,95,"2025-03-05",1,-2.4612,0.7646,0.51,-3.0801
"gear",68,96,"2025-03-06",17,-2.981,0.3978,0.362,-3.1492
"gear",69,96,"2025-03-06",35,-4.4838,1.1125,0.635,-5.8965
"gear",70,96,"2025-03-06",20,-2.9387,0.2332,0.318,-2.9956
"gear",71,97,"2025-03-07",13,-2.6227,0.2295,0.32,-2.6778
"gear",72,97,"2025-03-07",9,-2.6793,0.5152,0.403,-2.9619
"gear",73,97,"2025-03-07",9,-2.6793,0.5152,0.403,-2.9619
"gear",74,98,"2025-03-08",58,-3.8061,0.2374,0.359,-3.8651
"gear",75,98,"2025-03-08",54,-3.7536,0.2457,0.236,-3.8168
"gear",76,98,"2025-03-08",69,-4.1743,0.5101,0.526,-4.4668
"gear",77,101,"2025-03-11",18,-2.9647,0.3876,0.344,-3.1269
"gear",78,101,"2025-03-11",13,-2.673,0.3034,0.285,-2.7708
"gear",79,101,"2025-03-11",12,-2.6987,0.3832,0.284,-2.8553
"gear",80,102,"2025-03-12",13,-2.8601,0.4586,0.463,-3.0851
"gear",81,102,"2025-03-12",17,-2.8053,0.2203,0.37,-2.8562
"gear",82,102,"2025-03-12",22,-3.2163,0.4917,0.416,-3.4828
