"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1674,1294,2319,1202,930,1683
"2024-10",3225,2650,3984,2253,1855,2784
"2024-11",2482,1905,3282,1861,1448,2416
"2024-12",9618,8793,10750,2246,1785,2865
"2025-01",7163,6665,7909,2246,1783,2892
"2025-02",1683,1386,2129,1459,1101,1949
"2025-03",1462,1067,2151,1638,1372,1955
"2025-04",2966,2270,4041,3017,2516,3648
"2025-05",7624,5300,11821,3823,3216,4565
"2025-06",5582,3516,9407,3525,2797,4463
"2025-07",15637,9472,27658,9034,7249,11421
"2025-08",20411,13653,31431,9166,7580,11266
"2025-09",5614,3345,9955,3540,2777,4668
