"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"catch",1,126,"2025-04-05",0,-0.7983,0.0502,-0.109,-0.8008
"catch",2,1,"2024-12-01",8,-3.4086,0.0559,-0.148,-3.4117
"catch",3,1,"2024-12-01",4,-2.7553,0.039,-0.102,-2.7568
"catch",4,1,"2024-12-01",0,-0.6911,0.0407,0.093,-0.6928
"catch",5,1,"2024-12-01",1,-1.5687,0.0302,-0.087,-1.5696
"catch",6,1,"2024-12-01",0,-1.0655,0.057,0.069,-1.0687
"catch",7,1,"2024-12-01",0,-0.6911,0.0407,0.093,-0.6928
"catch",8,1,"2024-12-01",2,-1.9828,0.0268,-0.091,-1.9835
"catch",9,1,"2024-12-01",5,-2.7994,0.0331,-0.117,-2.8005
"catch",10,1,"2024-12-01",3,-2.3672,0.0319,-0.073,-2.3683
"catch",11,1,"2024-12-01",7,-3.1074,0.0335,-0.142,-3.1085
"catch",12,1,"2024-12-01",1,-2.1103,0.0524,0.11,-2.1131
"catch",13,1,"2024-12-01",0,-1.3238,0.0681,0.026,-1.3284
"catch",14,1,"2024-12-01",3,-2.3691,0.0343,-0.169,-2.3703
"catch",15,1,"2024-12-01",0,-0.6911,0.0407,0.093,-0.6928
"catch",16,1,"2024-12-01",4,-3.3604,0.1044,0.006,-3.3713
"catch",17,1,"2024-12-01",12,-4.1882,0.1035,0.02,-4.1989
"catch",18,1,"2024-12-01",0,-0.6911,0.0407,0.093,-0.6928
"catch",19,1,"2024-12-01",3,-2.7407,0.0703,-0.081,-2.7457
"catch",20,1,"2024-12-01",4,-2.7415,0.0493,-0.186,-2.744
"catch",21,1,"2024-12-01",1,-1.4433,0.0211,-0.089,-1.4438
"catch",22,1,"2024-12-01",3,-2.3672,0.0319,-0.073,-2.3683
"catch",23,1,"2024-12-01",4,-3.3604,0.1044,0.006,-3.3713
"catch",24,1,"2024-12-01",4,-3.3604,0.1044,0.006,-3.3713
"catch",25,1,"2024-12-01",0,-0.6911,0.0407,0.093,-0.6928
"catch",26,1,"2024-12-01",2,-1.9828,0.0268,-0.091,-1.9835
"catch",27,1,"2024-12-01",0,-1.3238,0.0681,0.026,-1.3284
"catch",28,1,"2024-12-01",6,-3.4638,0.0891,-0.022,-3.4717
"catch",29,1,"2024-12-01",4,-2.7415,0.0493,-0.186,-2.744
"catch",30,1,"2024-12-01",12,-3.67,0.0409,-0.198,-3.6717
