"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"gear",2,"2024-09-17",30,30.897,0.5661,TRUE,TRUE
"gear",3,"2024-09-18",29,30.897,0.5446,TRUE,TRUE
"gear",4,"2024-09-19",55,30.897,0.8917,FALSE,TRUE
"gear",5,"2024-09-20",29,49.68,0.2744,TRUE,TRUE
"gear",6,"2024-09-21",48,49.68,0.5637,TRUE,TRUE
"gear",9,"2024-09-24",50,30.897,0.8544,FALSE,TRUE
"gear",10,"2024-09-25",13,30.897,0.1579,FALSE,TRUE
"gear",12,"2024-09-27",34,49.68,0.3545,TRUE,TRUE
"gear",13,"2024-09-28",79,49.68,0.8496,FALSE,TRUE
"gear",16,"2024-10-01",30,29.951,0.5858,TRUE,TRUE
"gear",18,"2024-10-03",45,29.951,0.8204,FALSE,TRUE
"gear",19,"2024-10-04",29,48.105,0.2887,TRUE,TRUE
"gear",20,"2024-10-05",72,48.105,0.8215,FALSE,TRUE
"gear",23,"2024-10-08",30,29.951,0.5858,TRUE,TRUE
"gear",24,"2024-10-09",29,29.951,0.5643,TRUE,TRUE
"gear",26,"2024-10-11",14,48.105,0.073,FALSE,TRUE
"gear",27,"2024-10-12",62,48.105,0.7421,TRUE,TRUE
"gear",28,"2024-10-13",64,48.105,0.7601,FALSE,TRUE
"gear",30,"2024-10-15",27,27.537,0.5699,TRUE,TRUE
"gear",31,"2024-10-16",37,27.537,0.7623,FALSE,TRUE
"gear",32,"2024-10-17",43,27.537,0.8387,FALSE,TRUE
"gear",33,"2024-10-18",39,44.354,0.5019,TRUE,TRUE
"gear",34,"2024-10-19",62,44.354,0.7866,FALSE,TRUE
"gear",36,"2024-10-21",29,27.537,0.6154,TRUE,TRUE
"gear",37,"2024-10-22",25,27.537,0.5211,TRUE,TRUE
"gear",38,"2024-10-23",35,27.537,0.7308,TRUE,TRUE
"gear",39,"2024-10-24",24,27.537,0.4956,TRUE,TRUE
"gear",40,"2024-10-25",10,44.354,0.0437,FALSE,TRUE
"gear",41,"2024-10-26",36,44.354,0.4521,TRUE,TRUE
"gear",42,"2024-10-27",18,44.354,0.1419,FALSE,TRUE
"gear",45,"2024-10-30",18,25.015,0.3906,TRUE,TRUE
"gear",46,"2024-10-31",12,25.015,0.2064,FALSE,TRUE
"gear",47,"2024-11-01",33,40.127,0.464,TRUE,TRUE
"gear",48,"2024-11-02",79,40.127,0.9236,FALSE,TRUE
"gear",51,"2024-11-05",8,25.015,0.0997,FALSE,TRUE
"gear",52,"2024-11-06",17,25.015,0.3598,TRUE,TRUE
"gear",53,"2024-11-07",25,25.015,0.5868,TRUE,TRUE
"gear",54,"2024-11-08",36,40.127,0.518,TRUE,TRUE
"gear",55,"2024-11-09",22,40.127,0.2501,TRUE,TRUE
"gear",59,"2024-11-13",25,24.289,0.6052,TRUE,TRUE
"gear",60,"2024-11-14",43,24.289,0.8864,FALSE,TRUE
"gear",61,"2024-11-15",46,39.003,0.6904,TRUE,TRUE
"gear",62,"2024-11-16",57,39.003,0.8085,FALSE,TRUE
"gear",65,"2024-11-19",13,24.289,0.2485,FALSE,TRUE
"gear",66,"2024-11-20",0,24.289,9e-04,FALSE,FALSE
"gear",67,"2024-11-21",15,24.289,0.3121,TRUE,TRUE
"gear",68,"2024-11-22",6,39.003,0.0212,FALSE,FALSE
"gear",69,"2024-11-23",23,39.003,0.2839,TRUE,TRUE
"gear",72,"2024-11-26",26,34.299,0.4293,TRUE,TRUE
"gear",73,"2024-11-27",33,34.299,0.5721,TRUE,TRUE
"gear",75,"2024-11-29",51,64.653,0.5343,TRUE,TRUE
"gear",76,"2024-11-30",123,55.223,0.9476,FALSE,TRUE
"catch",2,"2024-09-17",3,5.595,0.3652,TRUE,TRUE
"catch",2,"2024-09-17",27,15.385,0.8453,FALSE,TRUE
"catch",2,"2024-09-17",0,2.797,0.0974,FALSE,TRUE
"catch",2,"2024-09-17",1,2.797,0.2961,TRUE,TRUE
"catch",3,"2024-09-18",0,2.797,0.0974,FALSE,TRUE
"catch",3,"2024-09-18",3,2.797,0.6306,TRUE,TRUE
"catch",3,"2024-09-18",0,2.797,0.0974,FALSE,TRUE
"catch",3,"2024-09-18",12,5.595,0.8955,FALSE,TRUE
"catch",4,"2024-09-19",0,2.797,0.0974,FALSE,TRUE
"catch",4,"2024-09-19",5,2.797,0.8225,FALSE,TRUE
"catch",4,"2024-09-19",0,2.797,0.0974,FALSE,TRUE
"catch",5,"2024-09-20",11,11.402,0.5879,TRUE,TRUE
"catch",5,"2024-09-20",2,2.28,0.5556,TRUE,TRUE
"catch",5,"2024-09-20",1,2.28,0.3531,TRUE,TRUE
"catch",5,"2024-09-20",6,3.42,0.8219,FALSE,TRUE
"catch",5,"2024-09-20",0,3.42,0.0782,FALSE,TRUE
"catch",5,"2024-09-20",6,3.42,0.8219,FALSE,TRUE
"catch",5,"2024-09-20",0,2.28,0.1193,FALSE,TRUE
"catch",6,"2024-09-21",11,3.42,0.9666,FALSE,TRUE
"catch",6,"2024-09-21",2,2.28,0.5556,TRUE,TRUE
"catch",6,"2024-09-21",6,5.701,0.626,TRUE,TRUE
"catch",6,"2024-09-21",3,2.28,0.7058,TRUE,TRUE
"catch",6,"2024-09-21",0,1.14,0.2102,FALSE,TRUE
"catch",6,"2024-09-21",1,2.28,0.3531,TRUE,TRUE
"catch",6,"2024-09-21",1,1.14,0.5622,TRUE,TRUE
"catch",6,"2024-09-21",0,1.14,0.2102,FALSE,TRUE
"catch",6,"2024-09-21",3,4.561,0.4398,TRUE,TRUE
"catch",6,"2024-09-21",4,4.561,0.5498,TRUE,TRUE
"catch",6,"2024-09-21",3,4.561,0.4398,TRUE,TRUE
"catch",6,"2024-09-21",0,1.14,0.2102,FALSE,TRUE
"catch",6,"2024-09-21",5,3.42,0.7551,FALSE,TRUE
"catch",6,"2024-09-21",0,2.28,0.1193,FALSE,TRUE
"catch",6,"2024-09-21",0,4.561,0.0559,FALSE,TRUE
"catch",6,"2024-09-21",4,4.561,0.5498,TRUE,TRUE
"catch",6,"2024-09-21",6,3.42,0.8219,FALSE,TRUE
"catch",6,"2024-09-21",4,3.42,0.6665,TRUE,TRUE
"catch",6,"2024-09-21",0,4.561,0.0559,FALSE,TRUE
"catch",6,"2024-09-21",2,4.561,0.3142,TRUE,TRUE
"catch",6,"2024-09-21",4,2.28,0.8096,FALSE,TRUE
"catch",6,"2024-09-21",6,2.28,0.9235,FALSE,TRUE
"catch",9,"2024-09-24",7,25.176,0.1564,FALSE,TRUE
"catch",9,"2024-09-24",0,1.399,0.1817,FALSE,TRUE
"catch",9,"2024-09-24",0,1.399,0.1817,FALSE,TRUE
"catch",9,"2024-09-24",3,5.595,0.3652,TRUE,TRUE
"catch",9,"2024-09-24",6,8.392,0.4605,TRUE,TRUE
"catch",9,"2024-09-24",9,8.392,0.6358,TRUE,TRUE
"catch",9,"2024-09-24",5,2.797,0.8225,FALSE,TRUE
"catch",9,"2024-09-24",0,1.399,0.1817,FALSE,TRUE
"catch",9,"2024-09-24",6,1.399,0.9802,FALSE,FALSE
"catch",9,"2024-09-24",6,2.797,0.8791,FALSE,TRUE
"catch",9,"2024-09-24",9,4.196,0.8898,FALSE,TRUE
"catch",10,"2024-09-25",0,5.595,0.0435,FALSE,TRUE
"catch",10,"2024-09-25",3,1.399,0.852,FALSE,TRUE
"catch",10,"2024-09-25",3,5.595,0.3652,TRUE,TRUE
"catch",10,"2024-09-25",2,4.196,0.3411,TRUE,TRUE
"catch",10,"2024-09-25",10,2.797,0.9754,FALSE,FALSE
"catch",10,"2024-09-25",2,2.797,0.4817,TRUE,TRUE
"catch",10,"2024-09-25",7,4.196,0.8091,FALSE,TRUE
"catch",12,"2024-09-27",0,2.28,0.1193,FALSE,TRUE
"catch",12,"2024-09-27",0,2.28,0.1193,FALSE,TRUE
"catch",12,"2024-09-27",4,2.28,0.8096,FALSE,TRUE
"catch",12,"2024-09-27",6,4.561,0.7184,TRUE,TRUE
"catch",12,"2024-09-27",2,2.28,0.5556,TRUE,TRUE
"catch",12,"2024-09-27",0,1.14,0.2102,FALSE,TRUE
"catch",12,"2024-09-27",5,4.561,0.6424,TRUE,TRUE
"catch",12,"2024-09-27",3,2.28,0.7058,TRUE,TRUE
"catch",12,"2024-09-27",12,4.561,0.9396,FALSE,TRUE
"catch",12,"2024-09-27",3,2.28,0.7058,TRUE,TRUE
"catch",12,"2024-09-27",0,4.561,0.0559,FALSE,TRUE
"catch",12,"2024-09-27",2,1.14,0.7807,FALSE,TRUE
"catch",13,"2024-09-28",0,2.28,0.1193,FALSE,TRUE
"catch",13,"2024-09-28",2,2.28,0.5556,TRUE,TRUE
"catch",13,"2024-09-28",1,2.28,0.3531,TRUE,TRUE
"catch",13,"2024-09-28",2,2.28,0.5556,TRUE,TRUE
"catch",13,"2024-09-28",4,2.28,0.8096,FALSE,TRUE
"catch",13,"2024-09-28",2,3.42,0.4095,TRUE,TRUE
"catch",13,"2024-09-28",6,4.561,0.7184,TRUE,TRUE
"catch",13,"2024-09-28",0,2.28,0.1193,FALSE,TRUE
"catch",13,"2024-09-28",14,4.561,0.9646,FALSE,TRUE
"catch",13,"2024-09-28",2,4.561,0.3142,TRUE,TRUE
"catch",13,"2024-09-28",0,2.28,0.1193,FALSE,TRUE
"catch",13,"2024-09-28",0,1.14,0.2102,FALSE,TRUE
"catch",13,"2024-09-28",0,1.14,0.2102,FALSE,TRUE
"catch",13,"2024-09-28",0,2.28,0.1193,FALSE,TRUE
"catch",13,"2024-09-28",2,1.14,0.7807,FALSE,TRUE
"catch",13,"2024-09-28",1,2.28,0.3531,TRUE,TRUE
"catch",13,"2024-09-28",0,2.28,0.1193,FALSE,TRUE
"catch",13,"2024-09-28",8,4.561,0.8288,FALSE,TRUE
"catch",13,"2024-09-28",6,2.28,0.9235,FALSE,TRUE
