"draw","C_sum","C_expected_sum","E_sum"
2,21996,22010.7742703891,23260.211566801
4,21134,21147.0710057353,25163.6991061661
5,19694,19976.4930704377,23550.5387314067
10,21196,21369.0495057437,24870.375162283
11,21284,21421.2285986306,25055.1353191613
12,22049,22090.865879607,24389.1596289093
16,20222,20326.5438369136,24498.4939783852
24,19544,19492.1545963829,22170.5145639445
25,21120,21029.0747997498,24581.3968040466
26,18393,18496.7486249523,23929.6505559442
31,20261,19912.6159229206,23407.3911088321
32,21004,20978.3530591908,23560.1628357744
34,22618,22689.3181051104,23989.7574135806
38,21652,21594.2369334743,24717.8111882866
40,18913,18800.9549560145,21897.8820777117
53,20377,20395.4882318661,24012.1291176385
54,22202,22158.6044176429,24006.3404022289
56,19100,19040.9920722895,22896.7689520183
57,19817,19804.0463503926,23202.3250450411
63,20117,20036.3867953956,22249.6923552694
66,21113,21279.5138738918,23464.1280852356
68,22599,22597.0502478751,25533.7350827816
72,19450,19572.7271933111,23029.2143498559
74,19494,19661.7199242091,22628.1240316008
75,21405,21387.234151566,22286.792517256
76,20104,20234.0191119613,22763.0774424085
79,21259,21402.2070102016,23915.2810290888
83,17928,18015.1483188607,22750.9236068174
94,19168,19416.5810491785,22148.4418726026
96,20935,21128.5709433104,24124.4886289867
99,22113,22034.4972616894,24271.5193097883
106,20415,20468.6327528956,24044.2750165487
107,19382,19162.1082860213,22995.648177717
109,23353,23194.3885112382,25696.0965243134
114,18922,18991.8437541611,21990.2799171868
115,19961,20003.6289137888,24712.2922031594
118,21622,21693.0827960107,23276.1569471954
127,19401,19404.0108693236,22461.5285157564
128,19920,19973.5367283695,25357.7074493216
129,19839,20020.854975691,22658.4125981655
132,21515,21530.2173232553,25697.8318475278
135,21720,21779.1576139583,24135.1174568803
136,18852,19003.9671708105,21956.4451383039
138,20275,20390.5889921355,25352.4824696701
150,19599,19686.2911631516,23733.6600253438
153,19272,19356.2937829196,23394.4281603021
155,20812,20616.9059546511,23521.669586795
157,19236,19251.0496208566,21808.2184300688
160,17873,17866.8581411251,21069.5162367644
168,19837,19667.7557789356,22669.4688940957
170,20221,20325.168840786,24483.82125785
178,20756,20600.1398839613,23884.2394601131
180,19034,19091.1253658114,23314.6196777052
181,21410,21256.1652956581,24021.2233796267
185,19780,19754.6984125882,22926.1816579357
193,19305,19416.6634388109,22685.7218132226
195,18463,18589.3696800446,23722.215965244
197,18460,18423.8177069454,21373.8139613555
200,19967,20035.6447937445,23499.0407347152
202,19753,20052.8308028395,23052.6236723648
205,22309,22364.4116096786,25914.9920565286
206,19835,19782.7098970508,23214.914496282
208,20338,20275.6843867523,24463.0458211354
224,23241,23207.7155217406,25098.1240618498
