"day_index","event_date","cpue_model_median","cpue_model_lo95","cpue_model_hi95","cpue_raw_interview","n_interviews"
1,"2024-12-01",4.04326085928307,3.01150456826596,5.47985964041465,NA,0
2,"2024-12-02",4.09093890509899,3.07533895386777,5.53004537266434,3,1
3,"2024-12-03",4.09093890509899,3.07533895386777,5.53004537266434,4.6875,4
4,"2024-12-04",4.09093890509899,3.07533895386777,5.53004537266434,3.31428571428571,7
5,"2024-12-05",4.09093890509899,3.07533895386777,5.53004537266434,3,2
6,"2024-12-06",4.04326085928307,3.01150456826596,5.47985964041465,4.8875,4
7,"2024-12-07",4.04326085928307,3.01150456826596,5.47985964041465,6,1
8,"2024-12-08",4.04326085928307,3.01150456826596,5.47985964041465,NA,0
9,"2024-12-09",4.09093890509899,3.07533895386777,5.53004537266434,NA,0
10,"2024-12-10",4.09093890509899,3.07533895386777,5.53004537266434,0.5,1
11,"2024-12-11",4.09093890509899,3.07533895386777,5.53004537266434,6,1
12,"2024-12-12",4.09093890509899,3.07533895386777,5.53004537266434,6.5,2
13,"2024-12-13",4.04326085928307,3.01150456826596,5.47985964041465,4.5,1
14,"2024-12-14",4.04326085928307,3.01150456826596,5.47985964041465,NA,0
15,"2024-12-15",4.04326085928307,3.01150456826596,5.47985964041465,NA,0
16,"2024-12-16",4.09093890509899,3.07533895386777,5.53004537266434,NA,0
17,"2024-12-17",4.09093890509899,3.07533895386777,5.53004537266434,NA,0
18,"2024-12-18",4.09093890509899,3.07533895386777,5.53004537266434,2,3
19,"2024-12-19",4.09093890509899,3.07533895386777,5.53004537266434,NA,0
20,"2024-12-20",4.04326085928307,3.01150456826596,5.47985964041465,6,1
21,"2024-12-21",4.04326085928307,3.01150456826596,5.47985964041465,6,1
22,"2024-12-22",4.04326085928307,3.01150456826596,5.47985964041465,2.5,1
23,"2024-12-23",4.09093890509899,3.07533895386777,5.53004537266434,NA,0
24,"2024-12-24",4.09093890509899,3.07533895386777,5.53004537266434,NA,0
25,"2024-12-25",4.09093890509899,3.07533895386777,5.53004537266434,NA,0
26,"2024-12-26",4.09093890509899,3.07533895386777,5.53004537266434,NA,0
27,"2024-12-27",4.04326085928307,3.01150456826596,5.47985964041465,3,1
28,"2024-12-28",4.04326085928307,3.01150456826596,5.47985964041465,6.52,5
29,"2024-12-29",4.04326085928307,3.01150456826596,5.47985964041465,NA,0
30,"2024-12-30",4.09093890509899,3.07533895386777,5.53004537266434,NA,0
31,"2024-12-31",3.38958631169188,1.82385704189762,7.27366462820508,2.98214285714286,4
32,"2025-01-01",3.32001540110079,1.66560600809194,7.30833024978561,4,1
33,"2025-01-02",3.97043397188964,3.02121683592706,5.41197349370839,7.5,2
34,"2025-01-03",3.9234255335339,2.80357708473629,5.65457624702744,6.85714285714286,1
35,"2025-01-04",3.9234255335339,2.80357708473629,5.65457624702744,NA,0
36,"2025-01-05",3.9234255335339,2.80357708473629,5.65457624702744,NA,0
37,"2025-01-06",3.97043397188964,3.02121683592706,5.41197349370839,NA,0
38,"2025-01-07",3.97043397188964,3.02121683592706,5.41197349370839,4.08333333333333,4
39,"2025-01-08",3.97043397188964,3.02121683592706,5.41197349370839,3.45,4
40,"2025-01-09",3.97043397188964,3.02121683592706,5.41197349370839,NA,0
41,"2025-01-10",3.9234255335339,2.80357708473629,5.65457624702744,NA,0
42,"2025-01-11",3.9234255335339,2.80357708473629,5.65457624702744,NA,0
43,"2025-01-12",3.9234255335339,2.80357708473629,5.65457624702744,NA,0
44,"2025-01-13",3.97043397188964,3.02121683592706,5.41197349370839,NA,0
45,"2025-01-14",3.97043397188964,3.02121683592706,5.41197349370839,3.14285714285714,3
46,"2025-01-15",3.97043397188964,3.02121683592706,5.41197349370839,NA,0
47,"2025-01-16",3.97043397188964,3.02121683592706,5.41197349370839,NA,0
48,"2025-01-17",3.9234255335339,2.80357708473629,5.65457624702744,2.46428571428571,2
49,"2025-01-18",3.9234255335339,2.80357708473629,5.65457624702744,3,4
50,"2025-01-19",3.9234255335339,2.80357708473629,5.65457624702744,NA,0
51,"2025-01-20",3.97043397188964,3.02121683592706,5.41197349370839,NA,0
52,"2025-01-21",3.97043397188964,3.02121683592706,5.41197349370839,15,1
53,"2025-01-22",3.97043397188964,3.02121683592706,5.41197349370839,NA,0
54,"2025-01-23",3.97043397188964,3.02121683592706,5.41197349370839,3,1
55,"2025-01-24",3.9234255335339,2.80357708473629,5.65457624702744,3,1
56,"2025-01-25",3.9234255335339,2.80357708473629,5.65457624702744,1.96428571428571,2
57,"2025-01-26",3.9234255335339,2.80357708473629,5.65457624702744,NA,0
58,"2025-01-27",3.97043397188964,3.02121683592706,5.41197349370839,NA,0
59,"2025-01-28",3.97043397188964,3.02121683592706,5.41197349370839,NA,0
