"draw","C_sum","C_expected_sum","E_sum"
1,5938,5876.19963010389,4437.29040130673
6,6715,6731.33436792129,5268.84955514433
9,7052,7059.02872584336,5295.3483774593
14,5594,5641.19692300137,4438.01654107951
17,5713,5720.10202949226,4088.79954078765
18,6744,6813.20789349488,5144.49738971674
22,5900,5950.12207059103,4949.55189312572
23,6326,6262.01574726832,4915.68260118411
24,6067,5910.69507222046,4560.09608949526
33,6772,6627.33609589864,5284.67496338352
36,5527,5564.17461324151,4301.25012858112
38,5780,5761.2939611628,4341.64127737928
45,5287,5200.16406494813,4269.4427881088
47,6473,6609.34237784379,4605.74409061641
48,6182,6243.25130645343,4661.30109911035
50,5674,5628.61820560095,4139.92957335829
51,8226,8349.49940446906,5565.40439972254
56,7155,7090.27857953551,5193.23721935245
57,5669,5697.09096819701,4339.43599771106
58,6233,6353.21029698503,4753.0289370561
59,6056,6176.64681411885,4383.90780212041
60,7147,7034.72654977522,5008.71970960252
61,6582,6660.97603412403,4900.70426395634
62,6709,6613.49111731232,5000.68155709942
63,6003,6144.14308724267,4559.30601158423
66,5962,5964.66209480426,5019.33911215341
68,6237,6175.02962303466,4526.92054055365
69,6918,6879.51876848859,4539.1475006901
70,7054,7049.10317491537,4994.32607435189
76,6037,6178.23446107503,4979.25413904163
79,6002,6014.68830811302,4629.54504332671
82,5955,5977.69474859356,4334.00952599725
84,6493,6459.1237123557,4723.08085129768
87,5867,5816.94455717212,4395.76160660291
91,7113,7073.59243131096,5195.23549647209
92,6224,6155.33131039858,4912.06121794743
94,6927,6849.42246090185,5317.00340031524
96,7470,7371.47991488952,5566.04945942835
103,6730,6573.53787383233,4726.93517315381
105,6143,6140.2226408108,4691.45704340106
108,5648,5641.99264154039,4747.37323871722
114,7002,7056.30285498023,5160.81851505068
117,6187,6185.80728494948,4575.78136054268
118,4752,4854.56401415255,3862.12847535896
121,6965,7002.35156183127,5342.19512958619
123,6071,6131.80205888976,4511.64047317586
124,6912,6789.84611876349,5038.98901570485
136,6826,6761.76137158285,4990.96439655578
137,7387,7390.64191893294,6022.84533134284
145,5061,5026.91116929622,3752.03648574435
150,6741,6700.88024013912,4705.05626264427
151,5961,5870.57569864683,4589.56655023345
153,7219,7183.16685322368,5265.04819129086
155,7281,7346.79768351097,5312.24752442236
156,5453,5447.43095811664,4085.50930634002
158,5885,5947.21525765861,4637.41286468442
164,7138,6974.05414595126,5536.69430195565
166,5376,5458.18578281831,4160.79911815662
167,5588,5565.41285581922,4289.88427053076
168,6945,6875.19515493614,5044.61973006082
171,6297,6234.6975641782,4746.0493676878
175,6707,6655.31032644813,4846.93248822849
176,7063,7039.95633604904,5140.91510181297
179,7395,7416.9428898269,5410.61178311723
180,6723,6714.84390175043,4808.4343781372
186,6953,6772.3196604078,5328.07240009542
187,5845,5849.26389022101,4551.75248299853
189,6468,6329.13634725605,4017.17565992776
191,6220,6196.01490548522,4923.24425877173
205,5301,5296.29331400614,4031.46980519876
209,5546,5616.21207554097,4315.13569713538
211,5800,5724.95510813644,4587.95466115242
212,5854,5871.45131805647,4230.11161802686
223,6928,6943.36576611747,5074.95859854219
225,7373,7320.41844322474,5182.65361851874
226,7524,7530.76037367154,5547.68608807032
227,4884,4854.01262942917,3932.76639041965
231,6059,6186.80682288535,4793.56043676444
235,5431,5453.09214589358,4354.52207208845
