"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"catch",1,2,"2024-12-02",6,-2.6949,0.0859,-0.028,-2.7023
"catch",2,3,"2024-12-03",11,-3.2905,0.099,0.02,-3.3003
"catch",3,3,"2024-12-03",18,-3.72,0.0971,-0.026,-3.7294
"catch",4,3,"2024-12-03",12,-3.3338,0.094,-0.027,-3.3426
"catch",5,3,"2024-12-03",30,-4.9701,0.3306,0.122,-5.08
"catch",6,4,"2024-12-04",18,-3.72,0.0971,-0.026,-3.7294
"catch",7,4,"2024-12-04",24,-3.9324,0.0888,-0.015,-3.9403
"catch",8,4,"2024-12-04",18,-3.72,0.0971,-0.026,-3.7294
"catch",9,4,"2024-12-04",12,-3.3338,0.094,-0.027,-3.3426
"catch",10,4,"2024-12-04",6,-2.6949,0.0859,-0.028,-2.7023
"catch",11,4,"2024-12-04",18,-3.6662,0.0885,-0.017,-3.674
"catch",12,4,"2024-12-04",18,-3.6662,0.0885,-0.017,-3.674
"catch",13,5,"2024-12-05",18,-3.72,0.0971,-0.026,-3.7294
"catch",14,5,"2024-12-05",12,-3.3338,0.094,-0.027,-3.3426
"catch",15,6,"2024-12-06",11,-3.2862,0.0992,-0.021,-3.2961
"catch",16,6,"2024-12-06",18,-3.7166,0.0973,-0.026,-3.726
"catch",17,6,"2024-12-06",18,-4.259,0.2625,0.148,-4.3282
"catch",18,6,"2024-12-06",24,-3.9584,0.0991,0.07,-3.9682
"catch",19,7,"2024-12-07",24,-4.0719,0.1362,0.051,-4.0905
"catch",20,10,"2024-12-10",1,-2.6339,0.2263,0.057,-2.6852
"catch",21,11,"2024-12-11",12,-3.3927,0.123,-0.005,-3.4078
"catch",22,12,"2024-12-12",24,-3.9324,0.0888,-0.015,-3.9403
"catch",23,12,"2024-12-12",18,-4.2438,0.2573,0.08,-4.3102
"catch",24,13,"2024-12-13",9,-3.0133,0.085,0.098,-3.0206
"catch",25,18,"2024-12-18",0,-3.9112,0.4781,0.173,-4.1402
"catch",26,18,"2024-12-18",18,-3.72,0.0971,-0.026,-3.7294
"catch",27,18,"2024-12-18",12,-3.3338,0.094,-0.027,-3.3426
"catch",28,20,"2024-12-20",24,-4.0719,0.1362,0.051,-4.0905
"catch",29,21,"2024-12-21",24,-4.0719,0.1362,0.051,-4.0905
