"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",3.0962035932399,1.01967839128729,3.07461971959255,5.24246682525659,2230,1.0017
"mu_mu_C[1]",0.174033917611533,-2.13490220288898,0.310052125884677,1.95001890536397,3035,1.0009
"sigma_eps_E",0.226486415173574,0.00955168987230895,0.190956030225063,0.662450423021901,2316,1.0002
"sigma_eps_C",0.143938130863664,0.0240094800612948,0.123068085643359,0.391411663519853,2198,1.0008
"phi_E",0.0893463301227823,-0.714961319033755,0.0994422268481031,0.82923516016311,6109,0.9999
"phi_C",-0.226641428700139,-0.879209546118086,-0.279544488324463,0.680800743400471,4904,0.9998
"sigma_r_E",0.561204749174676,0.447379345914455,0.556444850325772,0.698632776264481,7389,1.0002
"sigma_r_C",0.772584001977835,0.696686618579284,0.77155889580024,0.85061861164687,9137,0.9997
"r_E",3.3038309287328,2.04881195386891,3.22965215882936,4.99629576915737,6582,0.9999
"r_C",1.68808795823314,1.38207063163103,1.67981646683162,2.06027441079107,9009,0.9997
"sigma_mu_E",1.15345223238829,0.0317061562014389,0.711276187814422,5.0707865666574,3717,1.0005
"sigma_mu_C",1.07326273860447,0.0249965343171408,0.703620619717001,4.49437793000879,4161,1.0012
"sigma_IE",0.200062693145104,0.00529175605369043,0.137452427899944,0.734575108682335,9122,0.9999
"R_G",1.32433136757539,1.26457661654056,1.32426901011862,1.38579920117789,8972,0.9998
"R_G_boat",4.56553557008869,1.45572299507333,4.03370799275595,10.8422881171797,6948,0.9996
"B1",0.473365881396054,0.13243574913928,0.473900098105658,0.812371915140907,7911,0.9997
"B2",0.0549753907756723,-0.951372941460358,0.0401849514703479,1.18844672761995,8418,0.9997
"B1_C",-0.200186549462701,-0.367059315078638,-0.20063835789215,-0.0329623150137483,9863,0.9995
