"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"gear",1,"2024-12-01",76,73.305,0.6028,TRUE,TRUE
"gear",3,"2024-12-03",27,28.728,0.5041,TRUE,TRUE
"gear",4,"2024-12-04",30,30.048,0.5585,TRUE,TRUE
"gear",5,"2024-12-05",20,21.733,0.4877,TRUE,TRUE
"gear",6,"2024-12-06",25,31.158,0.3538,TRUE,TRUE
"gear",7,"2024-12-07",31,33.104,0.4927,TRUE,TRUE
"gear",10,"2024-12-10",23,24.243,0.5145,TRUE,TRUE
"gear",11,"2024-12-11",20,23.099,0.4348,TRUE,TRUE
"gear",12,"2024-12-12",39,34.758,0.6732,TRUE,TRUE
"gear",13,"2024-12-13",22,27.743,0.3491,TRUE,TRUE
"gear",14,"2024-12-14",37,37.682,0.5439,TRUE,TRUE
"gear",15,"2024-12-15",33,35.859,0.4789,TRUE,TRUE
"gear",18,"2024-12-18",32,31.832,0.5674,TRUE,TRUE
"gear",20,"2024-12-20",22,25.41,0.4251,TRUE,TRUE
"gear",21,"2024-12-21",20,22.727,0.4408,TRUE,TRUE
"gear",22,"2024-12-22",19,23.795,0.3571,TRUE,TRUE
"gear",23,"2024-12-23",29,28.274,0.5853,TRUE,TRUE
"gear",24,"2024-12-24",31,31.774,0.5378,TRUE,TRUE
"gear",26,"2024-12-26",33,34.049,0.5294,TRUE,TRUE
"gear",27,"2024-12-27",50,52.961,0.4959,TRUE,TRUE
"gear",28,"2024-12-28",58,59.186,0.5431,TRUE,TRUE
"gear",31,"2024-12-31",96,94.528,0.5776,TRUE,TRUE
"gear",32,"2025-01-01",55,62.608,0.4245,TRUE,TRUE
"gear",33,"2025-01-02",28,28.864,0.5293,TRUE,TRUE
"gear",34,"2025-01-03",55,54.179,0.5763,TRUE,TRUE
"gear",35,"2025-01-04",39,42.225,0.4818,TRUE,TRUE
"gear",38,"2025-01-07",19,21.645,0.4454,TRUE,TRUE
"gear",39,"2025-01-08",29,29.599,0.541,TRUE,TRUE
"gear",40,"2025-01-09",35,34.376,0.5788,TRUE,TRUE
"gear",41,"2025-01-10",34,43.647,0.3244,TRUE,TRUE
"gear",42,"2025-01-11",149,132.37,0.6923,TRUE,TRUE
"gear",45,"2025-01-14",50,48.408,0.5963,TRUE,TRUE
"gear",47,"2025-01-16",16,20.077,0.367,TRUE,TRUE
"gear",48,"2025-01-17",47,48.672,0.5259,TRUE,TRUE
"gear",49,"2025-01-18",62,60.423,0.5903,TRUE,TRUE
"gear",52,"2025-01-21",16,17.293,0.4966,TRUE,TRUE
"gear",53,"2025-01-22",8,11.874,0.2767,TRUE,TRUE
"gear",54,"2025-01-23",16,15.554,0.5871,TRUE,TRUE
"gear",55,"2025-01-24",9,16.241,0.166,FALSE,TRUE
"gear",56,"2025-01-25",68,60.747,0.6812,TRUE,TRUE
"gear",60,"2025-01-29",32,32.157,0.553,TRUE,TRUE
"gear",61,"2025-01-30",24,24.319,0.5499,TRUE,TRUE
"gear",62,"2025-01-31",14,20.93,0.2445,FALSE,TRUE
"gear",63,"2025-02-01",48,45.409,0.6193,TRUE,TRUE
"gear",67,"2025-02-05",2,5.703,0.132,FALSE,TRUE
"gear",68,"2025-02-06",4,6.398,0.2953,TRUE,TRUE
"gear",69,"2025-02-07",13,16.261,0.377,TRUE,TRUE
"gear",70,"2025-02-08",65,63.594,0.5852,TRUE,TRUE
"gear",73,"2025-02-11",20,20.424,0.547,TRUE,TRUE
"gear",74,"2025-02-12",11,14.168,0.3656,TRUE,TRUE
"gear",76,"2025-02-14",23,28.291,0.3733,TRUE,TRUE
"gear",77,"2025-02-15",65,60.771,0.6339,TRUE,TRUE
"gear",81,"2025-02-19",12,16.067,0.3341,TRUE,TRUE
"gear",82,"2025-02-20",30,26.903,0.663,TRUE,TRUE
"gear",83,"2025-02-21",18,23.314,0.3352,TRUE,TRUE
"gear",84,"2025-02-22",28,29.437,0.5151,TRUE,TRUE
"gear",87,"2025-02-25",11,15.035,0.3225,TRUE,TRUE
"gear",88,"2025-02-26",32,30.688,0.6023,TRUE,TRUE
"gear",89,"2025-02-27",32,30.882,0.5966,TRUE,TRUE
"gear",90,"2025-02-28",16,29.739,0.1197,FALSE,TRUE
"gear",91,"2025-03-01",105,90.83,0.718,TRUE,TRUE
"gear",94,"2025-03-04",1,5.523,0.0383,FALSE,TRUE
"gear",94,"2025-03-04",3,5.523,0.2156,FALSE,TRUE
"gear",94,"2025-03-04",9,5.523,0.8687,FALSE,TRUE
"gear",95,"2025-03-05",0,4.46,0.0154,FALSE,FALSE
"gear",95,"2025-03-05",7,4.46,0.8328,FALSE,TRUE
"gear",95,"2025-03-05",1,4.46,0.0743,FALSE,TRUE
"gear",96,"2025-03-06",17,21.715,0.2992,TRUE,TRUE
"gear",96,"2025-03-06",35,21.715,0.9381,FALSE,TRUE
"gear",96,"2025-03-06",20,21.715,0.4569,TRUE,TRUE
"gear",97,"2025-03-07",13,13.227,0.5329,TRUE,TRUE
"gear",97,"2025-03-07",9,13.227,0.2359,FALSE,TRUE
"gear",97,"2025-03-07",9,13.227,0.2359,FALSE,TRUE
"gear",98,"2025-03-08",58,57.704,0.5503,TRUE,TRUE
"gear",98,"2025-03-08",54,57.704,0.4583,TRUE,TRUE
"gear",98,"2025-03-08",69,57.704,0.7603,FALSE,TRUE
"gear",101,"2025-03-11",18,15.316,0.7036,TRUE,TRUE
"gear",101,"2025-03-11",13,15.316,0.389,TRUE,TRUE
"gear",101,"2025-03-11",12,15.316,0.3207,TRUE,TRUE
"gear",102,"2025-03-12",13,17.725,0.2578,TRUE,TRUE
"gear",102,"2025-03-12",17,17.725,0.502,TRUE,TRUE
"gear",102,"2025-03-12",22,17.725,0.7602,FALSE,TRUE
"gear",104,"2025-03-14",13,22.053,0.1183,FALSE,TRUE
"gear",104,"2025-03-14",18,22.053,0.3385,TRUE,TRUE
"gear",104,"2025-03-14",33,22.053,0.9024,FALSE,TRUE
"gear",105,"2025-03-15",6,17.706,0.017,FALSE,FALSE
"gear",105,"2025-03-15",14,17.706,0.3208,TRUE,TRUE
"gear",105,"2025-03-15",29,17.706,0.9361,FALSE,TRUE
"gear",108,"2025-03-18",10,15.58,0.1842,FALSE,TRUE
"gear",108,"2025-03-18",15,15.58,0.5094,TRUE,TRUE
"gear",108,"2025-03-18",20,15.58,0.7826,FALSE,TRUE
"gear",109,"2025-03-19",15,14.338,0.5902,TRUE,TRUE
"gear",109,"2025-03-19",13,14.338,0.4515,TRUE,TRUE
"gear",109,"2025-03-19",16,14.338,0.6529,TRUE,TRUE
"gear",110,"2025-03-20",4,4.676,0.4531,TRUE,TRUE
"gear",110,"2025-03-20",4,4.676,0.4531,TRUE,TRUE
"gear",110,"2025-03-20",1,4.676,0.0604,FALSE,TRUE
"gear",111,"2025-03-21",14,12.037,0.6874,TRUE,TRUE
"gear",111,"2025-03-21",8,12.037,0.2244,FALSE,TRUE
"gear",111,"2025-03-21",9,12.037,0.3009,TRUE,TRUE
"gear",112,"2025-03-22",56,58.373,0.4888,TRUE,TRUE
"gear",112,"2025-03-22",63,58.373,0.64,TRUE,TRUE
"gear",112,"2025-03-22",65,58.373,0.6784,TRUE,TRUE
"gear",115,"2025-03-25",40,25.393,0.9336,FALSE,TRUE
"gear",115,"2025-03-25",22,25.393,0.3888,TRUE,TRUE
"gear",115,"2025-03-25",13,25.393,0.06,FALSE,TRUE
"gear",117,"2025-03-27",18,16.796,0.6175,TRUE,TRUE
"gear",117,"2025-03-27",13,16.796,0.3092,TRUE,TRUE
"gear",117,"2025-03-27",17,16.796,0.5601,TRUE,TRUE
"gear",118,"2025-03-28",17,29.763,0.087,FALSE,TRUE
"gear",118,"2025-03-28",33,29.763,0.6639,TRUE,TRUE
"gear",118,"2025-03-28",31,29.763,0.5935,TRUE,TRUE
"gear",119,"2025-03-29",91,127.585,0.1549,FALSE,TRUE
"gear",119,"2025-03-29",151,127.585,0.7605,FALSE,TRUE
"gear",119,"2025-03-29",161,127.585,0.8268,FALSE,TRUE
"gear",122,"2025-04-01",54,59.439,0.4216,TRUE,TRUE
"gear",122,"2025-04-01",62,59.439,0.5987,TRUE,TRUE
"gear",122,"2025-04-01",68,59.439,0.7118,TRUE,TRUE
"gear",123,"2025-04-02",9,23.882,0.0165,FALSE,FALSE
"gear",123,"2025-04-02",18,23.882,0.2627,TRUE,TRUE
"gear",123,"2025-04-02",39,23.882,0.9453,FALSE,TRUE
"gear",124,"2025-04-03",36,34.061,0.6105,TRUE,TRUE
