"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",2.67509530948947,0.0420636321388547,2.71343164246301,5.13361084132288,4196,1.0003
"mu_mu_C[1]",0.636684508205673,-2.23078278793144,0.872309592788825,2.42509834486052,3820,1.001
"sigma_eps_E",1.03771505829504,0.59411149783678,0.984480751316923,1.77840631261332,3303,1.0015
"sigma_eps_C",0.424599409040829,0.109088095452873,0.400384108019988,0.865884505761632,3279,1.0012
"phi_E",0.677033980016898,0.236754324366512,0.707994178098039,0.937225846375182,2889,1.0011
"phi_C",-0.120688527311745,-0.773910729092971,-0.159033442354559,0.698760647749375,4833,1.0005
"sigma_r_E",0.929269527111952,0.813551867231374,0.927245219286996,1.05577414892167,13320,0.9998
"sigma_r_C",0.773112726162929,0.65319855700548,0.770353437525691,0.906959361061118,8190,1.0003
"r_E",1.17370350353425,0.897135314044449,1.16308323111121,1.5108783832732,12886,0.9998
"r_C",1.70868117391078,1.21569420102059,1.68507777427998,2.34374072650163,8422,1.0003
"sigma_mu_E",1.25669353180546,0.0271875610597929,0.743137225671821,5.7352250523894,7462,1.0008
"sigma_mu_C",1.33172444446002,0.0326367924602082,0.780659006183372,6.17570393354823,5702,1.0015
"sigma_IE",0.197841398116759,0.00461030894650447,0.138508410089506,0.728321963428974,15956,0.9997
"R_G",1.28654059118384,0.678820880983631,1.22899435164535,2.22459614990642,13306,0.9998
"R_G_boat",3.55388135145372,3.24208562677094,3.55135554941653,3.8910834776876,15541,1.0002
"B1",0.264038235544898,-0.0509059184856294,0.263992845734358,0.578766008215164,12515,0.9999
"B2",0.529457270569502,-0.18667468740639,0.520045892378893,1.29480494363569,14652,0.9998
"B1_C",-0.00981863638502686,-0.322138267750367,-0.0104753578467903,0.304458296243064,12311,1.0001
