"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1396,1038,2030,1059,797,1520
"2024-10",2765,2204,3546,2024,1627,2538
"2024-11",2414,1852,3179,1830,1427,2352
"2024-12",8991,8303,9903,2100,1712,2646
"2025-01",6841,6415,7455,2356,1869,3102
"2025-02",1589,1317,2039,1473,1137,1995
"2025-03",1514,1085,2227,1958,1545,2612
"2025-04",2687,1923,3869,2958,2289,4043
"2025-05",5034,3112,8525,3258,2447,4533
"2025-06",4649,2724,8251,3451,2419,5040
"2025-07",11121,5651,22817,6864,4559,10273
"2025-08",13230,6875,24986,6507,4436,9402
"2025-09",3843,2237,7416,2627,1820,3861
