"draw","C_sum","C_expected_sum","E_sum"
4,7803,7771.38236315186,5829.95746924263
8,6850,6873.8040963542,5233.33590899888
14,6523,6480.66793972409,5378.66121250563
25,6102,6071.75220133462,4735.52087733124
26,5079,5071.7071700652,4099.50429441471
27,5984,5913.40440020281,4518.3843379156
28,6411,6412.65789474483,4639.51636507722
32,6059,6069.35855502061,4646.96322900584
34,6217,6142.72745249104,4444.28678141795
57,5750,5762.96009697324,4527.81737229459
59,6224,6039.75855843824,4574.15139402508
61,6081,6119.91458252347,4980.19808826972
65,5200,5272.56329197939,4183.29732131345
66,6100,5917.73328557891,4614.04880056161
69,6470,6485.69076129524,4943.25523030355
73,6258,6287.58164761287,4890.72106055968
74,5539,5554.61957142817,4529.5711953959
76,6248,6154.0897682746,4930.77805548568
78,6494,6439.82082141019,5263.36717069985
82,5669,5859.640294614,4463.60717448261
84,6429,6463.24377896515,4994.58237979385
89,6073,6043.93826758781,4522.97041700285
90,6711,6676.10973486954,5207.42747936474
93,6118,5989.69037313091,4295.42927272688
99,7328,7375.88639150225,5827.33720658448
100,7487,7450.01956622341,5427.89791689748
104,5386,5346.68085629099,4367.10575832933
105,6531,6525.45993707458,4936.29039759325
108,6345,6369.23722350348,4801.05033238656
112,5751,5722.92504375252,4398.3514950421
113,6104,6130.4439919228,4740.1858135021
119,8019,8043.56171865535,6387.42887666457
120,7146,7116.1685548259,5620.69851978554
125,6448,6403.88937631882,5377.4337010451
134,5813,5914.05903199374,4444.25136233357
136,6081,6130.02302327366,4722.67905151112
142,6330,6274.81462060837,4719.97917035016
145,6533,6538.80127607934,5269.04661018604
149,7553,7469.18916162187,5670.02334088993
151,6247,6368.97217460728,4763.19110309449
154,6186,6175.74229326745,5107.63433149148
156,5780,5694.66620499778,4348.0087793199
162,6759,6727.24154159354,5339.05260374714
165,6630,6568.66655992582,5153.40168855222
166,6875,6844.58182371806,5056.48350187452
169,6547,6504.81188524126,5230.42180747559
174,6694,6609.26175722602,5298.5390024205
175,6570,6626.48702359424,4922.6470202026
176,6835,6817.10992723878,5350.42868677558
179,5619,5644.24407691027,4441.14176670468
180,6062,6046.37684703351,4918.54096517304
192,6398,6432.12266026884,4770.31188157162
194,5830,5813.04072462907,4709.86108694777
198,6186,6067.71374283126,5073.39461965796
199,7459,7392.05051950495,5862.06785170021
206,6137,6189.80370356829,5056.86475547667
