"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"trailer",2,"2024-09-17",5,7.167,0.4438,TRUE,TRUE
"trailer",3,"2024-09-18",9,7.167,0.7277,TRUE,TRUE
"trailer",4,"2024-09-19",3,7.167,0.254,TRUE,TRUE
"trailer",5,"2024-09-20",1,7.167,0.0837,FALSE,TRUE
"trailer",5,"2024-09-20",0,7.167,0.0242,FALSE,FALSE
"trailer",9,"2024-09-24",3,7.167,0.254,TRUE,TRUE
"trailer",12,"2024-09-27",5,7.167,0.4438,TRUE,TRUE
"trailer",13,"2024-09-28",12,16.13,0.4667,TRUE,TRUE
"trailer",16,"2024-10-01",7,4.866,0.7732,FALSE,TRUE
"trailer",18,"2024-10-03",4,4.866,0.5144,TRUE,TRUE
"trailer",19,"2024-10-04",5,4.866,0.619,TRUE,TRUE
"trailer",20,"2024-10-05",12,10.959,0.6597,TRUE,TRUE
"trailer",23,"2024-10-08",0,4.866,0.0424,FALSE,TRUE
"trailer",24,"2024-10-09",3,4.866,0.3941,TRUE,TRUE
"trailer",26,"2024-10-11",3,4.866,0.3941,TRUE,TRUE
"trailer",27,"2024-10-12",9,10.959,0.5075,TRUE,TRUE
"trailer",28,"2024-10-13",7,10.959,0.3858,TRUE,TRUE
"trailer",30,"2024-10-15",2,1.21,0.7699,FALSE,TRUE
"trailer",31,"2024-10-16",2,1.21,0.7699,FALSE,TRUE
"trailer",32,"2024-10-17",2,1.21,0.7699,FALSE,TRUE
"trailer",33,"2024-10-18",1,1.21,0.5431,TRUE,TRUE
"trailer",34,"2024-10-19",0,2.772,0.0944,FALSE,TRUE
"trailer",36,"2024-10-21",1,1.21,0.5431,TRUE,TRUE
"trailer",37,"2024-10-22",0,1.21,0.1983,FALSE,TRUE
"trailer",38,"2024-10-23",0,1.21,0.1983,FALSE,TRUE
"trailer",39,"2024-10-24",2,1.21,0.7699,FALSE,TRUE
"trailer",40,"2024-10-25",0,1.21,0.1983,FALSE,TRUE
"trailer",41,"2024-10-26",1,2.772,0.2939,TRUE,TRUE
"trailer",45,"2024-10-30",1,1.222,0.5478,TRUE,TRUE
"trailer",47,"2024-11-01",2,1.222,0.7693,FALSE,TRUE
"trailer",51,"2024-11-05",0,1.222,0.2023,FALSE,TRUE
"trailer",52,"2024-11-06",1,1.222,0.5478,TRUE,TRUE
"trailer",53,"2024-11-07",4,1.222,0.943,FALSE,TRUE
"trailer",54,"2024-11-08",1,1.222,0.5478,TRUE,TRUE
"trailer",55,"2024-11-09",0,2.826,0.1004,FALSE,TRUE
"trailer",58,"2024-11-12",0,0.218,0.4156,TRUE,TRUE
"trailer",59,"2024-11-13",0,0.218,0.4156,TRUE,TRUE
"trailer",60,"2024-11-14",0,0.218,0.4156,TRUE,TRUE
"trailer",65,"2024-11-19",0,0.218,0.4156,TRUE,TRUE
"trailer",66,"2024-11-20",0,0.218,0.4156,TRUE,TRUE
"trailer",67,"2024-11-21",0,0.218,0.4156,TRUE,TRUE
"trailer",68,"2024-11-22",0,0.218,0.4156,TRUE,TRUE
"trailer",72,"2024-11-26",1,1.183,0.6026,TRUE,TRUE
"trailer",76,"2024-11-30",2,2.648,0.5758,TRUE,TRUE
"catch",2,"2024-09-17",0,6.684,0.1143,FALSE,TRUE
"catch",6,"2024-09-21",6,4.673,0.7733,FALSE,TRUE
"catch",12,"2024-09-27",0,4.456,0.1444,FALSE,TRUE
"catch",18,"2024-10-03",6,8.248,0.592,TRUE,TRUE
"catch",20,"2024-10-05",15,8.913,0.8291,FALSE,TRUE
"catch",26,"2024-10-11",6,2.749,0.869,FALSE,TRUE
"catch",27,"2024-10-12",0,11.884,0.0737,FALSE,TRUE
"catch",27,"2024-10-12",0,8.913,0.0879,FALSE,TRUE
"catch",28,"2024-10-13",8,8.913,0.6638,TRUE,TRUE
"catch",32,"2024-10-17",1,5.005,0.3184,TRUE,TRUE
"catch",32,"2024-10-17",4,10.01,0.4378,TRUE,TRUE
"catch",32,"2024-10-17",4,5.005,0.6249,TRUE,TRUE
"catch",39,"2024-10-24",12,7.508,0.8144,FALSE,TRUE
"catch",45,"2024-10-30",12,13.047,0.6645,TRUE,TRUE
"catch",53,"2024-11-07",24,16.308,0.7975,FALSE,TRUE
"catch",54,"2024-11-08",6,6.523,0.6632,TRUE,TRUE
"catch",54,"2024-11-08",6,6.523,0.6632,TRUE,TRUE
