"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B1",0.476700697728885,0.00184163417212985,0.164244144840014,0.157162369261154,0.367914373012817,0.475773037721945,0.585887016441641,0.801701039493496,7953.77063387351,0.999865186182269
"B2",0.0541486284985793,0.00862512054138803,0.544021970830242,-0.948290009707026,-0.326017626875858,0.0440754989493301,0.401351542025623,1.17891491441135,3978.34582460908,1.00102450440128
"B1_C",-0.201927650774701,0.00114721248889069,0.0845727568469412,-0.36325846940449,-0.260029914240901,-0.202413914016119,-0.143271147412877,-0.03445572103062,5434.67080846746,1.00047598231904
"B2_C",-0.0846528259450287,0.00285344457373252,0.192619076134728,-0.463570161368784,-0.213853646566504,-0.0832910637001905,0.0443778591819286,0.292148672465388,4556.79728483515,1.0000469042396
"gamma_C",-0.0195437957316804,0.0102934820333209,0.982490165543741,-1.95038584694453,-0.665972251728375,-0.0245453749462748,0.632557297273792,1.94477981149846,9110.28161841558,0.999688320683192
"sigma_eps_E",0.23414485433172,0.00399464556208159,0.183950554382324,0.0105789940454805,0.105895642155981,0.196333963383449,0.31742719514147,0.684970407154842,2120.53624369648,1.00029518330745
"Lcorr_E[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"sigma_r_E",0.562238669058641,0.000823290366482732,0.0644848103417915,0.448232602881025,0.516559402501185,0.55688651115643,0.603143155619636,0.699763408706101,6134.91834082726,0.999736899054368
"phi_E_scaled",0.543470849304496,0.00269544794719289,0.209464070236983,0.133953384207413,0.389647152354002,0.554746533257564,0.701486284434978,0.915960644459689,6038.89081985962,1.00039251384273
"eps_E[1,1]",0.186410235577214,0.0109277526094204,0.792050089849072,-1.34766975679604,-0.305708528107747,0.176939785740247,0.691258839011438,1.76944268414397,5253.43769561504,0.999645184327448
"eps_E[2,1]",-0.156999404539927,0.0105858328156789,0.797703117923521,-1.7534995379572,-0.670349314893426,-0.154265294883466,0.365579426504241,1.42480036215654,5678.48545214055,1.00002264475197
"eps_E[3,1]",-0.52892360188467,0.0113994629344185,0.831124760714691,-2.13108769515054,-1.06792577299998,-0.550780139793089,-0.0160550437015498,1.16522412441942,5315.73913567146,0.999674022987738
"eps_E[4,1]",-0.560862212487084,0.0101254713987185,0.834866782041747,-2.20865371750428,-1.0837798052744,-0.572200095378564,-0.0480695442905468,1.14153020756546,6798.35533697576,1.00017431394782
"eps_E[5,1]",0.628797049568098,0.0112251830266935,0.88548171871209,-1.19721359348842,0.0692849899205264,0.660416264660588,1.22321038949555,2.30602470257947,6222.60647985298,0.999788368208897
"omega_E_0_raw[1,1]",0.320026205635822,0.0100905908459562,0.771704184047395,-1.24186266681211,-0.162365473893182,0.328084443583727,0.816426894358124,1.84378550245986,5848.82350740667,1.00084338166172
"mu_mu_E[1]",3.07039952023137,0.0214096804559099,0.953586375705929,0.832000739809201,2.66808769825991,3.06234288431192,3.47869823799611,5.19477488138398,1983.80830553042,1.00030554588913
"sigma_mu_E",1.14759483021763,0.0234554265162483,1.5280067392937,0.0272616230239849,0.299338812707252,0.690188559942698,1.42205458835509,4.99603618186025,4243.88757214352,1.00114581852166
"eps_mu_E[1,1]",-0.000578497744954546,0.0156636341527144,0.921082081156769,-1.83595823747451,-0.59700573507986,0.00125992970415563,0.592189706651148,1.78671861809885,3457.89343544779,0.999692193535657
