"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",2.83350980112217,0.0512846721684266,2.89694040827457,5.3284300996347,3974,1.001
"mu_mu_C[1]",0.616956892831165,-2.25474797082137,0.852123882685637,2.43344675275826,3599,1.0006
"sigma_eps_E",1.02143323172415,0.594686182041933,0.961348421638221,1.7769799394342,2616,1.0005
"sigma_eps_C",0.425832965508459,0.102231125975526,0.403823258406199,0.856411298553074,2630,1.0005
"phi_E",0.748703053544729,0.381385488526726,0.774903486096599,0.958539976409892,2551,1.0014
"phi_C",-0.127648410573404,-0.779256671313003,-0.162438498061576,0.708580792401539,3719,1.0003
"sigma_r_E",1.08542049288633,0.955733519876398,1.08333609889324,1.22685085585734,13144,1
"sigma_r_C",0.771691125133108,0.657232440261563,0.768848711754285,0.903103181447405,8615,0.9999
"r_E",0.859077040482843,0.664379861210997,0.852066655793977,1.09477876358717,12677,1
"r_C",1.71360838853894,1.22609820209534,1.69168001289438,2.31505875222012,9219,0.9999
"sigma_mu_E",1.30118769532545,0.030887644532813,0.748247203072279,6.23692309684418,6284,1.0003
"sigma_mu_C",1.36198162415612,0.0318129329404689,0.786725801070167,6.14153324466107,5590,1.0003
"sigma_IE",0.200952838914876,0.00508049891028697,0.14020340455788,0.738182864660095,14668,0.9999
"R_G",1.27673301265986,0.680832358880269,1.22142981774764,2.19168681265242,12105,1
"R_G_boat",3.55349294375522,3.23439558705061,3.55136540846559,3.88544590531487,13019,0.9998
"B1",0.445816012353308,0.199518613752054,0.444104908432753,0.688883876438406,10063,1.0005
"B2",0.671304184160881,0.101208247596603,0.665750921085312,1.28067551526378,10570,0.9999
"B1_C",-0.00993980816144914,-0.320448713029381,-0.0104073165144229,0.299931070448657,10091,0.9997
"B2_C",-0.156419473406012,-0.831958620258835,-0.166298497171305,0.609213473073468,10415,1
"gamma_C",-0.0112576090231255,-1.94721391473176,-0.00426026933099931,1.90238077330907,13940,0.9997
"kappa_OSP",3.13698912680103,1.64601562674267,2.99558828723837,5.4497675510297,12430,0.9999
"sigma_r_OSP",0.798126480496724,0.680575881267806,0.795544215858583,0.932192450494112,9426,0.9999
"r_OSP",1.60104066136633,1.15077081024784,1.58005191428259,2.15897141265193,8924,0.9998
"f_crab[1]",0.300774267341043,0.12514885039742,0.293708874006042,0.512032030405126,15390,0.9998
"f_lower[1]",0,0,0,0,NA,NA
