"draw","C_sum","C_expected_sum","E_sum"
7,31319,31201.857247688,10626.0719694106
17,46296,46178.4612401496,15643.0799910257
24,25937,25780.647555211,9584.13636316693
27,24295,24133.6172787355,7661.52919413307
30,37961,37768.432475777,11143.9327022199
31,18521,18521.0610884509,5961.30412945888
38,15784,15917.806774998,5858.09434959825
43,14950,15010.2258722477,5615.14352218726
50,39004,39182.6935277464,15674.3487255083
56,26132,26267.7636986655,8836.82567433088
58,41134,40855.5126678857,13644.0343642791
60,22738,22746.8891596526,8654.51000577037
61,30094,30275.0178817755,8908.7925614588
68,27298,27472.8646633148,10881.0430406957
71,31887,31820.8032448778,13477.6147731025
73,36604,36783.9220892322,13634.6801055015
77,31060,31037.6338548071,12043.3936092745
81,11955,11855.6117087701,4099.75483051243
94,16105,15876.3051688969,7670.99543949938
106,54674,54679.1727494274,15949.3767976441
110,32805,32885.3622967146,12746.2061095661
117,29220,29123.634347206,8001.03107380158
129,19001,19009.6635796427,7055.94437291281
139,16277,16374.3603301486,7526.87023213691
140,11686,11802.0237783131,4780.67432133257
149,34730,34819.7930782815,12020.7677751463
154,18489,18592.4396654639,6336.67656722665
161,20052,20145.3638403451,8700.14512592547
165,27544,27681.7424022704,12570.5933583997
169,15559,15646.5886329782,5484.22106081571
178,23006,23022.593115082,11606.1505981763
185,33420,33224.7026974504,11949.2237667275
194,39860,40031.2997592379,13598.3250268135
197,23035,22988.3789223182,7654.87550587634
198,24746,24680.2263909983,11621.2393799294
202,26208,26228.0522179241,8154.76779027377
204,31803,32062.3891322301,11539.8975070566
206,41727,41906.5906533353,18898.5819406549
207,26531,26702.9842345454,11257.7116780448
215,33029,33301.2601832473,13401.9110709734
222,19718,19715.0624639165,8254.36332473799
234,51630,51619.4429121521,12525.919711091
239,26158,25739.5457139292,9063.33467211767
243,14227,14239.6547550952,5614.65139181472
247,31778,31811.8164144717,10545.4719569854
251,32663,32742.2905705357,11227.5269139337
257,20382,20385.8556550273,8019.92199594831
261,13369,13260.4467806386,5856.69474251583
262,30046,30069.1685208465,12397.8504877519
263,23111,23175.2632804178,7473.71117398688
267,26248,26273.0115353338,7169.54072727679
274,28919,28901.9776079756,9041.73150712788
276,33268,33161.1958067863,14198.1084291539
291,21319,21113.3290035969,7724.63380770713
293,10046,9946.42943494811,3314.77987336194
295,24931,24735.4682858963,10001.7704571359
296,26761,26634.3763734023,10668.0339628921
298,42528,42336.5918827324,13924.5264332895
303,23154,23245.0919373986,9454.51651352454
310,12143,12014.5163531425,5056.17386416267
317,19303,19373.8941919566,9991.66246352105
325,38580,38420.2563321841,12724.3973888192
329,15717,15681.0149256606,6140.53804373985
330,21776,21773.5164063939,7526.15507585191
335,34463,34402.4078973003,10779.1461935042
339,22259,22388.7668162632,9062.72382933762
346,16822,16948.3095788696,6638.46965526194
349,38925,38462.0544491419,12445.1082497201
350,31473,31728.2617109295,10595.9101086251
353,17318,17210.6899332773,5703.04846644768
357,9244,9351.03263741396,3601.61006706203
360,9641,9807.44974315909,3572.31110456091
382,48072,48234.1119740795,17781.4537278024
390,23831,23910.5552720659,7520.36684363191
391,16183,16443.9095967279,7028.4522439519
400,27828,27718.1789911735,11726.9260503276
406,27472,27532.438866341,8097.4061986441
408,40710,40992.4573197312,15516.6346498993
411,12766,12814.8926959394,5212.21871869937
414,18281,18353.1535641382,6137.65760373255
426,22540,22636.2753000451,9672.27257255743
436,25405,25593.6298932951,9519.68239595848
437,32809,33175.1254864061,11479.9806174242
441,29238,29020.4999769233,13041.3681492597
450,23648,23999.9222006168,9202.62043241491
457,20334,20422.7012012018,7724.7181795568
458,22923,22703.430947888,7159.05830970398
460,8263,8130.23283432601,3238.75511018392
461,27884,27579.8817313141,8234.82043105844
469,39744,39752.1893513653,15005.731928363
470,17321,17281.5883120322,6531.97658609832
476,22407,22135.1539741097,9162.46432139666
482,29334,29154.6272388559,10484.0999786998
488,29837,29748.0457393491,14342.4339552445
495,13986,13905.5821427086,4663.62187682215
497,28221,27962.4558183043,7709.29508972584
505,25322,25327.9919256209,7514.92485572701
511,16460,16438.1809916219,6085.77285547615
512,23603,23877.2406988747,9870.71030517901
514,12872,12875.8654822168,4948.91787196199
522,22009,21932.705077538,9080.11419186831
533,35365,35245.2409217218,11916.5650943257
536,44725,44582.307142452,14547.9777138416
541,32546,32372.7322045037,14882.4411954003
544,48163,48269.8245210348,14689.2419374127
554,16882,16798.0380185416,7081.84800796237
556,47197,47553.396195857,14838.504629885
557,29061,29176.0020578188,12647.2588596568
560,14446,14574.621997107,5809.66907876681
564,31896,31849.3582625045,10740.9445257862
570,22707,22445.8174815276,7107.17443658979
573,39803,39569.8251000429,15334.678218377
574,47602,47577.6741583741,16578.9213642373
588,23077,22930.7000263145,7705.97748875259
594,31583,31561.5833488934,11228.0826595645
599,20104,20143.8172566815,8936.54025253499
600,11041,10995.4757711024,3489.85823096526
602,18611,18615.8466895779,6465.45450365821
604,52077,52143.2966247522,14328.3786614358
614,43375,43358.5928916701,14710.9780012621
620,28558,28483.0057690874,12316.0878909512
626,14196,14019.5305168626,4964.75834127783
628,30576,30402.0904692595,9397.53929969064
629,32139,32501.8008454909,9779.11944055179
630,15355,15309.1338378757,5197.70383696426
633,35818,36003.1629231268,10833.0457326964
637,27452,27332.6358028881,10611.323785883
642,14075,14038.6521574545,6224.08160951185
660,23663,23862.4678107314,9670.4890427921
670,19329,19482.9434916703,8512.80355071296
680,21201,21386.8801944851,6548.73679160895
681,39482,39490.2430461424,15115.309108258
690,30374,30599.3380224097,12588.7619706643
691,33092,33357.3454071572,11728.8253593804
692,24237,24181.7223781739,9769.1894563542
693,23818,23900.2026173437,8591.75381109873
696,33017,32898.7002379475,11403.4086266898
708,28112,28299.8152354105,10805.2894420486
710,23303,23090.8355105195,9813.42504255853
713,23104,23434.0465470588,8290.10580654425
714,23855,23715.1473247639,9825.02013177639
720,25161,25220.367251885,7276.44177863078
735,25589,25480.7847857524,11234.4309947291
739,27732,27309.2379550574,12841.0118404085
750,33072,33060.6108092565,12239.5124799537
751,25478,25526.6720493263,8348.25603507883
752,20932,20982.2747404927,7770.19855675979
759,23418,23462.0319631394,7825.142348751
761,3958,4007.67563082071,1600.57892292735
767,7764,7971.04778884209,3279.28157709397
779,27190,27048.5969689105,10912.5696614314
781,21675,21785.6916868261,7066.91728083907
797,24267,24161.577788088,11668.9967773334
801,27206,27219.163870037,9520.99826314811
803,27268,27247.9887414551,8309.35929070409
804,14597,14641.1776143501,7737.18268938893
806,17899,17837.4180671591,7045.6725057301
807,9920,9984.00411924902,3656.50882123604
811,21025,21147.224866747,8408.68472545405
813,21571,21573.8079512554,7460.1478427022
816,25452,25155.2940674126,8524.54632311218
821,12505,12601.6562063355,4621.02116956223
822,21485,21556.7749612016,6696.19140527084
823,19049,19039.5980064559,7571.54640298692
825,21249,21036.3794612209,9077.82087486935
828,19026,18945.9455512224,8048.97318726085
829,19683,19787.8919952109,7281.81831651714
853,34247,34372.0023611437,11768.3871940156
855,36051,36388.5150982115,17533.3858353154
857,22077,21936.5053695277,8628.2319647373
861,11392,11467.5134702466,4779.18615555661
862,33199,33198.7372320601,10664.5719616577
872,11433,11412.2319867145,5951.88850699545
886,34020,33872.7589383302,11250.8731163547
901,11883,11939.7064124731,3964.6276807387
903,43539,43739.8611352774,16294.6588303073
906,32611,32623.9874677412,12695.5676431069
908,32307,31808.7098611683,9780.0528921041
915,12105,12280.9244018458,3210.2910012177
916,24015,24178.4163989414,6590.11465442645
926,32457,32429.3697048839,10108.8437102598
932,41147,41431.4441894854,11928.7419108049
934,34091,34165.1930268159,10314.0327557632
936,21836,21741.666934607,7214.3585627082
949,26247,26318.3277352478,9598.58626607192
953,26055,25996.6753557431,11133.2727451812
955,44348,44248.7982859884,17996.1791837732
956,28392,28382.8742583851,8587.28008604564
961,15773,15786.3731436776,7222.47651769414
962,35558,35644.3954891864,14109.5197706393
965,25430,25235.1968876701,11710.953057129
966,18552,18545.9764701116,6527.49846216562
967,12955,13002.8244788235,5797.60748228954
968,33256,33188.3158482344,13706.8830296364
974,19965,20000.960678056,7308.4982993923
981,26102,26401.6991185748,8383.29746590737
982,15996,15955.4905847361,5415.0976749261
987,21027,21044.1835317844,7403.93532132237
989,29645,29537.4665087034,9528.21561706852
996,13522,13465.9794629649,5257.49776842216
