"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"catch",1,2,"2024-12-02",6,-2.6973,0.0863,0.034,-2.7047
"catch",2,3,"2024-12-03",11,-3.2934,0.1,0.06,-3.3034
"catch",3,3,"2024-12-03",18,-3.7227,0.0975,0.031,-3.7322
"catch",4,3,"2024-12-03",12,-3.3363,0.0944,0.032,-3.3452
"catch",5,3,"2024-12-03",30,-4.9592,0.3308,0.144,-5.0694
"catch",6,4,"2024-12-04",18,-3.7227,0.0975,0.031,-3.7322
"catch",7,4,"2024-12-04",24,-3.9336,0.0867,-0.113,-3.9411
"catch",8,4,"2024-12-04",18,-3.7227,0.0975,0.031,-3.7322
"catch",9,4,"2024-12-04",12,-3.3363,0.0944,0.032,-3.3452
"catch",10,4,"2024-12-04",6,-2.6973,0.0863,0.034,-2.7047
"catch",11,4,"2024-12-04",18,-3.6679,0.0873,-0.023,-3.6755
"catch",12,4,"2024-12-04",18,-3.6679,0.0873,-0.023,-3.6755
"catch",13,5,"2024-12-05",18,-3.7227,0.0975,0.031,-3.7322
"catch",14,5,"2024-12-05",12,-3.3363,0.0944,0.032,-3.3452
"catch",15,6,"2024-12-06",11,-3.2876,0.0977,-0.023,-3.2972
"catch",16,6,"2024-12-06",18,-3.718,0.0953,-0.023,-3.7271
"catch",17,6,"2024-12-06",18,-4.2558,0.2642,0.171,-4.3259
"catch",18,6,"2024-12-06",24,-3.9587,0.0977,0.113,-3.9683
"catch",19,7,"2024-12-07",24,-4.0711,0.1366,0.087,-4.0898
"catch",20,10,"2024-12-10",1,-2.6392,0.2254,0.17,-2.6901
"catch",21,11,"2024-12-11",12,-3.3904,0.1205,0.046,-3.4049
"catch",22,12,"2024-12-12",24,-3.9336,0.0867,-0.113,-3.9411
"catch",23,12,"2024-12-12",18,-4.2357,0.2569,0.11,-4.302
"catch",24,13,"2024-12-13",9,-3.0138,0.0833,0.084,-3.0207
"catch",25,18,"2024-12-18",0,-3.9204,0.4689,0.215,-4.1416
"catch",26,18,"2024-12-18",18,-3.7227,0.0975,0.031,-3.7322
"catch",27,18,"2024-12-18",12,-3.3363,0.0944,0.032,-3.3452
"catch",28,20,"2024-12-20",24,-4.0711,0.1366,0.087,-4.0898
