"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"gear",1,1,"2024-12-01",76,-4.2359,0.6114,0.709,-4.7319
"gear",2,3,"2024-12-03",27,-3.3129,0.5702,0.73,-3.7627
"gear",3,4,"2024-12-04",30,-3.4004,0.5534,0.687,-3.8066
"gear",4,5,"2024-12-05",20,-3.0779,0.5325,0.843,-3.5008
"gear",5,6,"2024-12-06",25,-3.1879,0.3809,0.546,-3.3589
"gear",6,7,"2024-12-07",31,-3.4538,0.6182,0.846,-4.058
"gear",7,10,"2024-12-10",23,-3.1943,0.5544,0.78,-3.6366
"gear",8,11,"2024-12-11",20,-3.0948,0.5869,0.827,-3.6114
"gear",9,12,"2024-12-12",39,-3.6755,0.71,0.819,-4.479
"gear",10,13,"2024-12-13",22,-3.256,0.7632,0.905,-4.1286
"gear",11,14,"2024-12-14",37,-3.5644,0.5543,0.819,-4.0009
"gear",12,15,"2024-12-15",33,-3.4931,0.5778,0.689,-3.9335
"gear",13,18,"2024-12-18",32,-3.4594,0.6021,0.764,-3.9873
"gear",14,20,"2024-12-20",22,-3.181,0.6121,0.733,-3.7309
"gear",15,21,"2024-12-21",20,-3.1012,0.5961,0.905,-3.7138
"gear",16,22,"2024-12-22",19,-3.1299,0.7182,0.801,-3.8996
"gear",17,23,"2024-12-23",29,-3.3872,0.6034,0.685,-3.8914
"gear",18,24,"2024-12-24",31,-3.4462,0.5758,0.758,-3.9109
"gear",19,26,"2024-12-26",33,-3.4808,0.5892,0.666,-3.9635
"gear",20,27,"2024-12-27",50,-3.833,0.5944,0.788,-4.3571
"gear",21,28,"2024-12-28",58,-3.9935,0.6821,1.129,-4.6129
"gear",22,31,"2024-12-31",96,-4.4433,0.6439,0.818,-5.0958
"gear",23,32,"2025-01-01",55,-3.9516,0.6475,0.691,-4.5219
"gear",24,33,"2025-01-02",28,-3.3623,0.5889,0.971,-3.8182
"gear",25,34,"2025-01-03",55,-3.9166,0.5816,0.745,-4.3801
"gear",26,35,"2025-01-04",39,-3.6409,0.5872,0.874,-4.1592
