"parameter","mean","lo95","median","hi95","n_eff","Rhat","decoupled","decoupled_reason"
"mu_mu_E[1]",3.14326127240902,1.2326620522754,3.12269216845235,5.1458186504956,4557,1.0012,FALSE,NA
"mu_mu_C[1]",-0.186658326101664,-2.50097555896759,-0.105440099857854,1.72322225955612,4539,0.9999,FALSE,NA
"sigma_eps_E",0.586970649575704,0.50443685851907,0.585591609570377,0.679937997858263,2507,1.0024,FALSE,NA
"sigma_eps_C",0.245751707787775,0.14561903510117,0.24265213907073,0.367127904672134,2088,1.0008,FALSE,NA
"phi_E",0.487889981795109,0.288134947976708,0.491532365506331,0.659499660897525,1198,1.0062,FALSE,NA
"phi_C",0.81714576124343,0.622353839183729,0.829405277917552,0.94186865648741,1976,1.0003,FALSE,NA
"sigma_r_E",0.234797379691733,0.197503475614731,0.234247703653295,0.27785707431312,926,1.006,FALSE,NA
"sigma_r_C",1.03053829938057,0.965780537822169,1.03063122691535,1.09753856512335,8807,1.0009,FALSE,NA
"r_E",18.5702685233336,12.9526038497465,18.2242353691416,25.6360148650768,737,1.0069,FALSE,NA
"r_C",0.944549634021514,0.830157358729941,0.941441646219543,1.07211926830013,8450,1.001,FALSE,NA
"sigma_mu_E",1.07850367217414,0.0352574134198998,0.721366116876545,4.52243831603591,6834,1.0009,FALSE,NA
"sigma_mu_C",1.19070212690435,0.0249137630242309,0.728349631362829,5.42608404160842,6620,1.0001,FALSE,NA
"sigma_IE",0.272536777553008,0.00611132339215241,0.237955007069451,0.758384677907289,1017,1.0061,FALSE,NA
"R_G",1.27998193851963,1.24347493584423,1.27989742155604,1.3159968763803,893,1.0053,FALSE,NA
"R_G_boat",4.58382353003952,1.46170935137035,4.05004156269383,10.6037504789205,1215,1.0038,TRUE,"no boat count stream in this fit; the boat gear ratio is its prior"
"B1",0.509093407251981,0.283817452370726,0.505160579382659,0.740014442682697,2333,1.0005,FALSE,NA
"B2",0.52650018908172,-0.0753137800930089,0.530316761683302,1.11230399538646,2703,1.0028,FALSE,NA
"B1_C",-0.323683553351019,-0.494946467831019,-0.322577664672836,-0.144266499727114,9104,1.0001,FALSE,NA
"B2_C",-0.19123696622204,-0.591753745516743,-0.192772587493497,0.211794445124685,2334,1.0028,FALSE,NA
"gamma_C",0.0127168286248521,-1.96516327729595,0.0330661452965016,1.98572084429311,12772,1.001,TRUE,"estimate_cpue_density = 0: the density term is inert"
"kappa_OSP",3.1351503581756,1.68984501918422,3.03175912013731,5.3341017524463,16979,0.9999,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"sigma_r_OSP",6.34103706390364,0.0402422233875517,1.03240019311664,22.788249076771,7515,1.0001,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"r_OSP",4461.50994394295,0.00192565424268015,0.938218185658426,617.49887587868,9606,1.0001,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"f_crab[1]",1,1,1,1,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1"
"f_lower[1]",0,0,0,0,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1"
