"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1626,1122,2552,1188,883,1643
"2024-10",2922,2285,3877,2086,1698,2580
"2024-11",2561,1975,3434,1933,1517,2466
"2024-12",8735,8129,9567,2086,1719,2585
"2025-01",6742,6347,7275,2411,1937,3097
"2025-02",1590,1337,1977,1506,1191,1982
"2025-03",1474,1075,2061,2029,1622,2628
"2025-04",3352,2375,4816,3300,2583,4304
"2025-05",4040,2710,6306,3102,2394,4193
"2025-06",5604,3186,9985,3811,2654,5583
"2025-07",12897,6662,24157,6987,4716,10227
"2025-08",11816,6323,21444,6646,4637,9385
"2025-09",4800,2646,9167,2768,1901,4034
