"parameter","mean","lo95","median","hi95","n_eff","Rhat","decoupled","decoupled_reason"
"mu_mu_E[1]",1.73500620787261,-0.602457467878092,1.66280542049585,4.53010938500383,2304,1.0002,FALSE,NA
"mu_mu_C[1]",0.42169778114369,-2.32187261723079,0.590922685802369,2.3197214147123,3402,0.9996,FALSE,NA
"sigma_eps_E",1.50437784279469,0.619023691794319,1.33361834181092,3.44341000297324,2173,1.0006,FALSE,NA
"sigma_eps_C",0.471402679361362,0.0145715408552832,0.349302006464162,1.6440559754556,3417,1.0004,FALSE,NA
"phi_E",0.303035583561439,-0.46685163050493,0.344111064734115,0.860097565697034,2211,1.0017,FALSE,NA
"phi_C",0.0420546523107613,-0.775949564921456,0.0558046413223748,0.826254723324698,5606,0.9997,FALSE,NA
"sigma_r_E",0.61863993759781,0.156499722582064,0.623469725168404,1.03754747643579,2687,1.0004,FALSE,NA
"sigma_r_C",1.11227690948731,0.659561522746418,1.08535386221568,1.72882534150277,6490,0.9999,FALSE,NA
"r_E",441.865880761287,0.928932373143532,2.57258223419371,40.8294055340187,3100,1.0008,FALSE,NA
"r_C",0.970140775195704,0.334578292369985,0.848901474611244,2.29873752561553,4394,1.0004,FALSE,NA
"sigma_mu_E",1.19174010516418,0.0317158699849975,0.73621730060425,4.95477645774669,1402,1.0012,FALSE,NA
"sigma_mu_C",1.3281024929115,0.0333646996703827,0.765076952319517,6.26072503909145,3891,1,FALSE,NA
"sigma_IE",0.203736815148591,0.00403572432544927,0.142177799525455,0.749598861800351,6836,0.9999,TRUE,"no I/E observations in this fit (IE_n = 0); sigma_IE is its prior"
"R_G",1.32471466222342,0.683108954796465,1.26151829747441,2.29887820208916,7259,0.9996,FALSE,NA
"R_G_boat",2.91092855612518,2.16679554074149,2.89551490192445,3.74629954810386,8021,0.9998,FALSE,NA
"B1",0.822695567122819,0.336342955840347,0.823470025469214,1.30794434418499,6197,1.0005,FALSE,NA
"B2",0.0128029585090523,-1.94721549023792,0.00890678916565183,1.99927610667679,7862,0.9997,FALSE,NA
"B1_C",0.021124999821167,-1.105491942802,0.00977044171941312,1.21634159774063,6569,1.0008,FALSE,NA
"B2_C",-0.0038575849471183,-1.97975024656816,-0.00681895849235559,1.98997671173738,8607,0.9999,FALSE,NA
"gamma_C",-0.00787002626085003,-1.94292917838244,-0.00585686572006238,1.92304613932504,7780,0.9999,TRUE,"estimate_cpue_density = 0: the density term is inert"
"kappa_OSP",3.14981585461244,1.66577675944481,3.01883541689201,5.4024456432782,6906,0.9996,TRUE,"osp_scale_is_tau = 1: the OSP mean uses L, not kappa_OSP; this is the prior"
"sigma_r_OSP",0.704481840781595,0.365149571221059,0.682605060201521,1.16047329608355,3703,1.0002,FALSE,NA
"r_OSP",2.62273088977573,0.742556834942311,2.14615454936084,7.49995105899459,3962,1.0001,FALSE,NA
"f_crab[1]",0.299287323584579,0.120918925239844,0.292527380477352,0.515070016225066,7415,0.9997,FALSE,NA
"f_lower[1]",0,0,0,0,NA,NA,TRUE,"osp_crab_lower = 0: the OSP lower bound is off and f_lower is pinned at 0"
