"draw","C_sum","C_expected_sum","E_sum"
1,4065,4194.85999223948,461.939489645644
6,1757,1759.44394713855,545.564424895415
9,695,732.805740004507,361.388643581216
11,1373,1363.12771053094,505.16085915924
12,1602,1628.81000275925,458.776234219568
14,1397,1378.18839955225,764.844254573108
17,1010,964.598880793668,685.260364862609
18,112,116.958349351997,90.7420659719613
21,811,779.740503442668,505.35787624582
28,396,434.404359156618,302.653915105215
32,439,449.039005988517,88.3882559423048
34,717,712.698532038202,280.161930630418
41,937,933.277376306618,210.518048554674
46,962,929.582984507134,434.729451997378
47,454,475.353869968473,391.895649292618
48,984,1000.48177876786,633.193125225625
51,454,487.127725531702,189.90605625205
53,1112,1128.00109355688,267.43044470575
54,909,906.297531294348,352.814105028883
55,301,286.89417898003,123.561623378575
56,796,827.195448063184,401.201534881451
57,450,428.082249195333,245.990086272875
58,2027,1989.14615968894,723.239211641214
60,1160,1172.52652184221,364.346472256701
61,550,564.608317335736,361.531956256579
64,257,249.782263038774,152.82475761584
66,684,721.235425354613,315.220831194541
67,1392,1362.60502996352,562.398725850322
70,1063,1059.51733063215,371.369355013143
71,531,529.494943763998,304.003231517437
74,2502,2514.74473381505,534.055556344707
77,1274,1301.09647214083,644.699524319781
78,621,602.881413103259,328.947264875565
82,722,736.670839248692,258.120377290312
83,1732,1755.3565711713,373.620398507869
84,474,482.33851098212,169.100014800113
89,1528,1548.75668002869,394.783228422451
90,1703,1738.4115082528,608.003380391398
93,1667,1747.7279252568,565.448682252573
97,998,1004.98572438621,310.582312340538
102,990,953.412767536303,445.321794957728
103,848,880.961568776172,423.504107728657
106,838,845.347425070115,401.834761073733
107,609,551.338851462093,260.979800523561
108,764,733.096648612597,245.445115477484
109,732,721.643100177268,460.993654908504
110,1456,1473.09637486078,370.348418076422
112,1005,1048.7269330191,547.313975941087
113,1091,1131.792437653,395.942544617635
121,505,477.728817077725,188.181843115244
123,792,817.509776521341,399.688342729273
126,1177,1097.68111549126,343.480748715686
127,1295,1289.65100280317,572.339841407308
128,915,929.733096342953,391.61917565225
133,1622,1629.57243905024,551.13301199011
137,206,219.991381224125,107.354965844563
142,606,576.113319933955,396.133357048055
144,1218,1230.08080653504,705.89971378294
148,904,877.900042939893,441.455399724823
149,859,860.685581039362,454.394829507226
151,1400,1374.72769687908,931.662045520268
155,748,728.686977958873,335.033545901482
159,559,574.213041487478,220.380859028225
162,334,340.842591455063,133.097328875446
163,1050,1120.33954430614,617.318739303135
164,804,790.112772876646,448.53632648698
170,193,204.426532142868,153.178851780546
178,1055,1065.06532358417,476.618044384195
179,433,458.58583083181,281.832229026186
182,1311,1239.18209132688,381.553921674368
187,1087,1043.9038714955,305.225800045185
189,1064,1000.2214290858,411.209944414022
193,963,932.041562336397,511.492569689811
203,578,590.502728280283,281.450781347427
204,1117,1089.18031477439,409.802669098509
210,1472,1447.17142664141,438.887236204788
211,5528,5431.69582030222,589.113503806918
213,798,776.828457114515,402.52945272983
215,272,262.485690857833,168.603194066853
224,681,678.272804197126,455.21824724313
235,723,723.090321081131,306.347734572325
238,447,448.837680961706,266.017487054618
239,399,420.550167834584,253.462633277884
242,894,934.78662821813,381.577477753961
243,1231,1200.95282948591,496.468859498143
255,1319,1366.61283317833,559.883773028284
262,489,456.882235225699,346.647936809016
264,1978,2045.75465803219,775.056604729618
269,1005,1033.16231511178,200.008265538079
272,398,419.935066788413,209.196025567979
273,976,982.319105266461,389.456880144513
276,1808,1832.00898711499,570.291094112514
277,277,298.05292692756,160.249369264933
281,276,279.350413826629,227.788738434448
285,1639,1642.72975722922,325.112542136729
286,1518,1575.63708523896,538.774225212694
288,695,670.139385503021,429.018280798417
290,1343,1323.28442604919,564.398250565712
292,472,477.074894350033,202.057575270485
294,672,743.134463980527,442.196049499411
298,1882,1840.67804137922,523.751772160091
299,486,456.377560892783,232.820312055847
302,756,746.634362230157,296.519792614581
304,1287,1216.52241197597,451.307899696562
307,735,710.256342498464,343.24263750434
308,544,558.277266106391,238.2631331225
310,1674,1714.72599178683,474.762265656341
318,448,444.739730510191,186.934367207134
319,1038,1008.89270582155,560.590207914863
320,459,479.020169842341,212.902021088474
322,3041,2968.89032218122,487.98186307473
339,920,957.68179364867,378.944904359688
344,670,656.573958337973,345.580171038143
345,404,425.801374077353,184.134003180878
346,546,580.492207982266,334.029143709389
351,1224,1250.77058337536,664.097850119118
354,981,964.57327788037,362.449405929
357,585,559.663941861234,352.831212142191
358,1812,1826.33606674256,568.053283412293
360,1012,1049.12641282074,336.431558047554
363,508,497.684293914366,135.087888241736
367,658,621.207856501271,366.812912415391
369,1223,1241.64290076805,461.870211317608
371,2239,2228.15736203555,741.768294820515
373,760,760.648956115938,241.06917240319
377,369,407.276028420484,241.151819645376
380,2226,2178.08520263522,702.583815533035
385,1868,1880.32401888131,681.991240263299
386,824,831.630636032532,327.05160440995
388,383,364.043030340995,187.658603600375
392,1214,1180.79831181628,584.420903783003
393,313,323.355089216523,170.849105272291
394,706,683.592536632972,255.843074474959
396,633,652.138587231328,229.668691270301
397,1064,993.343985023686,310.235480880296
401,876,876.712973976194,409.053992702333
403,1075,1068.35864596237,497.172796512804
412,1449,1506.72329004033,476.391215589318
434,730,791.737182490391,349.705674282066
436,602,635.046504197012,391.546831912055
