"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"trailer",1,2,"2024-09-17",5,-2.7136,0.2013,-0.08,-2.7542
"trailer",2,3,"2024-09-18",9,-3.2219,0.1924,-0.062,-3.259
"trailer",3,4,"2024-09-19",3,-2.5015,0.1849,-0.129,-2.5357
"trailer",4,5,"2024-09-20",1,-2.3417,0.2545,0.172,-2.4071
"trailer",5,5,"2024-09-20",0,-2.2394,0.5274,0.349,-2.5213
"trailer",6,9,"2024-09-24",3,-2.5015,0.1849,-0.129,-2.5357
"trailer",7,12,"2024-09-27",5,-2.7136,0.2013,-0.08,-2.7542
"trailer",8,13,"2024-09-28",12,-3.6201,0.2248,0.07,-3.6707
"trailer",9,16,"2024-10-01",7,-3.5778,0.3252,0.346,-3.6863
"trailer",10,18,"2024-10-03",4,-2.5498,0.1674,-0.036,-2.5779
"trailer",11,19,"2024-10-04",5,-2.893,0.1922,0.219,-2.9301
"trailer",12,20,"2024-10-05",12,-3.6191,0.2302,0.361,-3.6725
"trailer",13,23,"2024-10-08",0,-1.3397,0.2489,0.04,-1.4018
"trailer",14,24,"2024-10-09",3,-2.2133,0.1638,-0.059,-2.2402
"trailer",15,26,"2024-10-11",3,-2.2133,0.1638,-0.059,-2.2402
"trailer",16,27,"2024-10-12",9,-3.2195,0.2011,0.056,-3.26
"trailer",17,28,"2024-10-13",7,-2.962,0.2009,-0.042,-3.0024
"trailer",18,30,"2024-10-15",2,-1.8928,0.1578,-0.089,-1.9177
"trailer",19,31,"2024-10-16",2,-1.8928,0.1578,-0.089,-1.9177
"trailer",20,32,"2024-10-17",2,-1.8928,0.1578,-0.089,-1.9177
"trailer",21,33,"2024-10-18",1,-1.6019,0.1322,-0.037,-1.6194
"trailer",22,34,"2024-10-19",0,-2.2364,0.5742,0.304,-2.5738
"trailer",23,36,"2024-10-21",1,-1.6019,0.1322,-0.037,-1.6194
"trailer",24,37,"2024-10-22",0,-1.3397,0.2489,0.04,-1.4018
"trailer",25,38,"2024-10-23",0,-1.3397,0.2489,0.04,-1.4018
"trailer",26,39,"2024-10-24",2,-1.8928,0.1578,-0.089,-1.9177
"trailer",27,40,"2024-10-25",0,-1.3397,0.2489,0.04,-1.4018
"trailer",28,41,"2024-10-26",1,-2.3488,0.2909,0.266,-2.4347
"trailer",29,45,"2024-10-30",1,-1.6019,0.1322,-0.037,-1.6194
"trailer",30,47,"2024-11-01",2,-2.2766,0.3349,0.227,-2.3911
"trailer",31,51,"2024-11-05",0,-0.5632,0.1825,0.074,-0.5966
"trailer",32,52,"2024-11-06",1,-1.4167,0.139,0.229,-1.4361
"trailer",33,53,"2024-11-07",4,-3.9002,0.8635,0.451,-4.6956
"trailer",34,54,"2024-11-08",1,-1.4167,0.139,0.229,-1.4361
"trailer",35,55,"2024-11-09",0,-1.1565,0.3811,0.245,-1.3032
"trailer",36,58,"2024-11-12",0,-0.5632,0.1825,0.074,-0.5966
"trailer",37,59,"2024-11-13",0,-0.5632,0.1825,0.074,-0.5966
"trailer",38,60,"2024-11-14",0,-0.5632,0.1825,0.074,-0.5966
"trailer",39,65,"2024-11-19",0,-0.5632,0.1825,0.074,-0.5966
"trailer",40,66,"2024-11-20",0,-0.5632,0.1825,0.074,-0.5966
"trailer",41,67,"2024-11-21",0,-0.5632,0.1825,0.074,-0.5966
"trailer",42,68,"2024-11-22",0,-0.5632,0.1825,0.074,-0.5966
"trailer",43,72,"2024-11-26",1,-1.4167,0.139,0.229,-1.4361
"trailer",44,76,"2024-11-30",2,-1.9254,0.1828,0.169,-1.9589
