"draw","C_sum","C_expected_sum","E_sum"
1,16212,16415.950423377,19655.3880143783
6,25961,25826.0922735174,31322.7292894472
9,21464,21347.5435427993,25960.6177882056
12,20740,20858.0933618866,25186.2168857143
14,12475,12597.158253115,14893.0654210074
18,23589,23619.5348714155,27049.8648513454
21,21608,21633.9837439221,26304.2347675136
28,22530,22320.5883378639,26852.7042232506
32,17339,17259.1578261662,19590.2576929284
41,17300,17114.6722039063,21215.567441257
44,22690,22868.5605309597,27988.6549004276
47,15993,16148.4005913405,20673.9892753558
48,17513,17474.2267041275,21326.6667001867
51,29918,29716.0279074914,37494.1434439174
53,23345,23086.3796370883,26836.5924319011
55,12941,13034.4850778735,16257.9989440841
56,20007,20074.6023076143,24278.5361351762
57,21708,21928.6835160471,26577.1404391811
64,14059,14137.3998936894,17193.5971385373
68,30251,30146.7966454108,34453.6063829041
70,16112,16153.1614176157,18855.4487974814
71,40087,39972.5083234175,47572.1126573879
73,22988,23103.3792422867,27761.4874594852
74,12401,12350.1702639115,14911.2407075331
77,28133,27763.2628703789,34254.1411591892
78,21528,21368.6936358857,25939.349360625
82,12986,13036.4807061143,16423.5777873015
87,19307,19375.9440059136,24340.1046762317
90,16429,16447.8711436589,20554.1098978223
93,30298,30212.6640582621,37523.9971620594
102,25097,24847.8884499615,29249.5985373128
106,20108,20154.1512116746,24269.9280206374
108,22001,22081.3405017051,28796.9642386323
112,20567,20361.5160494872,23628.8810721772
113,16424,16342.2695387758,19007.4450558457
115,13014,12943.1108607919,15788.5021003639
120,23657,23601.838959114,26993.0285445976
121,22930,22890.7232333267,26779.7557995417
126,27379,27460.6420142176,35171.0714885719
127,18587,18779.2185063806,23260.6185946057
128,18840,18944.2721143987,23368.7676652515
133,22152,22204.0702105495,25915.3496578655
148,24393,24194.7079370102,28542.613194251
154,16378,16236.1018256223,20234.0186150481
155,12186,12494.8076657942,15041.6443100839
158,21669,21727.3497088646,25290.7769651857
160,18232,18277.989731172,21801.6494680174
162,20798,21017.1878397767,25550.9259003189
163,21921,21878.2560851816,26648.1055215975
164,16050,15993.5696103871,20275.582066568
170,14854,14913.7100933678,17330.7291822516
182,20942,20934.7525834516,24124.6852046187
187,13967,13770.5134635816,16655.9535201538
189,13313,13035.5699988127,15418.1360755348
193,18219,18391.8873025158,22688.5719613786
211,23961,23854.8879627002,25652.5791381773
213,29276,28979.032466681,35689.6564580105
215,14844,14868.2495888408,18072.1271868781
218,22326,22395.4033585439,26327.1527218758
222,20365,20223.0589700771,23827.0906796586
235,16173,16246.298418838,20015.2593198806
239,21578,21624.7004015791,26974.343633569
243,19465,19608.1316827915,23390.0023319698
255,14580,14523.5239126494,17151.5986794032
261,19634,19607.8070574611,25054.7543582229
268,20628,20665.7131583216,24428.3384905031
269,15366,15609.1586256862,19727.9679718805
272,36418,36663.8247777385,47918.7091579019
276,19048,19052.1803067462,23587.9465752668
281,15706,15846.0908582664,18671.2733346497
285,19970,20047.9850686533,24897.5717095986
287,13787,13733.1366381447,16677.3390634942
288,27879,27928.8408504198,34289.2882748869
289,20101,20199.6920539939,24950.2229114574
294,23066,22980.8170334743,27550.0272067347
298,20494,20531.3054947831,22787.1341552367
299,22917,22787.5885995627,27418.1818684007
302,15136,14988.0055136051,17673.4226384644
304,15933,15985.2792125897,21357.133595043
307,27510,27338.9844212696,34396.7868632921
308,24636,24549.9845030044,27446.2400692449
310,25617,25537.5764616453,29096.453611893
319,32414,32407.8841768986,40913.7668713328
320,15546,15594.0735822582,18575.8127854702
322,17790,17624.2624896386,20644.3026591126
331,18110,17973.4044242919,22787.4116303624
340,20716,20739.8382416581,25589.1770463783
344,18074,18015.9070876793,22199.8057370417
345,34664,34779.8502761382,41505.8035049472
346,18056,18019.0620123395,21240.3349785806
348,20829,20751.2928559556,24202.4426869166
349,27867,27892.0925317736,34850.1853059922
354,16541,16453.7434336355,18947.4548384047
357,17681,17491.7853479599,21328.9989967222
358,25615,25695.7698035449,32267.2052901647
360,23505,23416.653451363,26588.1832037805
363,16317,16384.3147283976,20263.5923782417
367,12379,12460.74144936,15268.9666226827
