"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1646,891,3133,1187,688,2120
"2024-10",2994,1717,5243,2080,1201,3696
"2024-11",2557,1416,4884,1898,1051,3489
"2024-12",8712,7747,10314,2137,1364,3372
"2025-01",6526,6043,7343,2159,1376,3458
"2025-02",1482,1186,1985,1416,872,2287
"2025-03",1016,668,1582,1551,1002,2442
"2025-04",2671,1819,4063,2909,1879,4554
"2025-05",3170,2276,4663,2920,1942,4487
"2025-06",2390,1469,3974,2460,1526,3955
"2025-07",5467,4155,7687,4488,3078,6800
"2025-08",7784,6548,9830,5515,4036,7878
"2025-09",3503,2861,4626,2100,1545,3034
