"parameter","mean","lo95","median","hi95","n_eff","Rhat","decoupled","decoupled_reason"
"mu_mu_E[1]",3.14195115567233,2.61764484928091,3.14724780620297,3.63142597727784,1610,1.0025,FALSE,NA
"mu_mu_C[1]",0.00730210918560169,-0.43504606206564,-0.00874690149231874,0.536411691725671,1140,1.0034,FALSE,NA
"sigma_eps_E",0.360356970302869,0.203651497251121,0.339370869129595,0.642182137529606,2400,1.0058,FALSE,NA
"sigma_eps_C",0.34837172387971,0.197495964200159,0.326683509537278,0.620916857460234,2819,1.0003,FALSE,NA
"phi_E",0.424458898792909,-0.189257021947153,0.450728384657998,0.876707293304917,2576,1.0015,FALSE,NA
"phi_C",0.301594513927672,-0.438442086723016,0.335791603048427,0.853928405716486,2228,1,FALSE,NA
"sigma_r_E",0.477408513803133,0.434922451641652,0.476781929551371,0.523377796343801,10282,0.9997,FALSE,NA
"sigma_r_C",1.08636643736399,1.02200423367497,1.08564406641344,1.15313295100897,10449,0.9998,FALSE,NA
"r_E",4.41673264249779,3.65064339218019,4.39906547694994,5.28659870291465,10448,0.9997,FALSE,NA
"r_C",0.849751717263525,0.752040510056551,0.848447694444431,0.957402616961169,10523,0.9997,FALSE,NA
"sigma_mu_E",9.5375226706138,0.0768808553166705,1.96532812588209,46.4190152350379,7212,1,FALSE,NA
"sigma_mu_C",15.3757271753182,0.0683144149212054,2.01128184775545,56.1001686383955,6108,1,FALSE,NA
"sigma_IE",0.705681820698754,0.411707004211676,0.673113019989767,1.17831165190683,8712,1,FALSE,NA
"R_G",1.28080922224672,1.24475616726253,1.28062524267547,1.31645533460659,11722,0.9999,FALSE,NA
"R_G_boat",4.56170510727547,1.54334283164919,4.00823988387744,10.7348236832674,9176,1.0004,TRUE,"no boat count stream in this fit; the boat gear ratio is its prior"
"B1",1.03395623920938,0.900191849780893,1.03279859778055,1.17674931190734,10650,0.9998,FALSE,NA
"B2",0.0637572764879137,-0.273936664943738,0.0599833762725886,0.414350058479767,9692,0.9999,FALSE,NA
"B1_C",-0.422634728789165,-0.552885102004036,-0.422915437414578,-0.294566620970577,10738,0.9997,FALSE,NA
"kappa_OSP",3.12675943483909,1.687644839241,3.00178454504203,5.28143614219078,10463,0.9999,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"sigma_r_OSP",9.24326923521436,0.0868157665531446,2.01486482809101,51.0823112480286,4833,1,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"r_OSP",1029.43340970663,0.000383229509372616,0.246324827273796,132.679273726929,8008,1,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"f_crab[1]",1,1,1,1,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1"
"f_lower[1]",0,0,0,0,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1"
"tau_bar[1]",1.72664703828691,1.08442112216411,1.68089729929435,2.61125714904039,10263,0.9998,FALSE,NA
